Time	OnlinePlayerCount	volamtrunghieu1(192.168.248.103)	volamtrunghieu(103.92.25.248)
2018-8-31_23:21	52	2	50
2018-8-31_23:36	60	2	58
2018-8-31_23:51	64	7	57
2018-9-1_0:06	64	7	57
2018-9-1_0:21	65	8	57
2018-9-1_0:36	55	8	47
2018-9-1_0:51	53	7	46
2018-9-1_1:06	52	7	45
2018-9-1_1:21	53	8	45
2018-9-1_1:36	52	8	44
2018-9-1_1:51	51	8	43
2018-9-1_2:06	50	8	42
2018-9-1_2:21	51	8	43
2018-9-1_2:36	56	8	48
2018-9-1_2:51	51	8	43
2018-9-1_3:06	48	8	40
2018-9-1_3:21	48	8	40
2018-9-1_3:36	48	8	40
2018-9-1_3:51	46	8	38
2018-9-1_4:06	46	8	38
2018-9-1_4:21	46	8	38
2018-9-1_4:36	46	8	38
2018-9-1_4:51	46	8	38
2018-9-1_5:06	46	8	38
2018-9-1_5:21	46	8	38
2018-9-1_5:36	46	8	38
2018-9-1_5:51	46	8	38
2018-9-1_6:06	46	8	38
2018-9-1_6:21	46	8	38
2018-9-1_6:36	47	8	39
2018-9-1_6:51	47	8	39
2018-9-1_7:06	48	8	40
2018-9-1_7:21	48	8	40
2018-9-1_7:36	48	8	40
2018-9-1_7:51	45	8	37
2018-9-1_8:06	41	8	33
2018-9-1_8:21	45	8	37
2018-9-1_8:36	35	9	26
2018-9-1_8:51	50	13	37
2018-9-1_9:06	58	22	36
2018-9-1_9:21	60	21	39
2018-9-1_9:36	66	22	44
2018-9-1_9:51	64	21	43
2018-9-1_10:06	69	21	48
2018-9-1_10:21	72	23	49
2018-9-1_10:36	73	22	51
2018-9-1_10:51	82	23	59
2018-9-1_11:06	89	31	58
2018-9-1_11:21	94	34	60
2018-9-1_11:36	106	37	69
2018-9-1_11:51	102	37	65
2018-9-1_12:06	119	42	77
2018-9-1_12:21	148	64	84
2018-9-1_12:36	147	69	78
2018-9-1_12:51	152	72	80
2018-9-1_13:06	152	73	79
2018-9-1_13:21	168	88	80
2018-9-1_13:36	180	99	81
2018-9-1_13:51	206	122	84
2018-9-1_14:06	231	147	84
2018-9-1_14:21	238	158	80
2018-9-1_14:36	254	167	87
2018-9-1_14:51	278	189	89
2018-9-1_15:06	279	191	88
2018-9-1_15:21	279	199	80
2018-9-1_15:36	279	201	78
2018-9-1_15:51	276	201	75
2018-9-1_16:06	274	198	76
2018-9-1_16:21	290	200	90
2018-9-1_16:36	300	201	99
2018-9-1_16:51	295	200	95
2018-9-1_17:06	297	203	94
2018-9-1_17:21	289	195	94
2018-9-1_17:36	298	202	96
2018-9-1_17:51	316	214	102
2018-9-1_18:06	309	206	103
2018-9-1_18:21	313	210	103
2018-9-1_18:36	318	219	99
2018-9-1_18:51	311	215	96
2018-9-1_19:06	305	202	103
2018-9-1_19:21	309	200	109
2018-9-1_19:36	301	196	105
2018-9-1_19:51	303	186	117
2018-9-1_20:06	304	188	116
2018-9-1_20:21	310	191	119
2018-9-1_20:36	311	194	117
2018-9-1_20:51	307	191	116
2018-9-1_21:06	308	193	115
2018-9-1_21:21	311	194	117
2018-9-1_21:36	318	199	119
2018-9-1_21:51	325	206	119
2018-9-1_22:06	335	209	126
2018-9-1_22:21	330	205	125
2018-9-1_22:36	334	210	124
2018-9-1_22:51	327	214	113
2018-9-1_23:06	323	211	112
2018-9-1_23:21	334	219	115
2018-9-1_23:36	330	216	114
2018-9-1_23:51	327	211	116
2018-9-2_0:06	334	220	114
2018-9-2_0:21	349	221	128
2018-9-2_0:36	345	212	133
2018-9-2_0:51	343	212	131
2018-9-2_1:06	342	211	131
2018-9-2_1:21	345	214	131
2018-9-2_1:36	345	214	131
2018-9-2_1:51	341	216	125
2018-9-2_2:06	339	214	125
2018-9-2_2:21	337	213	124
2018-9-2_2:36	340	215	125
2018-9-2_2:51	342	217	125
2018-9-2_3:06	343	218	125
2018-9-2_3:21	338	214	124
2018-9-2_3:36	337	213	124
2018-9-2_3:51	341	217	124
2018-9-2_4:06	335	211	124
2018-9-2_4:21	330	206	124
2018-9-2_4:36	328	205	123
2018-9-2_4:51	328	205	123
2018-9-2_5:06	327	204	123
2018-9-2_5:21	324	201	123
2018-9-2_5:36	326	203	123
2018-9-2_5:51	326	203	123
2018-9-2_6:06	326	203	123
2018-9-2_6:21	328	205	123
2018-9-2_6:36	330	211	119
2018-9-2_6:51	331	212	119
2018-9-2_7:06	335	213	122
2018-9-2_7:21	330	208	122
2018-9-2_7:36	324	200	124
2018-9-2_7:51	337	213	124
2018-9-2_8:06	324	200	124
