Time	OnlinePlayerCount	volamtrunghieu(103.92.25.248)	volamtrunghieu1(192.168.248.103)
2018-9-3_14:31	188	66	122
2018-9-3_14:46	191	66	125
2018-9-3_15:01	208	70	138
2018-9-3_15:16	219	77	142
2018-9-3_15:31	210	80	130
2018-9-3_15:46	203	81	122
2018-9-3_16:01	206	83	123
2018-9-3_16:16	201	83	118
2018-9-3_16:31	200	82	118
2018-9-3_16:46	217	86	131
2018-9-3_17:01	217	89	128
2018-9-3_17:16	218	89	129
2018-9-3_17:31	220	95	125
2018-9-3_17:46	219	96	123
2018-9-3_18:01	213	96	117
2018-9-3_18:16	203	91	112
2018-9-3_18:31	208	95	113
2018-9-3_18:46	209	96	113
2018-9-3_19:01	209	89	120
2018-9-3_19:16	207	86	121
2018-9-3_19:31	205	85	120
2018-9-3_19:46	204	84	120
2018-9-3_20:01	205	88	117
2018-9-3_20:16	209	86	123
2018-9-3_20:31	205	84	121
2018-9-3_20:46	198	81	117
2018-9-3_21:01	203	90	113
2018-9-3_21:16	194	90	104
2018-9-3_21:31	201	91	110
2018-9-3_21:46	222	96	126
2018-9-3_22:01	219	92	127
2018-9-3_22:16	212	86	126
2018-9-3_22:31	196	73	123
2018-9-3_22:46	195	73	122
2018-9-3_23:01	191	73	118
2018-9-3_23:16	188	70	118
2018-9-3_23:31	187	71	116
2018-9-3_23:46	183	67	116
2018-9-4_0:01	178	73	105
2018-9-4_0:16	172	73	99
2018-9-4_0:31	165	66	99
2018-9-4_0:46	164	66	98
2018-9-4_1:01	166	66	100
2018-9-4_1:16	160	60	100
2018-9-4_1:31	160	60	100
2018-9-4_1:46	151	57	94
2018-9-4_2:01	152	57	95
2018-9-4_2:16	154	57	97
2018-9-4_2:31	152	57	95
2018-9-4_2:46	152	57	95
2018-9-4_3:01	152	57	95
2018-9-4_3:16	152	57	95
2018-9-4_3:31	152	57	95
2018-9-4_3:46	152	57	95
2018-9-4_4:01	151	57	94
2018-9-4_4:16	150	57	93
2018-9-4_4:31	151	57	94
2018-9-4_4:46	156	57	99
2018-9-4_5:01	156	57	99
2018-9-4_5:16	156	57	99
2018-9-4_5:31	156	57	99
2018-9-4_5:46	156	57	99
2018-9-4_6:01	156	57	99
2018-9-4_6:16	146	59	87
2018-9-4_6:31	153	63	90
2018-9-4_6:46	153	63	90
2018-9-4_7:01	142	57	85
2018-9-4_7:16	141	57	84
2018-9-4_7:31	140	65	75
2018-9-4_7:46	137	65	72
2018-9-4_8:01	151	70	81
2018-9-4_8:16	153	70	83
2018-9-4_8:31	165	74	91
2018-9-4_8:46	168	70	98
2018-9-4_9:01	159	74	85
2018-9-4_9:16	171	80	91
2018-9-4_9:31	157	66	91
2018-9-4_9:46	154	63	91
2018-9-4_10:01	168	69	99
2018-9-4_10:16	161	66	95
2018-9-4_10:31	159	67	92
2018-9-4_10:46	162	67	95
2018-9-4_11:01	162	68	94
2018-9-4_11:16	164	72	92
2018-9-4_11:31	167	74	93
2018-9-4_11:46	175	84	91
2018-9-4_12:01	186	91	95
2018-9-4_12:16	189	94	95
2018-9-4_12:31	197	102	95
2018-9-4_12:46	190	102	88
2018-9-4_13:01	202	110	92
2018-9-4_13:16	206	117	89
2018-9-4_13:31	215	117	98
2018-9-4_13:46	213	117	96
2018-9-4_14:01	213	118	95
2018-9-4_14:16	207	117	90
2018-9-4_14:31	213	123	90
2018-9-4_14:46	220	126	94
2018-9-4_15:01	222	122	100
2018-9-4_15:16	227	123	104
2018-9-4_15:31	226	124	102
2018-9-4_15:46	221	127	94
2018-9-4_16:01	215	125	90
2018-9-4_16:16	216	125	91
2018-9-4_16:31	219	125	94
2018-9-4_16:46	217	122	95
2018-9-4_17:01	213	122	91
2018-9-4_17:16	216	124	92
2018-9-4_17:31	216	124	92
2018-9-4_17:46	217	124	93
2018-9-4_18:01	219	127	92
2018-9-4_18:16	227	130	97
2018-9-4_18:31	224	135	89
2018-9-4_18:46	225	135	90
2018-9-4_19:01	214	128	86
2018-9-4_19:16	212	128	84
2018-9-4_19:31	223	134	89
2018-9-4_19:46	225	134	91
2018-9-4_20:01	233	131	102
2018-9-4_20:16	242	139	103
2018-9-4_20:31	236	133	103
2018-9-4_20:46	234	129	105
2018-9-4_21:01	235	130	105
2018-9-4_21:16	229	127	102
2018-9-4_21:31	224	123	101
2018-9-4_21:46	225	130	95
2018-9-4_22:01	217	123	94
2018-9-4_22:16	231	139	92
2018-9-4_22:31	224	137	87
2018-9-4_22:46	218	133	85
2018-9-4_23:01	215	139	76
2018-9-4_23:16	227	147	80
2018-9-4_23:31	228	147	81
2018-9-4_23:46	229	148	81
2018-9-5_0:01	230	152	78
2018-9-5_0:16	190	152	38
2018-9-5_0:31	191	152	39
2018-9-5_0:46	196	153	43
2018-9-5_1:01	196	153	43
2018-9-5_1:16	193	150	43
2018-9-5_1:31	189	146	43
2018-9-5_1:46	189	146	43
2018-9-5_2:01	190	147	43
2018-9-5_2:16	187	144	43
2018-9-5_2:31	187	144	43
2018-9-5_2:46	188	145	43
2018-9-5_3:01	188	145	43
2018-9-5_3:16	188	145	43
2018-9-5_3:31	182	139	43
2018-9-5_3:46	181	138	43
2018-9-5_4:01	180	137	43
2018-9-5_4:16	186	143	43
2018-9-5_4:31	186	143	43
2018-9-5_4:46	186	143	43
2018-9-5_5:01	186	143	43
2018-9-5_5:16	187	144	43
2018-9-5_5:31	188	145	43
2018-9-5_5:46	188	145	43
2018-9-5_6:01	188	145	43
2018-9-5_6:16	188	145	43
2018-9-5_6:31	188	145	43
2018-9-5_6:46	188	145	43
2018-9-5_7:01	182	139	43
2018-9-5_7:16	195	152	43
2018-9-5_7:31	195	152	43
2018-9-5_7:46	197	154	43
2018-9-5_8:01	193	150	43
2018-9-5_8:16	190	147	43
2018-9-5_8:31	190	147	43
2018-9-5_8:46	190	147	43
2018-9-5_9:01	197	154	43
2018-9-5_9:16	196	153	43
2018-9-5_9:31	202	159	43
2018-9-5_9:46	202	159	43
2018-9-5_10:01	200	157	43
2018-9-5_10:16	203	160	43
2018-9-5_10:31	199	156	43
2018-9-5_10:46	207	164	43
2018-9-5_11:01	206	163	43
2018-9-5_11:16	203	160	43
2018-9-5_11:31	214	171	43
2018-9-5_11:46	213	170	43
2018-9-5_12:01	213	170	43
2018-9-5_12:16	216	173	43
2018-9-5_12:31	216	173	43
2018-9-5_12:46	210	167	43
2018-9-5_13:01	203	160	43
2018-9-5_13:16	202	159	43
2018-9-5_13:31	197	154	43
2018-9-5_13:46	197	154	43
2018-9-5_14:01	205	162	43
2018-9-5_14:16	212	169	43
2018-9-5_14:31	210	167	43
2018-9-5_14:46	209	166	43
2018-9-5_15:01	204	161	43
2018-9-5_15:16	207	164	43
2018-9-5_15:31	206	163	43
2018-9-5_15:46	207	164	43
2018-9-5_16:01	208	165	43
2018-9-5_16:16	206	163	43
2018-9-5_16:31	212	169	43
2018-9-5_16:46	211	168	43
2018-9-5_17:01	209	166	43
2018-9-5_17:16	212	169	43
2018-9-5_17:31	209	166	43
2018-9-5_17:46	211	168	43
2018-9-5_18:01	211	168	43
2018-9-5_18:16	214	171	43
2018-9-5_18:31	224	181	43
2018-9-5_18:46	225	182	43
2018-9-5_19:01	222	179	43
2018-9-5_19:16	221	178	43
2018-9-5_19:31	227	184	43
2018-9-5_19:46	226	183	43
2018-9-5_20:01	219	176	43
2018-9-5_20:16	219	176	43
2018-9-5_20:31	217	174	43
2018-9-5_20:46	226	183	43
2018-9-5_21:01	224	181	43
2018-9-5_21:16	215	172	43
2018-9-5_21:31	219	176	43
2018-9-5_21:46	214	171	43
2018-9-5_22:01	213	170	43
2018-9-5_22:16	222	179	43
2018-9-5_22:31	223	180	43
2018-9-5_22:46	217	174	43
2018-9-5_23:01	199	156	43
2018-9-5_23:16	203	160	43
2018-9-5_23:31	200	157	43
2018-9-5_23:46	203	160	43
2018-9-6_0:01	204	161	43
2018-9-6_0:16	205	162	43
2018-9-6_0:31	210	167	43
2018-9-6_0:46	210	167	43
2018-9-6_1:01	211	168	43
2018-9-6_1:16	211	168	43
2018-9-6_1:31	210	167	43
2018-9-6_1:46	210	167	43
2018-9-6_2:01	209	166	43
2018-9-6_2:16	209	166	43
2018-9-6_2:31	206	163	43
2018-9-6_2:46	206	163	43
2018-9-6_3:01	206	163	43
2018-9-6_3:16	206	163	43
2018-9-6_3:31	206	163	43
2018-9-6_3:46	206	163	43
2018-9-6_4:01	206	163	43
2018-9-6_4:16	206	163	43
2018-9-6_4:31	206	163	43
2018-9-6_4:46	209	166	43
2018-9-6_5:01	209	166	43
2018-9-6_5:16	209	166	43
2018-9-6_5:31	209	166	43
2018-9-6_5:46	215	172	43
2018-9-6_6:01	213	170	43
2018-9-6_6:16	213	170	43
2018-9-6_6:31	211	168	43
2018-9-6_6:46	214	171	43
2018-9-6_7:01	221	178	43
2018-9-6_7:16	222	179	43
2018-9-6_7:31	223	180	43
2018-9-6_7:46	230	187	43
2018-9-6_8:01	229	186	43
2018-9-6_8:16	229	186	43
2018-9-6_8:31	234	191	43
2018-9-6_8:46	228	185	43
