
*
***** S3RelayServer Start (@ 2018/09/03 14:16:23.802) >>>>>
*

[2018/09/03 14:16:23] Init CheckClientID ok!
[2018/09/03 14:16:26] 1 -- Start ShowAllClientInfo =============================================
[2018/09/03 14:16:26] 2 -- End ShowAllClientInfo =============================================
[2018/09/03 14:18:01] 3 -- ==Enter Add Relay(103.92.25.248 : 53052) Client 0 !
[2018/09/03 14:18:01] 4 -- ==Add Relay(103.92.25.248 : 53052) Client 0 ! -- Count 1
[2018/09/03 14:18:01] 5 -- DB Connect 0 is busy !
[2018/09/03 14:18:01] 6 -- Relay volamtrunghieu(103.92.25.248)B499-BAB1-7C21: Verify OK !
[2018/09/03 14:18:02] 7 -- DB Connect 0 is free !
[2018/09/03 14:18:03] 8 -- Relay volamtrunghieu(103.92.25.248): Ping 2(s)
[2018/09/03 14:19:04] 9 -- ==Enter Add Relay(192.168.248.103 : 34900) Client 1 !
[2018/09/03 14:19:04] 10 -- ==Add Relay(192.168.248.103 : 34900) Client 1 ! -- Count 2
[2018/09/03 14:19:04] 11 -- DB Connect 0 is busy !
[2018/09/03 14:19:04] 12 -- Relay volamtrunghieu1(192.168.248.103)0050-56AF-5950: Verify OK !
[2018/09/03 14:19:05] 13 -- DB Connect 0 is free !
[2018/09/03 14:19:06] 14 -- Relay volamtrunghieu1(192.168.248.103): Ping 2(s)
[2018/09/03 14:20:04] 15 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/03 14:20:30] 16 -- DB Connect 0 is busy !
[2018/09/03 14:20:31] 17 -- DB Connect 0 is free !
[2018/09/03 14:21:06] 18 -- Relay volamtrunghieu1(192.168.248.103): Ping 120(s)
[2018/09/03 14:22:04] 19 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/03 14:23:07] 20 -- Relay volamtrunghieu1(192.168.248.103): Ping 120(s)
[2018/09/03 14:24:04] 21 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/03 14:25:07] 22 -- Relay volamtrunghieu1(192.168.248.103): Ping 120(s)
[2018/09/03 14:26:04] 23 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/03 14:27:07] 24 -- Relay volamtrunghieu1(192.168.248.103): Ping 119(s)
[2018/09/03 14:28:04] 25 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/03 14:29:07] 26 -- Relay volamtrunghieu1(192.168.248.103): Ping 119(s)
[2018/09/03 14:30:04] 27 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/03 14:31:07] 28 -- Relay volamtrunghieu1(192.168.248.103): Ping 120(s)
[2018/09/03 14:32:04] 29 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/03 14:33:07] 30 -- Relay volamtrunghieu1(192.168.248.103): Ping 119(s)
[2018/09/03 14:34:04] 31 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/03 14:35:07] 32 -- Relay volamtrunghieu1(192.168.248.103): Ping 120(s)
[2018/09/03 14:36:04] 33 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/03 14:37:07] 34 -- Relay volamtrunghieu1(192.168.248.103): Ping 120(s)
[2018/09/03 14:38:04] 35 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/03 14:39:07] 36 -- Relay volamtrunghieu1(192.168.248.103): Ping 119(s)
[2018/09/03 14:40:04] 37 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/03 14:41:07] 38 -- Relay volamtrunghieu1(192.168.248.103): Ping 120(s)
[2018/09/03 14:42:04] 39 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/03 14:43:07] 40 -- Relay volamtrunghieu1(192.168.248.103): Ping 119(s)
[2018/09/03 14:44:04] 41 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/03 14:45:07] 42 -- Relay volamtrunghieu1(192.168.248.103): Ping 120(s)
[2018/09/03 14:46:04] 43 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/03 14:47:07] 44 -- Relay volamtrunghieu1(192.168.248.103): Ping 119(s)
[2018/09/03 14:48:04] 45 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/03 14:49:07] 46 -- Relay volamtrunghieu1(192.168.248.103): Ping 119(s)
[2018/09/03 14:50:04] 47 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/03 14:51:07] 48 -- Relay volamtrunghieu1(192.168.248.103): Ping 120(s)
[2018/09/03 14:52:04] 49 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/03 14:53:07] 50 -- Relay volamtrunghieu1(192.168.248.103): Ping 120(s)
[2018/09/03 14:54:04] 51 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/03 14:55:07] 52 -- Relay volamtrunghieu1(192.168.248.103): Ping 119(s)
[2018/09/03 14:56:04] 53 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/03 14:57:07] 54 -- Relay volamtrunghieu1(192.168.248.103): Ping 119(s)
[2018/09/03 14:58:04] 55 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/03 14:59:07] 56 -- Relay volamtrunghieu1(192.168.248.103): Ping 120(s)
[2018/09/03 15:00:04] 57 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/03 15:01:07] 58 -- Relay volamtrunghieu1(192.168.248.103): Ping 119(s)
[2018/09/03 15:02:04] 59 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/03 15:03:07] 60 -- Relay volamtrunghieu1(192.168.248.103): Ping 120(s)
[2018/09/03 15:04:04] 61 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/03 15:05:07] 62 -- Relay volamtrunghieu1(192.168.248.103): Ping 120(s)
[2018/09/03 15:06:04] 63 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/03 15:07:07] 64 -- Relay volamtrunghieu1(192.168.248.103): Ping 119(s)
[2018/09/03 15:08:04] 65 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/03 15:09:07] 66 -- Relay volamtrunghieu1(192.168.248.103): Ping 120(s)
[2018/09/03 15:10:04] 67 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
