
*
***** S3RelayServer Start (@ 2018/09/06 09:02:04.108) >>>>>
*

[2018/09/06 09:02:04] Init CheckClientID ok!
[2018/09/06 09:02:37] 1 -- ==Enter Add Relay(103.92.25.248 : 54772) Client 0 !
[2018/09/06 09:02:37] 2 -- ==Add Relay(103.92.25.248 : 54772) Client 0 ! -- Count 1
[2018/09/06 09:02:37] 3 -- DB Connect 0 is busy !
[2018/09/06 09:02:37] 4 -- Relay volamtrunghieu(103.92.25.248)B499-BAB1-7C21: Verify OK !
[2018/09/06 09:02:38] 5 -- DB Connect 0 is free !
[2018/09/06 09:02:39] 6 -- Relay volamtrunghieu(103.92.25.248): Ping 2(s)
[2018/09/06 09:04:39] 7 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 09:06:39] 8 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 09:08:39] 9 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 09:10:40] 10 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 09:12:40] 11 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 09:14:40] 12 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 09:16:40] 13 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 09:18:40] 14 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 09:20:40] 15 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 09:22:40] 16 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 09:24:40] 17 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 09:26:40] 18 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 09:28:40] 19 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 09:30:40] 20 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 09:32:40] 21 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 09:34:40] 22 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 09:36:40] 23 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 09:38:40] 24 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 09:40:40] 25 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 09:42:40] 26 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 09:44:40] 27 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 09:46:40] 28 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 09:48:40] 29 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 09:50:40] 30 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 09:52:40] 31 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 09:54:40] 32 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 09:56:40] 33 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 09:58:40] 34 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 10:00:40] 35 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 10:02:40] 36 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 10:04:40] 37 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 10:06:40] 38 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 10:08:40] 39 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 10:10:40] 40 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 10:12:40] 41 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 10:14:40] 42 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 10:16:40] 43 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 10:18:40] 44 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 10:20:40] 45 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 10:22:40] 46 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 10:24:40] 47 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 10:26:40] 48 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 10:28:40] 49 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 10:30:40] 50 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 10:32:40] 51 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 10:34:40] 52 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 10:36:40] 53 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 10:38:40] 54 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 10:40:40] 55 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 10:42:40] 56 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 10:44:40] 57 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 10:46:40] 58 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 10:48:40] 59 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 10:50:40] 60 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 10:52:40] 61 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 10:54:40] 62 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 10:56:40] 63 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 10:58:40] 64 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 11:00:40] 65 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 11:02:40] 66 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 11:04:40] 67 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 11:06:40] 68 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 11:08:40] 69 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 11:10:40] 70 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 11:12:40] 71 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 11:14:40] 72 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 11:16:40] 73 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 11:18:40] 74 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 11:20:40] 75 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 11:22:40] 76 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 11:24:40] 77 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 11:26:40] 78 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 11:28:40] 79 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 11:30:40] 80 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 11:32:40] 81 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 11:34:40] 82 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 11:36:40] 83 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 11:38:40] 84 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 11:40:40] 85 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 11:42:40] 86 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 11:44:40] 87 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 11:46:40] 88 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 11:48:40] 89 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 11:50:40] 90 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 11:52:40] 91 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 11:54:40] 92 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 11:56:40] 93 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 11:58:40] 94 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 12:00:40] 95 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 12:02:40] 96 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 12:04:41] 97 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 12:06:40] 98 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 12:08:40] 99 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 12:10:40] 100 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 12:12:40] 101 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 12:14:40] 102 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 12:16:40] 103 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 12:18:40] 104 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 12:20:41] 105 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 12:22:40] 106 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 12:24:40] 107 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 12:26:40] 108 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 12:28:40] 109 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 12:30:40] 110 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 12:32:40] 111 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 12:34:41] 112 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 12:36:41] 113 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 12:38:41] 114 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 12:40:41] 115 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 12:42:41] 116 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 12:44:41] 117 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 12:46:40] 118 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 12:48:41] 119 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 12:50:40] 120 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 12:52:41] 121 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 12:54:41] 122 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 12:56:41] 123 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 12:58:41] 124 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 13:00:41] 125 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 13:02:41] 126 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 13:04:41] 127 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 13:06:41] 128 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 13:08:41] 129 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 13:10:41] 130 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 13:12:41] 131 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 13:14:41] 132 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 13:16:41] 133 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 13:18:41] 134 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 13:20:41] 135 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 13:22:41] 136 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 13:24:41] 137 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 13:26:41] 138 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 13:28:41] 139 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 13:30:41] 140 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 13:32:41] 141 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 13:34:41] 142 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 13:36:41] 143 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 13:38:41] 144 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 13:40:41] 145 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 13:42:41] 146 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 13:44:41] 147 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 13:46:41] 148 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 13:48:41] 149 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 13:50:41] 150 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 13:52:41] 151 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 13:54:41] 152 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 13:56:41] 153 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 13:58:41] 154 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 14:00:41] 155 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 14:02:41] 156 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 14:04:41] 157 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 14:06:41] 158 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 14:08:41] 159 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 14:10:41] 160 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 14:12:41] 161 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 14:14:41] 162 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 14:16:41] 163 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 14:18:41] 164 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 14:20:41] 165 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 14:22:41] 166 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 14:24:41] 167 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 14:26:41] 168 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 14:28:41] 169 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 14:30:41] 170 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 14:32:41] 171 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
