Ãỷ³ặ	ItemGenre	DetailType	ParticularType	ả¯ằưẻÄẳỵÃỷ	ảễểƯẻùẳỵậữềý	¿ớảẩ	áòảẩ	ậàÃữẻÄìệ	ẻồééấụéễ	ẳÛáủ	àẩẳả	ấầãủàỵãÅ	ằự´Ăấụéễ1ÀàéÍ	ằự´Ăấụéễ1ìợéĂệà	ằự´Ăấụéễ1ìợ´úệà	ằự´Ăấụéễ2ÀàéÍ	ằự´Ăấụéễ2ìợéĂệà	ằự´Ăấụéễ2ìợ´úệà	ằự´Ăấụéễ3ÀàéÍ	ằự´Ăấụéễ3ìợéĂệà	ằự´Ăấụéễ3ìợ´úệà	ằự´Ăấụéễ4ÀàéÍ	ằự´Ăấụéễ4ìợéĂệà	ằự´Ăấụéễ4ìợ´úệà	ằự´Ăấụéễ5ÀàéÍ	ằự´Ăấụéễ5ìợéĂệà	ằự´Ăấụéễ5ìợ´úệà	ằự´Ăấụéễ6ÀàéÍ	ằự´Ăấụéễ6ìợéĂệà	ằự´Ăấụéễ6ìợ´úệà	ằự´Ăấụéễ7ÀàéÍ	ằự´Ăấụéễ7ìợéĂệà	ằự´Ăấụéễ7ìợ´úệà	éốầúấụéễ1ÀàéÍ	éốầúấụéễ1ấýệà	éốầúấụéễ2ÀàéÍ	éốầúấụéễ2ấýệà	éốầúấụéễ3ÀàéÍ	éốầúấụéễ3ấýệà	éốầúấụéễ4ÀàéÍ	éốầúấụéễ4ấýệà	éốầúấụéễ5ÀàéÍ	éốầúấụéễ5ấýệà	éốầúấụéễ6ÀàéÍ	éốầúấụéễ6ấýệà	ÄĐãăấụéễậữềý1	ÄĐãăấụéễậữềý2	ÄĐãăấụéễậữềý3	ÄĐãăấụéễậữềý4	ÄĐãăấụéễậữềý5	ÄĐãăấụéễậữềý6	ậựễÚèìì°	Àâếạèìì°	Àâếạèìì°éũºÅ	Àâếạèìì°ềỵ²ỉấụéễ1	Àâếạèìì°ềỵ²ỉấụéễ2	¿ẫẩÛÁảấụéễấýÁ¿	¿ẫẩÛÁảẻặáệặãệấ			
Mộng Long Chính Hồng Tăng Mão	0	7	0	\spr\item\equip\cap\obj-ma-cap03-3.spr	28	2	2	Trang bị Hoàng Kim	1	49999	10	0	30	360	360	31	85	85																36	90	32	160	39	0							2	171	46	311	6	155	1									
Mộng Long Kim Ti Chính Hồng Cà Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-3.spr	22	2	3	Trang bị Hoàng Kim	2	49999	10	0	30	720	720	31	90	90																36	99	32	260	39	0							2	40	170	307	6	324	1									
Mộng Long Huyền Ti Phát đái	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	Trang bị Hoàng Kim	0	49999	10	0	30	160	160	31	80	80																36	95	32	135	39	0							418	309	172	311	416	417	1									
Mộng Long Phật Pháp Huyền Bội	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Trang bị Hoàng Kim	4	49999	10	0																						36	80	39	0									129	130					1									
Mộng Long Đạt Ma Tăng hài	0	5	0	\spr\item\equip\boots\obj-shoes04.spr	26	2	2	Trang bị Hoàng Kim	3	49999	10	0	30	160	160	31	80	80																36	85	32	135	39	0							2	104	6	311			1									
Phục Ma Tử Kim Côn	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Trang bị Hoàng Kim	0	49999	10	0	28	69	69	29	128	128	167	-10	-10	31	99	99										36	99	32	180	39	0							48	43	52	71	113	155	2									
Phục Ma Huyền Hoàng Cà Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-2.spr	22	2	3	Trang bị Hoàng Kim	4	49999	10	0	30	720	720	31	90	90																36	90	32	260	39	0							2	306	175	307			2									
Phục Ma Ô Kim Nhuyễn Điều	0	6	0	\spr\item\equip\sash\obj-sash07.spr	33	2	1	Trang bị Hoàng Kim	3	49999	10	0	30	160	160	31	80	80																36	85	32	135	39	0							418	309	177	311	416	417	2									
Phục Ma Phật Tâm Nhuyễn Khấu	0	9	1	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Trang bị Hoàng Kim	1	49999	10	0																						36	80	39	0									129	130					2									
Phục Ma Phổ Độ Tăng hài	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Trang bị Hoàng Kim	2	49999	10	0	30	160	160	31	80	80																36	95	32	135	39	0							2	325	320	88	6	437	2									
Tứ Không Giáng Ma Giới đao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang bị Hoàng Kim	0	49999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	99	32	135	39	0							2	43	48	71	113	155	3									
Tứ Không Tử Kim Cà Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-1.spr	22	2	3	Trang bị Hoàng Kim	4	49999	10	0	30	720	720	31	90	90																36	90	32	260	39	0							2	306	178	317			3									
Tứ Không Hộ pháp Yêu đái	0	6	0	\spr\item\equip\sash\obj-sash08.spr	33	2	1	Trang bị Hoàng Kim	3	49999	10	0	30	160	160	31	80	80																36	85	32	135	39	0							2	309	177	311	416	425	3									
Tứ Không Nhuyễn Bì Hộ Uyển	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bị Hoàng Kim	1	49999	10	0	30	135	135	31	80	80																36	95	32	110	39	0							2	417	326	311	6	179	3									
Tứ Không Giới Luật Pháp giới	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bị Hoàng Kim	2	49999	10	0																						36	80	39	0									129	130					3									
