TongCount=25, MemberCount=44, UnionCount=0
TongName	MasterName	TongLevel	TongExp	SelfCamp	AllMemberCount	DirectorCount	ManagerCount	MemberCount	BuildLevel	MoneyFund	BuildFund	WarBuildFund	MaintainFund	StoredOffer	StoredBuildFund	UnionNum	UnionName	IsUnionLeader	UnionCamp
HáaÙLong	HáaÙLongÙTµÙNh©n	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
DEPÙBLH	DCPÙTL	0	0	2	11	1	2	7	0	0	0	0	0	0	0	0		0	0
V«ÙDanh	§¹tÙNÖn	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
luongson	testgame	7	51240	2	1	0	0	0	0	1870000	0	0	0	0	0	0		0	0
MétÙThêi	HoaÙDiÙCungÙChñ	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
§ÖNhÊt	ChäcChäc	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0		0	0
ewtrwtwe	fasfaffaew	3	13080	3	1	0	0	0	0	109566111	0	0	0	0	0	0		0	0
TEST	TESTGAMES	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0		0	0
KimÙ	CuÙChÜÙNg­äc	4	22080	3	1	0	0	0	0	999562239	2240	0	0	22400	0	0		0	0
Trau	SonLinnh	1	1680	1	1	0	0	0	0	205070185	1111	0	0	0	0	0		0	0
ChoiDi	rayleigh	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
MinhXD	VuVuVnn	4	22200	3	2	1	0	0	0	2697541713	15540	51643	0	22330	0	0		0	0
Laladu	ZzCuxizZ	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
HHBang	SangTpXXX	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
TestHoi	TestChoi	5	25560	3	9	2	0	6	0	665555216	0	0	0	0	0	0		0	0
Chien	SangTp4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
V×Sao	JohnniSon	6	36840	1	1	0	0	0	0	554020555	0	0	0	0	0	0		0	0
admin	testgame2	5	35880	1	1	0	0	0	0	106621111	0	0	0	0	0	0		0	0
TèngÙ	Anyonie	4	23400	1	1	0	0	0	0	313438441	0	0	0	0	0	0		0	0
ThiªnH¹	T©nKhócSÇu	3	9840	1	1	0	0	0	0	99590000	0	0	0	0	0	0		0	0
102	o0oVmTo0o	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0		0	0
L¸o	L¸oÙTõÙNhá	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0		0	0
MaGiao	RuouQuenSau	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
ThèngÙ	ÙCuÙChÜÙNg­îcÙ	0	120	3	1	0	0	0	0	995000	2240	0	0	22400	0	0		0	0
qwerqwr	testgame3	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0		0	0
