MAP_ID	GAMESVR_SET_1	GAMESVR_SET_2	GAMESVR_SET_3	GAMESVR_SET_4	GAMESVR_SET_5	GAMESVR_SET_6	GAMESVR_SET_7	GAMESVR_SET_8	GAMESVR_SET_9	GAMESVR_SET_10	GAMESVR_SET_11	GAMESVR_SET_12	GAMESVR_SET_13	GAMESVR_SET_14	GAMESVR_SET_15	GAMESVR_SET_16	±¸×¢
1			3	1	3												 Ph­îng T­êng
2			3	1	3												 Hoa S¬n
3			3	1	3												KiÕm C¸c T©y B¾c
4			3	1	3												Kim Quang ®éng
5			3	1	3												Kinh Hoµng ®éng
6			3	1	3												Táa V©n ®éng
7			3	1	3												TÇn L¨ng
8			3	1	3												L¨ng TÇn Thñy Hoµng
9			1	1	1												Tr­êng Giang Nguyªn §Çu
10			1	1	1												Nh¹n Th¹ch ®éng
11			1	1	1												 Thµnh §«
12			1	1	1												§Þa ®¹o hËu viÖn TÝn T­íng tù
13			1	1	1												Nga My ph¸i
14			1	1	1												M·nh Hæ ®éng
15			1	1	1												Gi¶ng Kinh §­êng
16			1	1	1												TiÒn ®iÖn
17			1	1	1												ChÝnh ®iÖn
18			1	1	1												T¶ Thiªn ®iÖn
19			1	1	1												KiÕm C¸c T©y Nam
20			1	1	1												Giang T©n Th«n
21			1	1	1												 Thanh Thµnh s¬n
22			1	1	1												B¹ch V©n ®éng
23			1	1	1												ThÇn Tiªn ®éng
24			1	1	1												H­ëng Thñy ®éng
25			1	1	1												§­êng M«n
26			1	1	1												Tróc T¬ ®éng tÇng 1
27			1	1	1												Tróc T¬ ®éng tÇng 2
28			1	1	1												Tróc T¬ ®éng tÇng 3
29			1	1	1												¸m khÝ phßng
30			1	1	1												Háa khÝ phßng
31			1	1	1												Vâ c«ng phßng
32			1	1	1												Y d­îc phßng
33			1	1	1												Phßng kh¸ch
34			1	1	1												Phßng nghÞ sù
35			1	1	1												ChÝnh phßng
36			1	1	1												TÕ tæ ®­êng
37			3	1	3												 BiÖn Kinh
38			3	1	3												ThiÕt th¸p tÇng 1 
39			3	1	3												ThiÕt th¸p tÇng 2 
40			3	1	3												ThiÕt th¸p tÇng 3
41			2	1	3												Phôc Ng­u S¬n T©y
42			2	1	3												Thiªn T©m ®éng
43			2	1	3												KiÕm C¸c Trung Nguyªn
44			1	1	4												ChiÕn tr­êng Tèng Kim
45			3	1	2												Thiªn NhÉn gi¸o
46			3	1	2												Thiªn NhÉn Gi¸o tÇng 1
47			3	1	2												Thiªn NhÉn Gi¸o tÇng 2
48			3	1	2												Thiªn NhÉn Gi¸o tÇng 2
49			3	1	2												Thiªn NhÉn Gi¸o tÇng 3
50			3	1	2												ThÊt S¸t ®éng
51			3	1	2												Th¸nh ®éng tÇng 1
52			3	1	2												Th¸nh ®éng tÇng 2
53			2	1	2												Ba L¨ng huyÖn
54			2	1	1												Nam Nh¹c trÊn
55			2	1	1												§µo Hoa Nguyªn
56			2	1	1												Hoµnh S¬n Ph¸i
57			1	1	1												Hoµnh S¬n ®¹i ®×nh
58			2	1	1												§éc C« KiÕm Ngäa thÊt
59			2	1	1												Thiªn V­¬ng Bang
60			2	1	1												TiÒn ®iÖn
61			2	1	1												Thiªn V­¬ng §¹i ®iÖn
62			2	1	1												TÈm cung
65			2	1	1												Thiªn V­¬ng ®¶o s¬n ®éng
66			2	1	1												§¸y §éng §×nh hå tÇng 1
67			2	1	1												§¸y §éng §×nh hå tÇng 2
68			2	1	1												Thanh Loa ®¶o
69			2	1	1												Thanh Loa ®¶o s¬n ®éng
70			3	1	3												Vò L¨ng s¬n
71			3	1	3												B¹ch Thñy ®éng
72			3	1	3												§¹i Tï ®éng
73			3	1	3												Phôc L­u ®éng
74			3	1	3												Miªu LÜnh
75			3	1	3												Kho¶ Lang ®éng
76			3	1	3												S¬n B¶o ®éng
77			3	1	3												YÕn Tö ®éng
78			2	1	2												 T­¬ng D­¬ng
79			2	1	2												MËt ®¹o Nha m«n T­¬ng D­¬ng
80			2	1	3												 D­¬ng Ch©u
81			2	1	2												Vâ §ang ph¸i
82			2	1	2												Mª cung §¸y giÕng
83			2	1	2												Háa Lang ®éng
84			2	1	2												Tö Tiªu ®¹i ®iÖn
85			2	1	2												ThËp Ph­¬ng ®iÖn
86			2	1	2												Phô MÉu ®iÖn
87			2	1	2												Long Hæ ®iÖn
90			2	1	3												Phôc Ng­u S¬n §«ng
91			2	1	3												Mª cung Kª Qu¸n ®éng
92			2	1	3												Thôc C­¬ng s¬n
93			2	1	3												TiÕn Cóc ®éng
94			2	1	3												Linh Cèc ®éng
99			3	1	3												VÜnh L¹c trÊn
100			3	1	2												Chu Tiªn trÊn
101			2	1	3												§¹o H­¬ng th«n
102			2	1	3												Th¸nh ®éng tÇng 2
103			2	1	3												ThiÕu L©m ph¸i
104			2	1	3												Tµng Kinh C¸c
105			2	1	3												§¹t Ma §­êng
106			2	1	3												§¹i Hïng b¶o ®iÖn
109			2	1	3												Ph­¬ng tr­îng ThiÒn phßng
110			2	1	3												La H¸n §­êng
111			2	1	3												Méc Nh©n H¹ng
112			2	1	3												Thiªn PhËt ®iÖn
113			2	1	3												MËt thÊt ThiÕu L©m
114			2	1	3												108 La H¸n trËn
115			2	1	2												C¸i Bang
116			2	1	2												T­êng V©n ®éng tÇng 1 
117			2	1	2												T­êng V©n ®éng tÇng 2
118			2	1	2												T­êng V©n ®éng tÇng 3
119			2	1	2												T­êng V©n ®éng tÇng 4
120			2	1	2												T­êng V©n ®éng tÇng 5
121			3	1	3												Long M«n trÊn
122			2	1	3												Hoµng Hµ Nguyªn §Çu
123			2	1	3												L·o Hæ ®éng
124			2	1	3												C¸n Viªn ®éng
125			2	1	2												L­u Tiªn ®éng tÇng 1
126			2	1	2												L­u Tiªn ®éng tÇng 2
127			2	1	2												L­u Tiªn ®éng tÇng 3
128			2	1	2												L­u Tiªn ®éng tÇng 4
129			2	1	2												L­u Tiªn ®éng tÇng 5
130			2	1	2												L­u Tiªn ®éng tÇng 6
131			3	1	3												C«n L«n ph¸i
132			3	1	3												B¨ng HuyÖt ®éng
135			3	1	3												KiÕn TÝnh Phong s¬n ®éng
136			3	1	3												Kho¸i Ho¹t L©m
137			3	1	3												Thiªn Vi ®iÖn
138			3	1	3												ChÝnh ®iÖn
139			3	1	3												Tö Vi ®iÖn
140			3	1	2												D­îc V­¬ng Cèc
