等级	升级需要经验	升级附加经验（万）	1转附加经验	2转附加经验	3转附加经验	4转附加经验	5转附加经验
1	100						
2	100						
3	100						
4	100						
5	100						
6	100						
7	100						
8	100						
9	100						
10	200						
11	200						
12	200						
13	200						
14	200						
15	200						
16	200						
17	200						
18	200						
19	200						
20	1000						
21	1000						
22	1000						
23	1000						
24	1000						
25	1000						
26	1000						
27	1000						
28	1000						
29	1000						
30	8000						
31	8000						
32	8000						
33	8000						
34	8000						
35	8000						
36	8000						
37	8000						
38	8000						
39	8000						
40	20000						
41	20000						
42	20000						
43	20000						
44	20000						
45	20000						
46	20000						
47	20000						
48	20000						
49	20000						
50	40000						
51	40000						
52	40000						
53	40000						
54	40000						
55	40000						
56	40000						
57	40000						
58	40000						
59	40000						
60	80000						
61	80000						
62	80000						
63	80000						
64	80000						
65	80000						
66	80000						
67	80000						
68	80000						
69	80000						
70	150000						
71	150000						
72	150000						
73	150000						
74	150000						
75	150000						
76	150000						
77	150000						
78	150000						
79	150000						
80	250000						
81	250000						
82	250000						
83	250000						
84	250000						
85	250000						
86	250000						
87	250000						
88	250000						
89	250000						
90	400000						
91	400000						
92	400000						
93	400000						
94	400000						
95	400000						
96	400000						
97	400000						
98	400000						
99	400000						
100	1000000						
101	1000000						
102	1000000						
103	1000000						
104	1000000						
105	1000000						
106	1000000						
107	1000000						
108	1000000						
109	1000000						
110	10000000						
111	10000000						
112	10000000						
113	10000000						
114	10000000						
115	10000000						
116	10000000						
117	10000000						
118	10000000						
119	10000000						
120	70000000						
121	70000000						
122	70000000						
123	70000000						
124	70000000						
125	70000000						
126	70000000						
127	70000000						
128	70000000						
129	70000000						
130	100000000			48000	64000	0	496000
131	100000000			48000	64000	144000	496000
132	100000000			48000	64000	144000	496000
133	100000000			48000	64000	144000	496000
134	100000000			48000	64000	144000	496000
135	100000000			60000	80000	140000	620000
136	100000000			60000	80000	180000	620000
137	100000000			60000	80000	180000	620000
138	100000000			60000	80000	180000	620000
139	100000000			60000	80000	180000	620000
140	150000000			90000	120000	170000	930000
141	150000000			90000	120000	270000	930000
142	150000000			90000	120000	270000	930000
143	150000000			90000	120000	270000	930000
144	150000000			90000	120000	270000	930000
145	150000000			150000	200000	250000	1550000
146	150000000			150000	200000	450000	1550000
147	150000000			150000	200000	450000	1550000
148	150000000			150000	200000	450000	1550000
149	150000000			150000	200000	450000	1550000
150	250000000		10000	240000	320000	420000	2480000
151	250000000		10000	240000	320000	720000	2480000
152	250000000		10000	240000	320000	720000	2480000
153	250000000		10000	240000	320000	720000	2480000
154	250000000		10000	240000	320000	720000	2480000
155	250000000		10000	360000	480000	680000	3720000
156	250000000		10000	360000	480000	1080000	3720000
157	250000000		10000	360000	480000	1080000	3720000
158	250000000		10000	360000	480000	1080000	3720000
159	250000000		10000	360000	480000	1080000	3720000
160	350000000		20000	540000	720000	1020000	5580000
161	350000000		20000	540000	720000	1620000	5580000
162	350000000		20000	540000	720000	1620000	5580000
163	350000000		20000	540000	720000	1620000	5580000
164	350000000		20000	540000	720000	1620000	5580000
165	350000000		20000	600000	800000	1600000	6200000
166	350000000		20000	600000	800000	1800000	6200000
167	350000000		20000	600000	800000	1800000	6200000
168	350000000		20000	600000	800000	1800000	6200000
169	350000000		20000	600000	800000	1800000	6200000
170	350000000		30000	600000	800000	1800000	6200000
171	500000000		30000	600000	800000	1800000	6200000
172	500000000		30000	600000	800000	1800000	6200000
173	500000000		30000	600000	800000	1800000	6200000
174	500000000		30000	600000	800000	1800000	6200000
175	500000000		30000	600000	800000	1800000	6200000
176	500000000		30000	600000	800000	1800000	6200000
177	500000000		30000	600000	800000	1800000	6200000
178	500000000		30000	600000	800000	1800000	6200000
179	500000000		30000	600000	800000	1800000	6200000
180	1000000000		40000	600000	800000	1800000	6200000
181	1000000000		40000	600000	800000	1800000	6200000
182	1000000000		40000	600000	800000	1800000	6200000
183	1000000000		40000	600000	800000	1800000	6200000
184	1000000000		40000	600000	800000	1800000	6200000
185	1000000000		40000	600000	800000	1800000	6200000
186	1000000000		40000	600000	800000	1800000	6200000
187	1000000000		40000	600000	800000	1800000	6200000
188	1000000000		40000	600000	800000	1800000	6200000
189	1000000000		40000	600000	800000	1800000	6200000
190	2000000000		50000	600000	800000	1800000	6200000
191	2000000000		50000	600000	800000	1800000	6200000
192	2000000000		50000	600000	800000	1800000	6200000
193	2000000000		50000	600000	800000	1800000	6200000
194	2000000000		50000	600000	800000	1800000	6200000
195	2000000000		50000	600000	800000	1800000	6200000
196	2000000000		50000	600000	800000	1800000	6200000
197	2000000000		50000	600000	800000	1800000	6200000
198	2000000000		50000	600000	800000	1800000	6200000
199	2000000000		50000	1800000	1800000	1800000	15800000
200	2000000000		50000	1800000	1800000	3800000	15800000
