[Enchasable]Item: (0,2,2,0,2,10), unbind = 0, bind = 0
[Enchasable]Item: (0,2,2,17,3,10), unbind = 0, bind = 0
[Enchasable]Item: (0,2,8,1,3,10), unbind = 0, bind = 0
[Normal]Item: 鸿影之沈园晚醉(0,1,203,1,1,10), unbind = 0, bind = 100
[Normal]Item: 火尖枪(0,0,0,3,4,9), unbind = 0, bind = 0
[Normal]Item: [完美的]安邦之冰晶石项链(0,1,209,0,4,10), unbind = 0, bind = 100
[Enchasable]Item: (0,2,7,2,3,9), unbind = 0, bind = 0
[Enchasable]Item: (0,2,5,0,3,7), unbind = 0, bind = 0
[Normal]Item: [完美的]安邦之鸡血石戒指(0,1,212,0,3,8), unbind = 0, bind = 100
[Normal]Item: [完美的]安邦之菊花石指环(0,1,210,0,2,8), unbind = 0, bind = 100
[Enchasable]Item: (0,2,0,1,2,10), unbind = 0, bind = 0
[Normal]Item: 飞云(0,0,10,8,0,10), unbind = 0, bind = 100
[Normal]Item: 安邦之田黄石玉佩(0,1,165,1,1,8), unbind = 0, bind = 100
[Normal]Item: 鸿影之红袖招(0,1,206,1,3,10), unbind = 0, bind = 100
[Enchasable]Item: (0,2,6,0,3,9), unbind = 0, bind = 0
[Normal]Item: 海蓝宝石戒指(0,0,3,0,1,7), unbind = 0, bind = 0
[Normal]Item: 金箍棒(0,0,0,2,1,10), unbind = 0, bind = 0
[Normal]Item: 柔情之巾帼霓裳(0,1,189,11,0,5), unbind = 0, bind = 100
[Normal]Item: 金枫之铜雀春深(0,1,184,0,1,5), unbind = 0, bind = 100
[Normal]Item: 金枫之后羿引弓(0,1,181,1,3,5), unbind = 0, bind = 100
[Normal]Item: 金枫之公谨三叹(0,1,179,0,2,5), unbind = 0, bind = 100
[Normal]Item: 金枫之濯之链光(0,1,178,1,1,5), unbind = 0, bind = 100
[Normal]Item: 照夜玉狮子(0,0,10,5,0,10), unbind = 0, bind = 100
[Normal]Item: 火尖枪(0,0,0,3,3,9), unbind = 0, bind = 0
[Normal]Item: 柔情之慧心玉佩(0,1,192,0,3,5), unbind = 0, bind = 100
[Normal]Item: 蓝宝石戒指(0,0,3,0,3,9), unbind = 0, bind = 0
[Normal]Item: 霸王镖(0,0,1,0,0,10), unbind = 0, bind = 0
[Normal]Item: 钻石戒指(0,0,3,0,3,10), unbind = 0, bind = 0
[Normal]Item: 蓝宝石戒指(0,0,3,0,4,9), unbind = 0, bind = 0
[Normal]Item: 蓝宝石戒指(0,0,3,0,4,9), unbind = 0, bind = 0
[Normal]Item: 钻石戒指(0,0,3,0,2,10), unbind = 0, bind = 0
[Normal]Item: 蓝宝石戒指(0,0,3,0,2,9), unbind = 0, bind = 0
[Normal]Item: 钻石戒指(0,0,3,0,3,10), unbind = 0, bind = 0
[Normal]Item: 钻石戒指(0,0,3,0,1,10), unbind = 0, bind = 0
[Normal]Item: 鸿影之沈园晚醉(0,1,203,1,1,10), unbind = 0, bind = 100
[Normal]Item: 安邦之冰晶石项链(0,1,163,0,4,10), unbind = 0, bind = 100
[Normal]Item: 安邦之鸡血石戒指(0,1,166,0,3,8), unbind = 0, bind = 100
[Normal]Item: 安邦之田黄石玉佩(0,1,165,1,1,8), unbind = 0, bind = 100
[Normal]Item: 蓝宝石戒指(0,0,3,0,3,9), unbind = 0, bind = 0
[Normal]Item: 照夜玉狮子(0,0,10,5,0,10), unbind = 0, bind = 100
[Normal]Item: 安邦之菊花石指环(0,1,164,0,2,8), unbind = 0, bind = 100
[Normal]Item: 定国之紫藤护腕(0,1,161,1,3,8), unbind = 0, bind = 100
[Normal]Item: 定国之钨砂发冠(0,1,159,3,2,9), unbind = 0, bind = 100
[Normal]Item: 定国之青纱长衫(0,1,158,3,0,8), unbind = 0, bind = 100
[Normal]Item: 大风刀(0,0,0,1,3,10), unbind = 0, bind = 0
[Normal]Item: 金枫之濯之链光(0,1,178,1,1,5), unbind = 0, bind = 100
[Normal]Item: 金枫之铜雀春深(0,1,184,0,1,5), unbind = 0, bind = 100
[Normal]Item: 金枫之夺魂玉带(0,1,180,1,4,5), unbind = 0, bind = 100
[Normal]Item: 碎月刀(0,0,1,1,0,10), unbind = 0, bind = 0
[Normal]Item: 柔情之慧心玉佩(0,1,192,0,3,5), unbind = 0, bind = 100
[Normal]Item: 柔情之凤仪戒指(0,1,191,0,4,5), unbind = 0, bind = 100
[Normal]Item: 侠骨之丹心戒(0,1,187,0,0,5), unbind = 0, bind = 100
[Normal]Item: 定国之钨砂发冠(0,1,159,3,2,9), unbind = 0, bind = 100
[Normal]Item: 金枫之铜雀春深(0,1,184,0,1,5), unbind = 0, bind = 100
[Normal]Item: 金枫之夺魂玉带(0,1,180,1,4,5), unbind = 0, bind = 100
[Normal]Item: 金枫之后羿引弓(0,1,181,1,3,5), unbind = 0, bind = 100
[Normal]Item: 金枫之公谨三叹(0,1,179,0,2,5), unbind = 0, bind = 100
[Normal]Item: 金枫之兰亭玉(0,1,182,1,0,5), unbind = 0, bind = 100
[Normal]Item: 金枫之青阳盔(0,1,176,4,2,5), unbind = 0, bind = 100
[Normal]Item: 金枫之麒麟血(0,1,177,18,0,5), unbind = 0, bind = 100
[Normal]Item: 金枫之濯之链光(0,1,178,1,1,5), unbind = 0, bind = 100
[Normal]Item: 金枫之千里草上飞(0,1,183,1,4,5), unbind = 0, bind = 100
[Normal]Item: 飞刀(0,0,1,1,0,1), unbind = 0, bind = 0
[Normal]Item: 侠骨之铁血衫(0,1,185,3,2,5), unbind = 0, bind = 100
[Enchasable]Item: (0,2,7,2,3,4), unbind = 0, bind = 0
[Normal]Item: 天煌龙器之龙哭千里(0,1,174,1,4,6), unbind = 0, bind = 100
[Enchasable]Item: (0,2,2,13,1,9), unbind = 0, bind = 0
[Enchasable]Item: (0,2,5,0,0,10), unbind = 0, bind = 0
[Enchasable]Item: (0,2,7,11,3,8), unbind = 0, bind = 0
[Normal]Item: 钻石戒指(0,0,3,0,1,10), unbind = 0, bind = 0
[Normal]Item: 照夜玉狮子(0,0,10,5,0,10), unbind = 0, bind = 100
[Normal]Item: 蝴蝶镖(0,0,1,0,1,8), unbind = 0, bind = 0
[Normal]Item: 金枫之千里草上飞(0,1,183,1,4,5), unbind = 0, bind = 100
[Normal]Item: 金枫之麒麟血(0,1,177,18,0,5), unbind = 0, bind = 100
[Normal]Item: 金枫之青阳盔(0,1,176,4,2,5), unbind = 0, bind = 100
[Normal]Item: 金枫之兰亭玉(0,1,182,1,0,5), unbind = 0, bind = 100
[Normal]Item: 金枫之公谨三叹(0,1,179,0,2,5), unbind = 0, bind = 100
[Normal]Item: 金枫之后羿引弓(0,1,181,1,3,5), unbind = 0, bind = 100
[Normal]Item: 金枫之夺魂玉带(0,1,180,1,4,5), unbind = 0, bind = 100
[Normal]Item: 金枫之铜雀春深(0,1,184,0,1,5), unbind = 0, bind = 100
[Normal]Item: 钻石戒指(0,0,3,0,4,10), unbind = 0, bind = 0
[Normal]Item: 玄铁剑(0,0,0,0,3,10), unbind = 0, bind = 0
[Normal]Item: 光杆刀(0,0,1,1,2,7), unbind = 0, bind = 0
[Normal]Item: 带衣刀(0,0,1,1,0,5), unbind = 0, bind = 0
[Enchasable]Item: (0,2,7,11,4,10), unbind = 0, bind = 0
[Enchasable]Item: (0,2,2,1,3,8), unbind = 0, bind = 0
[Normal]Item: 吞日斩(0,0,0,5,2,10), unbind = 0, bind = 0
[Normal]Item: 玄铁剑(0,0,0,0,3,10), unbind = 0, bind = 0
[Normal]Item: 破天戟(0,0,0,3,1,10), unbind = 0, bind = 0
[Normal]Item: 天煌龙器之九现之指(0,1,170,0,2,6), unbind = 0, bind = 100
[Normal]Item: 天煌龙器之怒龙之瞳(0,1,175,0,1,6), unbind = 0, bind = 100
[Normal]Item: 天煌龙器之镇冥之链(0,1,169,1,1,6), unbind = 0, bind = 100
[Normal]Item: 天煌龙器之磐龙瑰(0,1,173,1,0,6), unbind = 0, bind = 100
[Normal]Item: 天煌龙器之玉逍遥(0,1,171,1,4,6), unbind = 0, bind = 100
[Normal]Item: 天煌龙器之黄金鳞(0,1,172,1,3,6), unbind = 0, bind = 100
[Normal]Item: 金枫之麒麟血(0,1,177,18,0,5), unbind = 0, bind = 100
[Normal]Item: 金枫之公谨三叹(0,1,179,0,2,5), unbind = 0, bind = 100
[Normal]Item: 金枫之青阳盔(0,1,176,4,2,5), unbind = 0, bind = 100
[Normal]Item: 金枫之千里草上飞(0,1,183,1,4,5), unbind = 0, bind = 100
[Normal]Item: 破甲弩(0,0,1,2,0,7), unbind = 0, bind = 0
