00:00:33	 Account: kingvl1	Name: HáaLongCaCa	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
00:32:25	 Account: huynhtrongtri12	Name: KiÕmPhongKim	 DelItem: Kim Phong HËu NghÖ dÉn cung
00:34:10	 Account: huynhtrongtri12	Name: KiÕmPhongKim	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
01:26:30	 Account: letutl77	Name: AnLyLy	 DelItem: S¸ch kü n¨ng cÊp 90
01:26:30	 Account: letutl77	Name: AnLyLy	 DelItem: §¹i Thµnh BÝ KÝp 90
01:26:30	 Account: letutl77	Name: AnLyLy	 DelItem: Tóc S­¬ng
01:26:30	 Account: letutl77	Name: AnLyLy	 DelItem: Tóc S­¬ng
08:13:13	 Account: kingvl5	Name: HDÙTh¶o	 DelItem: Tóc S­¬ng
11:23:39	 Account: bando	Name: HDÙMÑThiªnH¹	 DelItem: Tóc S­¬ng
11:23:47	 Account: bando	Name: HDÙMÑThiªnH¹	 DelItem: Tóc S­¬ng
12:47:19	 Account: tranvinh04	Name: B­ímÙEmÙCãÙ§éc	 DelItem: M¶nh trang bÞ Kim Phong thø 2
12:47:19	 Account: tranvinh04	Name: B­ímÙEmÙCãÙ§éc	 DelItem: M¶nh Trang bÞ Thiªn Hoµng thø 5
13:09:56	 Account: huynhtrongtri15	Name: HáaS¸tNéiC«ng	 DelItem: Kim Phong Thanh D­¬ng Kh«i
13:09:56	 Account: huynhtrongtri15	Name: HáaS¸tNéiC«ng	 DelItem: Kim Phong HËu NghÖ dÉn cung
13:11:24	 Account: huynhtrongtri15	Name: HáaS¸tNéiC«ng	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
13:12:43	 Account: tranvinh05	Name: 75ÙNhíÙMétÙNg­êi	 DelItem: MËt ®å thÇn bÝ 
13:12:43	 Account: tranvinh05	Name: 75ÙNhíÙMétÙNg­êi	 DelItem: M¶nh trang bÞ Kim Phong thø 3
13:12:43	 Account: tranvinh05	Name: 75ÙNhíÙMétÙNg­êi	 DelItem: D©y Buéc Hoa
13:26:49	 Account: phamtungdhv6	Name: ZzYunazZ	 DelItem: S¸ch kü n¨ng cÊp 90
13:26:49	 Account: phamtungdhv6	Name: ZzYunazZ	 DelItem: §¹i Thµnh BÝ KÝp 90
13:26:49	 Account: phamtungdhv6	Name: ZzYunazZ	 DelItem: Tóc S­¬ng
13:26:49	 Account: huynhtrongtri14	Name: §écS¸tNgo¹iC«ng	 DelItem: Giá §ùng Hoa
13:28:31	 Account: thoakhungs4	Name: Ch¶Lôa	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
13:57:14	 Account: hieuham1994	Name: §écC«ÙCÇuB¹i	 DelItem: Kim Phong Kú L©n HuyÕt
14:00:24	 Account: nonhanvd	Name: Vâ§angÙCh©nÙNh©n	 DelItem: S¸ch kü n¨ng cÊp 90
14:00:24	 Account: nonhanvd	Name: Vâ§angÙCh©nÙNh©n	 DelItem: §¹i Thµnh BÝ KÝp 90
14:47:22	 Account: minhtrand28	Name: caytien02	 DelItem: Tóc S­¬ng
14:57:45	 Account: banhang1	Name: 1234566789	 DelItem: Kim Phong Kú L©n HuyÕt
14:57:54	 Account: banhang1	Name: 1234566789	 DelItem: Kim Phong HËu NghÖ dÉn cung
