00:18:53	 Account: samsimon1	Name: ÙRitaÙOri	 DelItem: Kim Phong Thanh D­¬ng Kh«i
00:19:02	 Account: luukt52	Name: NgoalongTN	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
00:19:02	 Account: luukt52	Name: NgoalongTN	 DelItem: Kim Phong Lan §×nh Ngäc
00:19:02	 Account: luukt52	Name: NgoalongTN	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
00:19:02	 Account: luukt52	Name: NgoalongTN	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
00:19:02	 Account: luukt52	Name: NgoalongTN	 DelItem: Kim Phong Tr¹c Liªn Quang
00:43:13	 Account: minsimon1	Name: ÙJunÙKiri	 DelItem: Tóc S­¬ng
00:43:18	 Account: minsimon1	Name: ÙJunÙKiri	 DelItem: S¸ch kü n¨ng cÊp 90
00:58:57	 Account: luukt52	Name: NgoalongTN	 DelItem: Kim Phong Kú L©n HuyÕt
00:58:57	 Account: luukt52	Name: NgoalongTN	 DelItem: Kim Phong Thanh D­¬ng Kh«i
00:58:57	 Account: luukt52	Name: NgoalongTN	 DelItem: Kim Phong HËu NghÖ dÉn cung
01:24:16	 Account: minsimon	Name: ÙKiruya	 DelItem: Kim Phong Tr¹c Liªn Quang
01:24:16	 Account: minsimon	Name: ÙKiruya	 DelItem: Kim Phong Kú L©n HuyÕt
01:24:16	 Account: minsimon	Name: ÙKiruya	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
01:30:16	 Account: minsimon	Name: ÙKiruya	 DelItem: Kim Phong Thanh D­¬ng Kh«i
01:30:16	 Account: minsimon	Name: ÙKiruya	 DelItem: Kim Phong HËu NghÖ dÉn cung
01:30:16	 Account: minsimon	Name: ÙKiruya	 DelItem: Tóc S­¬ng
01:48:56	 Account: samsimon2	Name: ÙYuÙJira	 DelItem: Kim Phong Tr¹c Liªn Quang
01:48:56	 Account: samsimon2	Name: ÙYuÙJira	 DelItem: Kim Phong Kú L©n HuyÕt
01:48:56	 Account: samsimon2	Name: ÙYuÙJira	 DelItem: Kim Phong Thanh D­¬ng Kh«i
01:48:56	 Account: samsimon2	Name: ÙYuÙJira	 DelItem: Kim Phong HËu NghÖ dÉn cung
01:48:56	 Account: samsimon2	Name: ÙYuÙJira	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
01:48:56	 Account: samsimon2	Name: ÙYuÙJira	 DelItem: Tóc S­¬ng
01:52:46	 Account: samsimon2	Name: ÙYuÙJira	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
01:52:46	 Account: samsimon2	Name: ÙYuÙJira	 DelItem: Kim Phong Lan §×nh Ngäc
01:52:46	 Account: samsimon2	Name: ÙYuÙJira	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
01:52:46	 Account: samsimon2	Name: ÙYuÙJira	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
02:14:55	 Account: minsimon2	Name: MiuÙLoire	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
02:14:55	 Account: minsimon2	Name: MiuÙLoire	 DelItem: Kim Phong Tr¹c Liªn Quang
02:14:55	 Account: minsimon2	Name: MiuÙLoire	 DelItem: Kim Phong Kú L©n HuyÕt
02:14:55	 Account: minsimon2	Name: MiuÙLoire	 DelItem: Kim Phong Thanh D­¬ng Kh«i
02:14:55	 Account: minsimon2	Name: MiuÙLoire	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
02:14:55	 Account: minsimon2	Name: MiuÙLoire	 DelItem: Tóc S­¬ng
02:15:08	 Account: minsimon2	Name: MiuÙLoire	 DelItem: Kim Phong Lan §×nh Ngäc
02:15:08	 Account: minsimon2	Name: MiuÙLoire	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
02:15:08	 Account: minsimon2	Name: MiuÙLoire	 DelItem: Kim Phong HËu NghÖ dÉn cung
02:15:08	 Account: minsimon2	Name: MiuÙLoire	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
02:30:26	 Account: tumap3001	Name: ÙLureÙKiure	 DelItem: Tóc S­¬ng
