15:45:18	 Account: minhtrand25	Name: sanboss10	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
18:58:30	 Account: anhthusqt	Name: caibangcuibap	 DelItem: Tóc S­¬ng
18:58:41	 Account: anhthusqt	Name: caibangcuibap	 DelItem: §¹i Thµnh BÝ KÝp 90
18:58:48	 Account: anhthusqt	Name: caibangcuibap	 DelItem: S¸ch kü n¨ng cÊp 90
19:21:42	 Account: gcity01	Name: ExitGame	 DelItem: Kim Phong Kú L©n HuyÕt
19:30:44	 Account: gcity01	Name: ExitGame	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
19:31:18	 Account: gcity01	Name: ExitGame	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
19:35:26	 Account: gcity03	Name: nvmoi04	 DelItem: Tóc S­¬ng
19:49:39	 Account: gcity02	Name: nvmoi03	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
20:00:29	 Account: gcity03	Name: nvmoi04	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
20:02:56	 Account: gcity03	Name: nvmoi04	 DelItem: Kim Phong Lan §×nh Ngäc
20:07:25	 Account: gcity03	Name: nvmoi04	 DelItem: Kim Phong Tr¹c Liªn Quang
21:25:21	 Account: vunguyen1988	Name: 111111111	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
21:25:21	 Account: vunguyen1988	Name: 111111111	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
