00:05:57	 Account: huy1713	Name: V­¬ngÙT¸	 DelItem: T­îng B× Hé UyÓn
07:54:40	 Account: tantrang1986	Name: LãcXo¸iTöThÇn	 DelItem: Ph¸ Phong §ao
07:54:40	 Account: tantrang1986	Name: LãcXo¸iTöThÇn	 DelItem: Yªu §ao
08:52:07	 Account: dai221990	Name: ChÝÙT«n	 DelItem: Tóc S­¬ng
11:39:33	 Account: hahaha1	Name: oKeoXe	 DelItem: Kim Phong Tr¹c Liªn Quang
11:48:59	 Account: giongtre02	Name: ThamÙQuan	 DelItem: Kim Phong Tr¹c Liªn Quang
12:37:19	 Account: langtu	Name: EmÙXinÙLçi	 DelItem: Kim Phong Tr¹c Liªn Quang
12:52:18	 Account: tranvinh04	Name: HoaÙDiÙCungÙChñ	 DelItem: Tóc S­¬ng
17:27:25	 Account: tantrang1986	Name: LãcXo¸iTöThÇn	 DelItem: Yªu §ao
19:56:50	 Account: kaiba1	Name: ÙAÙTònÙ	 DelItem: Kim Phong Tr¹c Liªn Quang
19:57:12	 Account: kaiba1	Name: ÙAÙTònÙ	 DelItem: Tóc S­¬ng
20:33:35	 Account: phuongboss3	Name: ÙÙÙÙBlackÙÙÙÙ	 DelItem: Tóc S­¬ng
20:36:06	 Account: phuongboss2	Name: ÙÙÙÙBlueÙÙÙ	 DelItem: Tóc S­¬ng
20:37:51	 Account: phuongboss	Name: ÙÙÙRedÙÙÙ	 DelItem: Tóc S­¬ng
20:41:25	 Account: hahaha	Name: oB¸nhBétLäc	 DelItem: Kim Phong Tr¹c Liªn Quang
21:16:14	 Account: quocbaobp	Name: NçiÙBuånÙKoÙTªn	 DelItem: Tóc S­¬ng
21:50:46	 Account: gcity05	Name: testthuyyen	 DelItem: Kim Phong Tr¹c Liªn Quang
21:57:35	 Account: gcity03	Name: 03ÙNgaÙMi	 DelItem: Kim Phong Tr¹c Liªn Quang
21:58:13	 Account: gcity01	Name: 01ÙThiÕuÙL©m	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
22:06:09	 Account: huy1712	Name: ¡nÙMµyÙV­¬ngÙGia	 DelItem: Tóc S­¬ng
22:45:26	 Account: thoakhungz4	Name: C¸iÙLångÙHeoÙN¸i	 DelItem: Tóc S­¬ng
23:08:00	 Account: hahaha	Name: B¸nhBétLäc	 DelItem: Kim Phong Tr¹c Liªn Quang
23:12:43	 Account: hahaha1	Name: oThieuLam	 DelItem: Kim Phong Tr¹c Liªn Quang
23:15:04	 Account: hahaha2	Name: oNgaMy	 DelItem: Kim Phong Tr¹c Liªn Quang
23:17:24	 Account: minhvu25091990	Name: Kamikaze	 DelItem: Tóc S­¬ng
23:28:39	 Account: bihulk01	Name: 74ÙBiÙSHXT	 DelItem: Kim Phong HËu NghÖ dÉn cung
23:28:39	 Account: bihulk01	Name: 74ÙBiÙSHXT	 DelItem: Kim Phong Lan §×nh Ngäc
23:28:39	 Account: bihulk01	Name: 74ÙBiÙSHXT	 DelItem: Kim Phong Thanh D­¬ng Kh«i
23:28:39	 Account: bihulk01	Name: 74ÙBiÙSHXT	 DelItem: Kim Phong Kú L©n HuyÕt
23:28:39	 Account: bihulk01	Name: 74ÙBiÙSHXT	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
23:28:39	 Account: bihulk01	Name: 74ÙBiÙSHXT	 DelItem: Kim Phong Tr¹c Liªn Quang
23:28:39	 Account: bihulk01	Name: 74ÙBiÙSHXT	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
23:28:39	 Account: bihulk01	Name: 74ÙBiÙSHXT	 DelItem: Kim Phong Tr¹c Liªn Quang
23:28:46	 Account: bihulk01	Name: 74ÙBiÙSHXT	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
23:28:46	 Account: bihulk01	Name: 74ÙBiÙSHXT	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
23:35:29	 Account: saluci0507	Name: XinhGai1	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
23:35:29	 Account: saluci0507	Name: XinhGai1	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
23:35:29	 Account: saluci0507	Name: XinhGai1	 DelItem: Kim Phong HËu NghÖ dÉn cung
23:35:29	 Account: saluci0507	Name: XinhGai1	 DelItem: Kim Phong Lan §×nh Ngäc
23:35:29	 Account: saluci0507	Name: XinhGai1	 DelItem: Kim Phong Thanh D­¬ng Kh«i
23:35:29	 Account: saluci0507	Name: XinhGai1	 DelItem: Kim Phong Kú L©n HuyÕt
23:35:29	 Account: saluci0507	Name: XinhGai1	 DelItem: Kim Phong Tr¹c Liªn Quang
23:35:29	 Account: saluci0507	Name: XinhGai1	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
23:35:29	 Account: saluci0507	Name: XinhGai1	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
23:39:02	 Account: nam92hd2	Name: LµmTýLècKh«ngEm	 DelItem: Kim Phong Kú L©n HuyÕt
23:39:09	 Account: nam92hd2	Name: LµmTýLècKh«ngEm	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
23:39:17	 Account: nam92hd2	Name: LµmTýLècKh«ngEm	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
23:39:23	 Account: nam92hd2	Name: LµmTýLècKh«ngEm	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
23:39:29	 Account: nam92hd2	Name: LµmTýLècKh«ngEm	 DelItem: Kim Phong Tr¹c Liªn Quang
23:39:35	 Account: nam92hd2	Name: LµmTýLècKh«ngEm	 DelItem: Kim Phong HËu NghÖ dÉn cung
23:39:45	 Account: nam92hd2	Name: LµmTýLècKh«ngEm	 DelItem: Kim Phong Lan §×nh Ngäc
23:39:53	 Account: nam92hd2	Name: LµmTýLècKh«ngEm	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
23:39:54	 Account: bihulk04	Name: 74ÙBÐÙSHXT	 DelItem: Kim Phong Lan §×nh Ngäc
23:39:54	 Account: bihulk04	Name: 74ÙBÐÙSHXT	 DelItem: Kim Phong HËu NghÖ dÉn cung
23:39:54	 Account: bihulk04	Name: 74ÙBÐÙSHXT	 DelItem: Kim Phong Thanh D­¬ng Kh«i
23:39:54	 Account: bihulk04	Name: 74ÙBÐÙSHXT	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
23:39:54	 Account: bihulk04	Name: 74ÙBÐÙSHXT	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
23:39:54	 Account: bihulk04	Name: 74ÙBÐÙSHXT	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
23:39:54	 Account: bihulk04	Name: 74ÙBÐÙSHXT	 DelItem: Kim Phong Kú L©n HuyÕt
23:39:54	 Account: bihulk04	Name: 74ÙBÐÙSHXT	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
23:39:59	 Account: nam92hd2	Name: LµmTýLècKh«ngEm	 DelItem: Kim Phong Thanh D­¬ng Kh«i
23:40:01	 Account: bihulk04	Name: 74ÙBÐÙSHXT	 DelItem: Kim Phong Tr¹c Liªn Quang
23:40:59	 Account: sarin1990	Name: DocXinh	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
23:40:59	 Account: sarin1990	Name: DocXinh	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
23:40:59	 Account: sarin1990	Name: DocXinh	 DelItem: Kim Phong HËu NghÖ dÉn cung
23:40:59	 Account: sarin1990	Name: DocXinh	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
23:40:59	 Account: sarin1990	Name: DocXinh	 DelItem: Kim Phong Lan §×nh Ngäc
23:40:59	 Account: sarin1990	Name: DocXinh	 DelItem: Kim Phong Thanh D­¬ng Kh«i
23:40:59	 Account: sarin1990	Name: DocXinh	 DelItem: Kim Phong Kú L©n HuyÕt
23:40:59	 Account: sarin1990	Name: DocXinh	 DelItem: Kim Phong Tr¹c Liªn Quang
23:40:59	 Account: sarin1990	Name: DocXinh	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
23:44:12	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong Kú L©n HuyÕt
23:44:21	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
23:44:32	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
23:44:38	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong HËu NghÖ dÉn cung
23:44:44	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong Tr¹c Liªn Quang
23:44:51	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
23:44:58	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong Lan §×nh Ngäc
23:45:06	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong Thanh D­¬ng Kh«i
23:45:11	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
23:47:32	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong Thanh D­¬ng Kh«i
23:47:38	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
23:47:44	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong Kú L©n HuyÕt
23:47:51	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong Kú L©n HuyÕt
23:48:02	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
23:48:10	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
23:48:16	 Account: vunguyen1986	Name: BoomBoom	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
23:48:16	 Account: vunguyen1986	Name: BoomBoom	 DelItem: Kim Phong HËu NghÖ dÉn cung
23:48:16	 Account: vunguyen1986	Name: BoomBoom	 DelItem: Kim Phong Lan §×nh Ngäc
23:48:16	 Account: vunguyen1986	Name: BoomBoom	 DelItem: Kim Phong Kú L©n HuyÕt
23:48:16	 Account: vunguyen1986	Name: BoomBoom	 DelItem: Kim Phong Tr¹c Liªn Quang
23:48:16	 Account: vunguyen1986	Name: BoomBoom	 DelItem: Kim Phong Thanh D­¬ng Kh«i
23:48:16	 Account: vunguyen1986	Name: BoomBoom	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
23:48:17	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
23:48:22	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong HËu NghÖ dÉn cung
23:48:25	 Account: vunguyen1986	Name: BoomBoom	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
23:48:25	 Account: vunguyen1986	Name: BoomBoom	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
23:48:27	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong Tr¹c Liªn Quang
23:48:33	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong Lan §×nh Ngäc
23:48:39	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
23:48:45	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
23:48:48	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Kim Phong Kú L©n HuyÕt
23:48:50	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong Thanh D­¬ng Kh«i
23:48:55	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong Lan §×nh Ngäc
23:49:00	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong Tr¹c Liªn Quang
23:49:06	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
23:50:02	 Account: vunguyen1985	Name: ThanhThanh	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
23:50:02	 Account: vunguyen1985	Name: ThanhThanh	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
23:50:02	 Account: vunguyen1985	Name: ThanhThanh	 DelItem: Kim Phong Lan §×nh Ngäc
23:50:02	 Account: vunguyen1985	Name: ThanhThanh	 DelItem: Kim Phong Thanh D­¬ng Kh«i
23:50:02	 Account: vunguyen1985	Name: ThanhThanh	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
23:50:02	 Account: vunguyen1985	Name: ThanhThanh	 DelItem: Kim Phong Tr¹c Liªn Quang
23:50:02	 Account: vunguyen1985	Name: ThanhThanh	 DelItem: Kim Phong Kú L©n HuyÕt
23:50:02	 Account: vunguyen1985	Name: ThanhThanh	 DelItem: Kim Phong HËu NghÖ dÉn cung
23:50:02	 Account: vunguyen1985	Name: ThanhThanh	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
23:50:24	 Account: hieuadnew	Name: AdminÙSHXT	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
23:51:11	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong Kú L©n HuyÕt
23:51:17	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong HËu NghÖ dÉn cung
23:51:23	 Account: nam92hd3	Name: LµmTýN­ícKh«ngE	 DelItem: Kim Phong Tr¹c Liªn Quang
23:51:41	 Account: nam92hd3	Name: 565442	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
23:52:04	 Account: nam92hd3	Name: 565442	 DelItem: Kim Phong Tr¹c Liªn Quang
