00:00:42	 Account: minsimon1	Name: ÙDÇnÙSG	 DelItem: Kim Phong Lan §×nh Ngäc
00:35:52	 Account: samsimon2	Name: ÙMiaÙSG	 DelItem: Tóc S­¬ng
02:15:21	 Account: longyen013	Name: caycuoc	 DelItem: Kim Phong Thanh D­¬ng Kh«i
02:15:30	 Account: longyen013	Name: caycuoc	 DelItem: Kim Phong Kú L©n HuyÕt
02:15:54	 Account: longyen013	Name: caycuoc	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
02:16:04	 Account: longyen013	Name: caycuoc	 DelItem: Kim Phong HËu NghÖ dÉn cung
02:16:12	 Account: longyen013	Name: caycuoc	 DelItem: Kim Phong Lan §×nh Ngäc
02:17:11	 Account: longyen013	Name: caycuoc	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
02:17:18	 Account: longyen013	Name: caycuoc	 DelItem: Kim Phong Tr¹c Liªn Quang
02:17:24	 Account: longyen013	Name: caycuoc	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
02:17:31	 Account: longyen013	Name: caycuoc	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
02:36:41	 Account: ngocbich01	Name: KhoEvent1	 DelItem: Kim Phong Lan §×nh Ngäc
02:36:41	 Account: ngocbich01	Name: KhoEvent1	 DelItem: Kim Phong Thanh D­¬ng Kh«i
02:36:41	 Account: ngocbich01	Name: KhoEvent1	 DelItem: Kim Phong Kú L©n HuyÕt
02:36:41	 Account: ngocbich01	Name: KhoEvent1	 DelItem: Kim Phong Tr¹c Liªn Quang
02:36:41	 Account: ngocbich01	Name: KhoEvent1	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
02:36:56	 Account: ngocbich01	Name: KhoEvent1	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
02:36:56	 Account: ngocbich01	Name: KhoEvent1	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
02:36:56	 Account: ngocbich01	Name: KhoEvent1	 DelItem: Kim Phong HËu NghÖ dÉn cung
02:36:56	 Account: ngocbich01	Name: KhoEvent1	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
06:01:46	 Account: huy1712	Name: ¡nÙMµyÙV­¬ngÙGia	 DelItem: B¸ V­¬ngTiªu
06:01:46	 Account: huy1712	Name: ¡nÙMµyÙV­¬ngÙGia	 DelItem: T©m ý §ao
06:01:55	 Account: huy1712	Name: ¡nÙMµyÙV­¬ngÙGia	 DelItem: Kim Tiªu 
06:01:55	 Account: huy1712	Name: ¡nÙMµyÙV­¬ngÙGia	 DelItem: Kim Tiªu 
06:02:15	 Account: huy1712	Name: ¡nÙMµyÙV­¬ngÙGia	 DelItem: Quang C¸n §ao
06:02:15	 Account: huy1712	Name: ¡nÙMµyÙV­¬ngÙGia	 DelItem: ThiÕu L©m L­îng Ng©n Phi Tiªu
06:02:39	 Account: huy1712	Name: ¡nÙMµyÙV­¬ngÙGia	 DelItem: T©m ý §ao
06:02:45	 Account: huy1712	Name: ¡nÙMµyÙV­¬ngÙGia	 DelItem: Kim Tiªu 
06:02:54	 Account: huy1712	Name: ¡nÙMµyÙV­¬ngÙGia	 DelItem: To¸i NguyÖt §ao
06:03:00	 Account: huy1712	Name: ¡nÙMµyÙV­¬ngÙGia	 DelItem: To¸i NguyÖt §ao
07:18:04	 Account: xebmt7	Name: buffbuathoi	 DelItem: Kim Phong Kú L©n HuyÕt
07:18:04	 Account: xebmt7	Name: buffbuathoi	 DelItem: Kim Phong Thanh D­¬ng Kh«i
07:18:19	 Account: xebmt7	Name: buffbuathoi	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
07:18:19	 Account: xebmt7	Name: buffbuathoi	 DelItem: Kim Phong Tr¹c Liªn Quang
07:18:19	 Account: xebmt7	Name: buffbuathoi	 DelItem: Kim Phong Lan §×nh Ngäc
07:18:19	 Account: xebmt7	Name: buffbuathoi	 DelItem: Kim Phong HËu NghÖ dÉn cung
07:18:19	 Account: xebmt7	Name: buffbuathoi	 DelItem: Kim Phong Lan §×nh Ngäc
07:52:34	 Account: samsimon1	Name: ÙHîiÙSG	 DelItem: Kim Phong Kú L©n HuyÕt
07:52:46	 Account: samsimon1	Name: ÙHîiÙSG	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
08:22:41	 Account: phamtungdhv1	Name: ZzJindozZ	 DelItem: Tóc S­¬ng
08:41:04	 Account: sangtpbrvt1	Name: SangTp1	 DelItem: Tóc S­¬ng
09:09:56	 Account: huy102	Name: §écToµnTh©n	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
09:09:56	 Account: huy102	Name: §écToµnTh©n	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
09:09:56	 Account: huy102	Name: §écToµnTh©n	 DelItem: Kim Phong Thanh D­¬ng Kh«i
09:09:56	 Account: huy102	Name: §écToµnTh©n	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
09:09:56	 Account: huy102	Name: §écToµnTh©n	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
09:09:56	 Account: huy102	Name: §écToµnTh©n	 DelItem: Kim Phong HËu NghÖ dÉn cung
09:09:56	 Account: huy102	Name: §écToµnTh©n	 DelItem: Kim Phong Lan §×nh Ngäc
09:09:56	 Account: huy102	Name: §écToµnTh©n	 DelItem: Kim Phong Kú L©n HuyÕt
09:09:56	 Account: huy102	Name: §écToµnTh©n	 DelItem: Kim Phong Tr¹c Liªn Quang
09:14:28	 Account: samsimon1	Name: ÙHîiÙSG	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
09:58:41	 Account: samsimon1	Name: ÙHîiÙSG	 DelItem: Kim Phong Lan §×nh Ngäc
09:58:41	 Account: samsimon1	Name: ÙHîiÙSG	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
09:58:41	 Account: samsimon1	Name: ÙHîiÙSG	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
10:20:44	 Account: phamtungdhv6	Name: ZzYunazZ	 DelItem: Tóc S­¬ng
10:44:02	 Account: phamtungdhv2	Name: ZzNgocCuxiZz	 DelItem: Tóc S­¬ng
10:45:33	 Account: longyen012	Name: TiÓuÙLong	 DelItem: Hoµng §ång §Çu Hoµn
11:28:44	 Account: tieubao152	Name: TiÓuB¶o	 DelItem: CÈm nang ®ång hµnh
11:31:04	 Account: thoakhungz1	Name: §õngÙChäcÙTaoo	 DelItem: Kim Phong Kú L©n HuyÕt
11:31:18	 Account: thoakhungz1	Name: §õngÙChäcÙTaoo	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
11:31:18	 Account: thoakhungz1	Name: §õngÙChäcÙTaoo	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
11:31:18	 Account: thoakhungz1	Name: §õngÙChäcÙTaoo	 DelItem: Kim Phong HËu NghÖ dÉn cung
11:31:18	 Account: thoakhungz1	Name: §õngÙChäcÙTaoo	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
11:31:18	 Account: thoakhungz1	Name: §õngÙChäcÙTaoo	 DelItem: Kim Phong Lan §×nh Ngäc
11:31:18	 Account: thoakhungz1	Name: §õngÙChäcÙTaoo	 DelItem: Kim Phong Thanh D­¬ng Kh«i
11:31:18	 Account: thoakhungz1	Name: §õngÙChäcÙTaoo	 DelItem: Kim Phong Tr¹c Liªn Quang
11:31:18	 Account: thoakhungz1	Name: §õngÙChäcÙTaoo	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
11:31:36	 Account: thoakhungz4	Name: ThöÙChäcÙTaoÙ§i	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
11:31:36	 Account: thoakhungz4	Name: ThöÙChäcÙTaoÙ§i	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
11:31:36	 Account: thoakhungz4	Name: ThöÙChäcÙTaoÙ§i	 DelItem: Kim Phong HËu NghÖ dÉn cung
11:31:36	 Account: thoakhungz4	Name: ThöÙChäcÙTaoÙ§i	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
11:31:36	 Account: thoakhungz4	Name: ThöÙChäcÙTaoÙ§i	 DelItem: Kim Phong Lan §×nh Ngäc
11:31:36	 Account: thoakhungz4	Name: ThöÙChäcÙTaoÙ§i	 DelItem: Kim Phong Kú L©n HuyÕt
11:31:36	 Account: thoakhungz4	Name: ThöÙChäcÙTaoÙ§i	 DelItem: Kim Phong Tr¹c Liªn Quang
11:31:36	 Account: thoakhungz4	Name: ThöÙChäcÙTaoÙ§i	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
11:31:41	 Account: thoakhungz4	Name: ThöÙChäcÙTaoÙ§i	 DelItem: Kim Phong Thanh D­¬ng Kh«i
11:32:11	 Account: thoakhungz2	Name: Nh©yÙV·iÙLång	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
11:32:11	 Account: thoakhungz2	Name: Nh©yÙV·iÙLång	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
11:32:11	 Account: thoakhungz2	Name: Nh©yÙV·iÙLång	 DelItem: Kim Phong HËu NghÖ dÉn cung
11:32:11	 Account: thoakhungz2	Name: Nh©yÙV·iÙLång	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
11:32:11	 Account: thoakhungz2	Name: Nh©yÙV·iÙLång	 DelItem: Kim Phong Lan §×nh Ngäc
11:32:11	 Account: thoakhungz2	Name: Nh©yÙV·iÙLång	 DelItem: Kim Phong Thanh D­¬ng Kh«i
11:32:11	 Account: thoakhungz2	Name: Nh©yÙV·iÙLång	 DelItem: Kim Phong Kú L©n HuyÕt
11:32:11	 Account: thoakhungz2	Name: Nh©yÙV·iÙLång	 DelItem: Kim Phong Tr¹c Liªn Quang
11:32:11	 Account: thoakhungz2	Name: Nh©yÙV·iÙLång	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
11:33:39	 Account: thoakhungz2	Name: Nh©yÙV·iÙLång	 DelItem: Kim Phong Tr¹c Liªn Quang
12:05:56	 Account: thoakhungz1	Name: §õngÙChäcÙTaoo	 DelItem: Tóc S­¬ng
12:07:26	 Account: thoakhungz2	Name: Nh©yÙV·iÙLång	 DelItem: Tóc S­¬ng
12:08:14	 Account: thoakhungz4	Name: ThöÙChäcÙTaoÙ§i	 DelItem: Tóc S­¬ng
12:17:03	 Account: tranvinh01	Name: Ù2ÙSaoÙ1ÙG¹ch	 DelItem: Kim Phong Tr¹c Liªn Quang
12:17:03	 Account: tranvinh01	Name: Ù2ÙSaoÙ1ÙG¹ch	 DelItem: Kim Phong Kú L©n HuyÕt
12:17:03	 Account: tranvinh01	Name: Ù2ÙSaoÙ1ÙG¹ch	 DelItem: Kim Phong Thanh D­¬ng Kh«i
12:17:03	 Account: tranvinh01	Name: Ù2ÙSaoÙ1ÙG¹ch	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
12:17:03	 Account: tranvinh01	Name: Ù2ÙSaoÙ1ÙG¹ch	 DelItem: Kim Phong HËu NghÖ dÉn cung
12:17:03	 Account: tranvinh01	Name: Ù2ÙSaoÙ1ÙG¹ch	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
12:17:17	 Account: tranvinh01	Name: Ù2ÙSaoÙ1ÙG¹ch	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
12:32:54	 Account: phamtungdhv4	Name: ZzTungpszZ	 DelItem: Tóc S­¬ng
13:09:03	 Account: phamtungdhv3	Name: ZzNhimXinhzZ	 DelItem: Tóc S­¬ng
13:17:12	 Account: thangvl5	Name: 5HáaCaCa	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
13:17:12	 Account: thangvl5	Name: 5HáaCaCa	 DelItem: Kim Phong HËu NghÖ dÉn cung
13:17:12	 Account: thangvl5	Name: 5HáaCaCa	 DelItem: Kim Phong Thanh D­¬ng Kh«i
13:17:12	 Account: thangvl5	Name: 5HáaCaCa	 DelItem: Kim Phong Tr¹c Liªn Quang
13:17:12	 Account: thangvl5	Name: 5HáaCaCa	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
13:17:12	 Account: thangvl5	Name: 5HáaCaCa	 DelItem: Kim Phong HËu NghÖ dÉn cung
13:17:12	 Account: thangvl5	Name: 5HáaCaCa	 DelItem: Kim Phong Lan §×nh Ngäc
13:17:12	 Account: thangvl5	Name: 5HáaCaCa	 DelItem: Kim Phong Thanh D­¬ng Kh«i
13:17:12	 Account: thangvl5	Name: 5HáaCaCa	 DelItem: Kim Phong Lan §×nh Ngäc
13:17:34	 Account: thangvl5	Name: 5HáaCaCa	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
13:17:34	 Account: thangvl5	Name: 5HáaCaCa	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
13:17:34	 Account: thangvl5	Name: 5HáaCaCa	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
13:17:34	 Account: thangvl5	Name: 5HáaCaCa	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
13:17:34	 Account: thangvl5	Name: 5HáaCaCa	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
13:17:34	 Account: thangvl5	Name: 5HáaCaCa	 DelItem: Kim Phong Tr¹c Liªn Quang
13:17:34	 Account: thangvl5	Name: 5HáaCaCa	 DelItem: Kim Phong Tr¹c Liªn Quang
13:17:34	 Account: thangvl5	Name: 5HáaCaCa	 DelItem: Kim Phong Kú L©n HuyÕt
13:17:34	 Account: thangvl5	Name: 5HáaCaCa	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
13:17:34	 Account: thangvl5	Name: 5HáaCaCa	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
13:17:41	 Account: thangvl5	Name: 5HáaCaCa	 DelItem: Kim Phong Kú L©n HuyÕt
13:28:44	 Account: thangvl8	Name: 8C«nL«nCaCa	 DelItem: Kim Phong Tr¹c Liªn Quang
13:28:44	 Account: thangvl8	Name: 8C«nL«nCaCa	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
13:28:44	 Account: thangvl8	Name: 8C«nL«nCaCa	 DelItem: Kim Phong HËu NghÖ dÉn cung
13:28:44	 Account: thangvl8	Name: 8C«nL«nCaCa	 DelItem: Kim Phong Lan §×nh Ngäc
13:28:44	 Account: thangvl8	Name: 8C«nL«nCaCa	 DelItem: Kim Phong Tr¹c Liªn Quang
13:28:44	 Account: thangvl8	Name: 8C«nL«nCaCa	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
13:28:44	 Account: thangvl8	Name: 8C«nL«nCaCa	 DelItem: Kim Phong Thanh D­¬ng Kh«i
13:28:44	 Account: thangvl8	Name: 8C«nL«nCaCa	 DelItem: Kim Phong Kú L©n HuyÕt
13:28:53	 Account: thangvl8	Name: 8C«nL«nCaCa	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
13:28:53	 Account: thangvl8	Name: 8C«nL«nCaCa	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
13:47:43	 Account: thangvl9	Name: 9ThóyYªn	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
13:47:43	 Account: thangvl9	Name: 9ThóyYªn	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
13:47:43	 Account: thangvl9	Name: 9ThóyYªn	 DelItem: Kim Phong HËu NghÖ dÉn cung
13:47:43	 Account: thangvl9	Name: 9ThóyYªn	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
13:47:43	 Account: thangvl9	Name: 9ThóyYªn	 DelItem: Kim Phong Lan §×nh Ngäc
13:47:43	 Account: thangvl9	Name: 9ThóyYªn	 DelItem: Kim Phong Thanh D­¬ng Kh«i
13:47:43	 Account: thangvl9	Name: 9ThóyYªn	 DelItem: Kim Phong Tr¹c Liªn Quang
13:47:43	 Account: thangvl9	Name: 9ThóyYªn	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
13:47:43	 Account: thangvl9	Name: 9ThóyYªn	 DelItem: Kim Phong Kú L©n HuyÕt
13:48:27	 Account: thangvl9	Name: 9ThóyYªn	 DelItem: Kim Phong Tr¹c Liªn Quang
14:04:28	 Account: thangvl10	Name: 10S­Cä	 DelItem: Kim Phong §ång T­íc Xu©n Th©m
14:04:28	 Account: thangvl10	Name: 10S­Cä	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
14:04:28	 Account: thangvl10	Name: 10S­Cä	 DelItem: Kim Phong HËu NghÖ dÉn cung
14:04:28	 Account: thangvl10	Name: 10S­Cä	 DelItem: Kim Phong Thanh D­¬ng Kh«i
14:04:28	 Account: thangvl10	Name: 10S­Cä	 DelItem: Kim Phong Kú L©n HuyÕt
14:04:28	 Account: thangvl10	Name: 10S­Cä	 DelItem: Kim Phong Tr¹c Liªn Quang
14:04:28	 Account: thangvl10	Name: 10S­Cä	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
14:04:28	 Account: thangvl10	Name: 10S­Cä	 DelItem: Kim Phong Lan §×nh Ngäc
14:04:28	 Account: thangvl10	Name: 10S­Cä	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
14:05:31	 Account: thangvl10	Name: 10S­Cä	 DelItem: Kim Phong Tr¹c Liªn Quang
14:24:53	 Account: tumap3000	Name: EmChoiLai	 DelItem: Kim Phong Kú L©n HuyÕt
14:30:22	 Account: samsimon1	Name: ÙHîiÙSG	 DelItem: Kim Phong Tr¹c Liªn Quang
