0:1	Account: banhang	 Name: 0988207491	 Level: 80	 IP Address: 118.71.192.99 : 25857
0:2	Account: minhvu25091990	 Name: Kamikaze	 Level: 83	 IP Address: 116.110.119.64 : 50453
0:3	Account: samsimon1	 Name: ÙRitaÙOri	 Level: 109	 IP Address: 183.80.21.13 : 32692
0:3	Account: thoakhungs1	 Name: Boss01	 Level: 80	 IP Address: 118.71.192.99 : 7799
0:4	Account: thoakhungs1	 Name: Boss03	 Level: 80	 IP Address: 118.71.192.99 : 61849
0:4	Account: thoakhungs1	 Name: Boss02	 Level: 80	 IP Address: 118.71.192.99 : 63424
0:4	Account: thoakhungs2	 Name: FZ1200	 Level: 83	 IP Address: 118.71.192.99 : 62928
0:5	Account: thoakhungs2	 Name: Hanghot	 Level: 80	 IP Address: 118.71.192.99 : 16180
0:5	Account: thoakhungs2	 Name: M¶nhAB2	 Level: 80	 IP Address: 118.71.192.99 : 46884
0:5	Account: thoakhungs2	 Name: M¶nhAB2	 Level: 80	 IP Address: 118.71.192.99 : 1309
0:6	Account: samsimon1	 Name: ÙRitaÙOri	 Level: 109	 IP Address: 183.80.21.13 : 38414
0:6	Account: thoakhungs3	 Name: Boss04	 Level: 80	 IP Address: 118.71.192.99 : 52214
0:6	Account: thoakhungs3	 Name: HiepDam	 Level: 80	 IP Address: 118.71.192.99 : 60272
0:6	Account: thoakhungs3	 Name: MÈnh¢B	 Level: 80	 IP Address: 118.71.192.99 : 13820
0:7	Account: nonhangiudo	 Name: DoPhoHK	 Level: 80	 IP Address: 183.80.160.143 : 51049
0:7	Account: nonhangiudo	 Name: ThuyTinhTinhHong	 Level: 80	 IP Address: 183.80.160.143 : 51051
0:7	Account: thoakhungs4	 Name: Ch¶Lôa	 Level: 86	 IP Address: 118.71.192.99 : 50014
0:8	Account: minsimon1	 Name: ÙJunÙKiri	 Level: 101	 IP Address: 183.80.21.13 : 26885
0:12	Account: banhang1	 Name: 1234566789	 Level: 90	 IP Address: 118.71.192.99 : 18772
0:12	Account: kingvl3	 Name: HDÙNgòÙ§écÙAnhCÈ	 Level: 82	 IP Address: 118.71.192.99 : 4564
0:12	Account: kingvl4	 Name: HDÙbuff	 Level: 90	 IP Address: 118.71.192.99 : 8974
0:13	Account: minhvu25091990	 Name: DocXinh2	 Level: 81	 IP Address: 116.110.119.64 : 50876
0:16	Account: nonhannd	 Name: MécÙUyÓnÙThanh	 Level: 84	 IP Address: 183.80.160.143 : 51056
0:22	Account: nonhantn1	 Name: Th¸nhÙC«	 Level: 104	 IP Address: 183.80.160.143 : 51061
0:28	Account: samsimon3	 Name: ZudoSIr	 Level: 80	 IP Address: 183.80.21.13 : 27419
0:29	Account: samsimon3	 Name: ÙSamÙYuta	 Level: 80	 IP Address: 183.80.21.13 : 11847
0:52	Account: samsimon1	 Name: ÙRitaÙOri	 Level: 109	 IP Address: 183.80.21.13 : 61260
0:52	Account: minsimon1	 Name: ÙJunÙKiri	 Level: 101	 IP Address: 183.80.21.13 : 36729
0:53	Account: nonhandl	 Name: NhËmÙNg·ÙHµnhÙ	 Level: 125	 IP Address: 183.80.160.143 : 51083
0:53	Account: nonhantl	 Name: V«DanhÙThÇnÙT¨ng	 Level: 104	 IP Address: 183.80.160.143 : 51085
0:54	Account: nonhannm	 Name: NhËmÙDoanhÙDoanh	 Level: 103	 IP Address: 183.80.160.143 : 51090
0:54	Account: nonhanvd	 Name: Vâ§angÙCh©nÙNh©n	 Level: 101	 IP Address: 183.80.160.143 : 51092
0:54	Account: nonhantn1	 Name: Th¸nhÙC«	 Level: 104	 IP Address: 183.80.160.143 : 51100
0:55	Account: nonhannd	 Name: MécÙUyÓnÙThanh	 Level: 84	 IP Address: 183.80.160.143 : 51103
0:55	Account: phamtungdhv6	 Name: ZzYunazZ	 Level: 101	 IP Address: 42.113.95.215 : 53016
0:57	Account: nonhandl	 Name: NhËmÙNg·ÙHµnhÙ	 Level: 125	 IP Address: 183.80.160.143 : 51109
0:57	Account: nonhantl	 Name: V«DanhÙThÇnÙT¨ng	 Level: 104	 IP Address: 183.80.160.143 : 51111
0:57	Account: nonhannm	 Name: NhËmÙDoanhÙDoanh	 Level: 103	 IP Address: 183.80.160.143 : 51113
0:58	Account: nonhanvd	 Name: Tr­¬ngÙCh©nÙNh©n	 Level: 80	 IP Address: 183.80.160.143 : 51115
0:58	Account: nonhanvd	 Name: Vâ§angÙCh©nÙNh©n	 Level: 101	 IP Address: 183.80.160.143 : 51117
0:58	Account: nonhanvd	 Name: Vâ§angÙCh©nÙNh©n	 Level: 101	 IP Address: 183.80.160.143 : 51120
0:58	Account: nonhantn1	 Name: Th¸nhÙC«	 Level: 104	 IP Address: 183.80.160.143 : 51122
0:59	Account: minhvu25091990	 Name: Kamikaze	 Level: 83	 IP Address: 116.110.119.64 : 51315
0:59	Account: sarin2	 Name: DocXinh14	 Level: 81	 IP Address: 116.110.119.64 : 51321
0:59	Account: nonhannd	 Name: MécÙUyÓnÙThanh	 Level: 84	 IP Address: 183.80.160.143 : 51125
1:3	Account: nonhandophoi	 Name: DayChuyenNgocBoi	 Level: 80	 IP Address: 183.80.160.143 : 51135
1:4	Account: nonhangiudo	 Name: NgocBoiDayChuyen	 Level: 80	 IP Address: 183.80.160.143 : 51141
1:6	Account: samsimon3	 Name: ÙAKrnh3q	 Level: 80	 IP Address: 183.80.21.13 : 38185
1:8	Account: nonhannd	 Name: MécÙUyÓnÙThanh	 Level: 84	 IP Address: 183.80.160.143 : 51144
1:10	Account: nonhannd	 Name: MécÙUyÓnÙThanh	 Level: 84	 IP Address: 183.80.160.143 : 51148
1:10	Account: minsimon1	 Name: Licusitr	 Level: 80	 IP Address: 183.80.21.13 : 13551
1:23	Account: minsimon	 Name: ÙKiruya	 Level: 80	 IP Address: 183.80.21.13 : 44762
1:24	Account: minsimon1	 Name: ÙJunÙKiri	 Level: 101	 IP Address: 183.80.21.13 : 12470
1:25	Account: minsimon1	 Name: Licusitr	 Level: 80	 IP Address: 183.80.21.13 : 9624
1:26	Account: samsimon	 Name: ÙMiaÙPu	 Level: 80	 IP Address: 183.80.21.13 : 3767
1:26	Account: samsimon2	 Name: ÙRituÙJie	 Level: 83	 IP Address: 183.80.21.13 : 48129
1:26	Account: samsimon2	 Name: Menuis	 Level: 80	 IP Address: 183.80.21.13 : 58006
1:27	Account: samsimon2	 Name: ÙYuÙJira	 Level: 80	 IP Address: 183.80.21.13 : 33180
1:27	Account: minsimon2	 Name: MiuÙLoire	 Level: 80	 IP Address: 183.80.21.13 : 64260
1:28	Account: tumap3000	 Name: DoVipZo	 Level: 80	 IP Address: 183.80.21.13 : 54870
1:28	Account: tumap3000	 Name: Liutasso	 Level: 80	 IP Address: 183.80.21.13 : 24867
1:28	Account: tumap3001	 Name: ÙLureÙKiure	 Level: 80	 IP Address: 183.80.21.13 : 18961
1:29	Account: samsimon3	 Name: ÙAKrnh3q	 Level: 80	 IP Address: 183.80.21.13 : 58690
1:35	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 49924
1:36	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 49926
1:39	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 49931
1:39	Account: minhtrand28	 Name: caytien02	 Level: 82	 IP Address: 14.174.119.34 : 49932
1:47	Account: samsimon2	 Name: ÙYuÙJira	 Level: 80	 IP Address: 183.80.21.13 : 7397
1:54	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 49937
