0:2	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 51432
0:3	Account: minhtrand28	 Name: caytien02	 Level: 83	 IP Address: 14.174.119.34 : 51439
0:3	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 51443
0:9	Account: minhtrand28	 Name: caytien02	 Level: 83	 IP Address: 14.174.119.34 : 51449
0:9	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 51450
0:13	Account: minhtrand28	 Name: caytien02	 Level: 83	 IP Address: 14.174.119.34 : 51459
0:13	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 51460
0:18	Account: ktyvip01	 Name: XinZhao	 Level: 1	 IP Address: 58.186.29.82 : 48440
0:28	Account: phamtungdhv6	 Name: ZzYunazZ	 Level: 102	 IP Address: 42.113.95.215 : 56583
0:30	Account: phamtungdhv1	 Name: ZzTungpszZ	 Level: 93	 IP Address: 42.113.95.215 : 56598
0:30	Account: phamtungdhv2	 Name: ZzNgocCuxizZ	 Level: 92	 IP Address: 42.113.95.215 : 56600
0:30	Account: phamtungdhv3	 Name: ZzNhimXinhzZ	 Level: 96	 IP Address: 42.113.95.215 : 56604
0:31	Account: phamtungdhv5	 Name: ZzThaiSonzZ	 Level: 92	 IP Address: 42.113.95.215 : 56606
0:31	Account: phamtungdhv4	 Name: ZzJindozZ	 Level: 92	 IP Address: 42.113.95.215 : 56609
0:32	Account: phamtungdhv6	 Name: ZzYunazZ	 Level: 102	 IP Address: 42.113.95.215 : 56617
0:32	Account: minhtrand28	 Name: caytien02	 Level: 83	 IP Address: 14.174.119.34 : 51466
0:33	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 51468
0:46	Account: minhtrand28	 Name: caytien02	 Level: 83	 IP Address: 14.174.119.34 : 51473
0:46	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 51474
0:50	Account: minhtrand28	 Name: caytien02	 Level: 83	 IP Address: 14.174.119.34 : 51483
0:50	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 51484
0:52	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 51493
0:52	Account: minhtrand28	 Name: caytien02	 Level: 83	 IP Address: 14.174.119.34 : 51494
1:31	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 51502
1:31	Account: minhtrand28	 Name: caytien02	 Level: 83	 IP Address: 14.174.119.34 : 51503
1:46	Account: minhtrand28	 Name: caytien02	 Level: 83	 IP Address: 14.174.119.34 : 51508
1:46	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 51509
2:3	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 51515
2:3	Account: minhtrand28	 Name: caytien02	 Level: 83	 IP Address: 14.174.119.34 : 51516
2:24	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 51521
2:24	Account: minhtrand28	 Name: caytien02	 Level: 83	 IP Address: 14.174.119.34 : 51522
2:53	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 51528
2:53	Account: minhtrand28	 Name: caytien02	 Level: 83	 IP Address: 14.174.119.34 : 51529
3:40	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 51539
3:40	Account: minhtrand28	 Name: caytien02	 Level: 83	 IP Address: 14.174.119.34 : 51540
3:48	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 51544
3:48	Account: minhtrand28	 Name: caytien02	 Level: 83	 IP Address: 14.174.119.34 : 51546
3:49	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 51552
3:49	Account: minhtrand28	 Name: caytien02	 Level: 83	 IP Address: 14.174.119.34 : 51554
3:53	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 51560
3:53	Account: minhtrand28	 Name: caytien02	 Level: 83	 IP Address: 14.174.119.34 : 51561
3:59	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 51566
3:59	Account: minhtrand28	 Name: caytien02	 Level: 83	 IP Address: 14.174.119.34 : 51568
4:25	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 51574
4:25	Account: minhtrand28	 Name: caytien02	 Level: 83	 IP Address: 14.174.119.34 : 51575
4:27	Account: usd001	 Name: USD001	 Level: 95	 IP Address: 14.167.83.83 : 6261
4:27	Account: ribi01	 Name: RiBi01	 Level: 110	 IP Address: 14.167.83.83 : 6264
4:27	Account: usd002	 Name: USD002	 Level: 93	 IP Address: 14.167.83.83 : 6266
4:35	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 51580
4:35	Account: minhtrand28	 Name: caytien02	 Level: 83	 IP Address: 14.174.119.34 : 51582
4:48	Account: minhtrand28	 Name: caytien02	 Level: 83	 IP Address: 14.174.119.34 : 51589
4:48	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 51591
4:56	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 51596
4:56	Account: minhtrand28	 Name: caytien02	 Level: 83	 IP Address: 14.174.119.34 : 51597
4:57	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 51603
4:57	Account: minhtrand28	 Name: caytien02	 Level: 83	 IP Address: 14.174.119.34 : 51604
5:7	Account: minhtrand29	 Name: Cµytien01	 Level: 83	 IP Address: 14.174.119.34 : 51609
5:7	Account: minhtrand28	 Name: caytien02	 Level: 83	 IP Address: 14.174.119.34 : 51611
5:12	Account: minhtrand28	 Name: caytien02	 Level: 83	 IP Address: 14.174.119.34 : 51614
