0:19	Account: kimmalenhhai5	 Name: B­ímToNhÊtXãm	 Level: 1	 IP Address: 117.3.187.15 : 59894
0:25	Account: hienlong	 Name: HienLong	 Level: 82	 IP Address: 14.233.236.231 : 65296
0:27	Account: hienlong	 Name: HienLong	 Level: 82	 IP Address: 116.100.220.8 : 57757
0:30	Account: gcity03	 Name: 03ÙNgaÙMi	 Level: 83	 IP Address: 113.22.199.222 : 19402
0:31	Account: gcity01	 Name: 01ÙThiÕuÙL©m	 Level: 85	 IP Address: 113.22.199.222 : 50326
0:31	Account: gcity02	 Name: 02ÙThiªnÙNhÉn	 Level: 86	 IP Address: 113.22.199.222 : 27480
0:32	Account: tantrang1989	 Name: T©nTrang	 Level: 80	 IP Address: 171.253.3.255 : 59636
0:32	Account: gcity04	 Name: 04Ù§­êngÙM«n	 Level: 84	 IP Address: 113.22.199.222 : 2824
0:32	Account: samsimon	 Name: ÙTıÙSG	 Level: 84	 IP Address: 14.230.179.226 : 49320
0:32	Account: minsimon	 Name: ÙSöuÙSG	 Level: 84	 IP Address: 14.230.179.226 : 49331
0:34	Account: samsimon1	 Name: ÙHîiÙSG	 Level: 84	 IP Address: 14.230.179.226 : 49358
0:37	Account: minsimon1	 Name: ÙDÇnÙSG	 Level: 85	 IP Address: 14.230.179.226 : 49443
0:39	Account: minsimon1	 Name: ÙDÇnÙSG	 Level: 85	 IP Address: 14.230.179.226 : 49472
0:39	Account: minsimon	 Name: ÙSöuÙSG	 Level: 84	 IP Address: 14.230.179.226 : 49500
0:40	Account: samsimon1	 Name: ÙHîiÙSG	 Level: 84	 IP Address: 14.230.179.226 : 49514
0:41	Account: samsimon	 Name: ÙTıÙSG	 Level: 84	 IP Address: 14.230.179.226 : 49527
0:46	Account: quocviet1985	 Name: CauHaiTL	 Level: 74	 IP Address: 123.20.48.106 : 13203
0:46	Account: quocviet1988	 Name: ChiHaiNM	 Level: 70	 IP Address: 123.20.48.106 : 13213
0:46	Account: quocviet1986	 Name: CauHai	 Level: 74	 IP Address: 123.20.48.106 : 13215
0:46	Account: quocviet1987	 Name: ChiHaiND	 Level: 73	 IP Address: 123.20.48.106 : 13217
0:48	Account: quocviet1986	 Name: CauHai	 Level: 74	 IP Address: 123.20.48.106 : 13235
0:50	Account: quocviet1988	 Name: ChiHaiNM	 Level: 70	 IP Address: 123.20.48.106 : 13253
0:50	Account: samsimon	 Name: ÙTıÙSG	 Level: 84	 IP Address: 14.230.179.226 : 49328
0:50	Account: minsimon1	 Name: ÙDÇnÙSG	 Level: 85	 IP Address: 14.230.179.226 : 49330
0:50	Account: minsimon	 Name: ÙSöuÙSG	 Level: 84	 IP Address: 14.230.179.226 : 49331
0:50	Account: samsimon1	 Name: ÙHîiÙSG	 Level: 84	 IP Address: 14.230.179.226 : 49332
0:51	Account: sangtpbrvt1	 Name: SangTp1	 Level: 84	 IP Address: 14.168.41.130 : 52685
0:55	Account: quocviet1986	 Name: CauHai	 Level: 74	 IP Address: 123.20.48.106 : 51856
0:55	Account: quocviet1985	 Name: CauHaiTL	 Level: 74	 IP Address: 123.20.48.106 : 13319
0:55	Account: quocviet1986	 Name: CauHai	 Level: 74	 IP Address: 123.20.48.106 : 13327
0:57	Account: quocviet1988	 Name: ChiHaiNM	 Level: 70	 IP Address: 123.20.48.106 : 51886
0:58	Account: quocviet1986	 Name: CauHai	 Level: 74	 IP Address: 123.20.48.106 : 51902
1:2	Account: quocviet1985	 Name: CauHaiTL	 Level: 74	 IP Address: 123.20.48.106 : 51954
1:4	Account: quocviet1988	 Name: ChiHaiNM	 Level: 70	 IP Address: 123.20.48.106 : 51974
1:6	Account: kaiba1	 Name: ÙAÙTònÙ	 Level: 82	 IP Address: 171.255.153.107 : 44643
1:7	Account: kaiba2	 Name: CuToLµmEmHo	 Level: 78	 IP Address: 171.255.153.107 : 33372
1:10	Account: quocviet1988	 Name: ChiHaiNM	 Level: 70	 IP Address: 123.20.48.106 : 52050
