0:5	Account: building1987	 Name: TiÒnÙV«ÙNghÜa	 Level: 96	 IP Address: 27.79.74.126 : 52371
0:6	Account: xebmt2	 Name: XeÙN­ícÙMÝaÙ2	 Level: 81	 IP Address: 27.79.74.126 : 52373
0:13	Account: xebmt1	 Name: XeÙN­ícÙMÝa	 Level: 79	 IP Address: 27.79.74.126 : 52385
0:14	Account: samsimon3	 Name: GIuDoNe	 Level: 80	 IP Address: 115.78.195.38 : 51817
0:16	Account: samsimon1	 Name: ÙHîiÙSG	 Level: 99	 IP Address: 115.78.195.38 : 51827
0:17	Account: bihulk01	 Name: 74ÙBiÙSHXT	 Level: 97	 IP Address: 42.117.84.197 : 53508
0:18	Account: bihulk04	 Name: 74ÙBÐÙSHXT	 Level: 87	 IP Address: 42.117.84.197 : 53511
0:21	Account: samsimon1	 Name: ÙHîiÙSG	 Level: 99	 IP Address: 115.78.195.38 : 51850
0:22	Account: bihulk001	 Name: 74ÙSHXT	 Level: 80	 IP Address: 42.117.84.197 : 53513
0:25	Account: kimmalenhhai2	 Name: MÊtRinRåi	 Level: 80	 IP Address: 171.243.198.143 : 52274
0:25	Account: mrbuno1	 Name: Ph­íc3§ª	 Level: 85	 IP Address: 27.72.30.43 : 51062
0:25	Account: mrbuno1	 Name: SongLaPhaiChoi	 Level: 82	 IP Address: 27.72.30.43 : 51064
0:26	Account: mrbuno1	 Name: SongLaPhaiChoi	 Level: 82	 IP Address: 27.72.30.43 : 51074
0:27	Account: sarin2	 Name: XinhGai16	 Level: 80	 IP Address: 27.69.147.127 : 49692
0:27	Account: bihulk004	 Name: 74ÙSHXTÙ	 Level: 1	 IP Address: 42.117.84.197 : 53672
0:29	Account: minsimon	 Name: ÙSöuÙSG	 Level: 85	 IP Address: 115.78.195.38 : 51884
0:30	Account: tranhoangcham3	 Name: sando123	 Level: 80	 IP Address: 113.170.24.54 : 55803
0:30	Account: tranhoangcham2	 Name: trumsanboss	 Level: 80	 IP Address: 113.170.24.54 : 55805
0:30	Account: tranhoangcham	 Name: KeVoDanh113	 Level: 82	 IP Address: 113.170.24.54 : 55815
0:30	Account: tranhoangcham4	 Name: sanevent1	 Level: 80	 IP Address: 113.170.24.54 : 55817
0:31	Account: bihulk002	 Name: 75ÙSHXT	 Level: 1	 IP Address: 42.117.84.197 : 53678
0:32	Account: kimmalenhhai1	 Name: MÊtTrinhRåi	 Level: 87	 IP Address: 171.243.198.143 : 52355
0:33	Account: bihulk003	 Name: 76ÙSHXT	 Level: 1	 IP Address: 42.117.84.197 : 53681
0:35	Account: gamethu	 Name: teasfefwfwaf	 Level: 80	 IP Address: 171.232.113.243 : 60350
0:36	Account: bihulk004	 Name: 77ÙSHXT	 Level: 1	 IP Address: 42.117.84.197 : 53683
0:38	Account: bihulk01	 Name: 74ÙBiÙSHXT	 Level: 97	 IP Address: 42.117.84.197 : 53693
0:38	Account: minsimon	 Name: ÙRinÙSG	 Level: 80	 IP Address: 115.78.195.38 : 51925
0:40	Account: bihulk04	 Name: 74ÙBÐÙSHXT	 Level: 87	 IP Address: 42.117.84.197 : 53696
0:43	Account: dai221993	 Name: §ÞaÙT«n	 Level: 88	 IP Address: 116.109.185.233 : 49873
0:47	Account: bihulk01	 Name: 74ÙBiÙSHXT	 Level: 97	 IP Address: 42.117.84.197 : 49167
0:50	Account: dai221996	 Name: MécÙT«n	 Level: 84	 IP Address: 116.109.185.233 : 49880
0:53	Account: bihulk001	 Name: 74ÙSHXT	 Level: 80	 IP Address: 42.117.84.197 : 49169
0:54	Account: tranhoangcham4	 Name: sanevent1	 Level: 80	 IP Address: 113.188.43.14 : 56406
0:54	Account: tranhoangcham3	 Name: sando123	 Level: 80	 IP Address: 113.188.43.14 : 56407
0:54	Account: tranhoangcham	 Name: KeVoDanh113	 Level: 82	 IP Address: 113.188.43.14 : 56410
0:54	Account: tranhoangcham2	 Name: trumsanboss	 Level: 80	 IP Address: 113.188.43.14 : 56411
0:56	Account: bihulk02	 Name: 74ÙLinhÙSHXT	 Level: 84	 IP Address: 42.117.84.197 : 49171
0:57	Account: bihulk001	 Name: 74ÙLu©nÙSHXT	 Level: 80	 IP Address: 42.117.84.197 : 49173
0:57	Account: bihulk001	 Name: 74ÙSHXT	 Level: 80	 IP Address: 42.117.84.197 : 49175
0:58	Account: sarin2	 Name: XinhGai13	 Level: 80	 IP Address: 27.69.147.127 : 49828
0:59	Account: bihulk002	 Name: 75ÙSHXT	 Level: 80	 IP Address: 42.117.84.197 : 49177
0:59	Account: bihulk003	 Name: 76ÙSHXT	 Level: 80	 IP Address: 42.117.84.197 : 49179
1:2	Account: dai221993	 Name: §ÞaÙT«n	 Level: 88	 IP Address: 116.109.185.233 : 49886
1:2	Account: bihulk04	 Name: 74ÙBÐÙSHXT	 Level: 87	 IP Address: 42.117.84.197 : 49274
1:7	Account: dai221995	 Name: ChÝÙT«nÙB¶o	 Level: 86	 IP Address: 116.109.185.233 : 49888
1:10	Account: bihulk02	 Name: 74ÙLinhÙSHXT	 Level: 84	 IP Address: 42.117.84.197 : 49281
1:13	Account: bihulk03	 Name: CLHulk	 Level: 5	 IP Address: 42.117.84.197 : 49283
