0:0	Account: sarin1990	 Name: DocDep	 Level: 71	 IP Address: 27.69.147.127 : 53431
0:0	Account: sarin1990	 Name: DocDep1	 Level: 1	 IP Address: 27.69.147.127 : 53436
0:5	Account: thaocanh113	 Name: ThiªnÙNh·	 Level: 93	 IP Address: 117.4.153.3 : 49876
0:8	Account: sarin1990	 Name: DocDep1	 Level: 80	 IP Address: 27.69.147.127 : 53693
0:8	Account: sarin1990	 Name: DocXinh	 Level: 81	 IP Address: 27.69.147.127 : 53695
0:8	Account: th113	 Name: ThiªnÙ§ÞaÙHéi	 Level: 81	 IP Address: 117.4.153.3 : 49915
0:9	Account: th114	 Name: TµÙPh¸i	 Level: 81	 IP Address: 117.4.153.3 : 49919
0:9	Account: th115	 Name: ThiªnÙNhÉnÙ01	 Level: 81	 IP Address: 117.4.153.3 : 49921
0:10	Account: th117	 Name: ThiªnÙNhÉnÙ02	 Level: 81	 IP Address: 117.4.153.3 : 49927
0:13	Account: th118	 Name: C«nÙL«nÙ01	 Level: 88	 IP Address: 117.4.153.3 : 49935
0:14	Account: tantrang1989	 Name: T©nTrang	 Level: 91	 IP Address: 171.253.137.244 : 40405
0:29	Account: gamethu	 Name: KhaiCheckGame	 Level: 5	 IP Address: 171.232.113.243 : 57581
0:34	Account: bihulk002	 Name: 75ÙSHXT	 Level: 80	 IP Address: 171.243.34.90 : 51499
0:34	Account: thangvl5	 Name: 5HáaCaCa	 Level: 80	 IP Address: 183.81.86.145 : 50270
0:34	Account: kimmalenhhai4	 Name: ChimToNhÊtXãm	 Level: 88	 IP Address: 171.243.198.143 : 61519
0:34	Account: huynhtrongtri	 Name: ÙKiÕmÙPhongÙKim	 Level: 89	 IP Address: 118.68.135.17 : 49608
0:34	Account: mapdl2	 Name: §¹tÙMa	 Level: 85	 IP Address: 14.168.28.44 : 57584
0:34	Account: huy1712	 Name: ¡nÙMµyÙV­¬ngÙGia	 Level: 96	 IP Address: 116.108.185.216 : 10960
0:34	Account: tranhoangcham4	 Name: sanevent1	 Level: 80	 IP Address: 113.174.20.95 : 58096
0:34	Account: bando	 Name: §ÞaLongHuynh	 Level: 83	 IP Address: 118.70.41.159 : 6809
0:34	Account: mapdl1	 Name: TiÕuNg¹oÙGiangHå	 Level: 98	 IP Address: 14.168.28.44 : 57585
0:34	Account: asondn2	 Name: JohnNySon	 Level: 81	 IP Address: 42.115.137.252 : 2115
0:34	Account: phamtungdhv3	 Name: ZzNhimXinhzZ	 Level: 86	 IP Address: 42.118.129.73 : 55296
0:34	Account: kimmalenhhai3	 Name: MÊtNgñV×ThiÕuS÷a	 Level: 86	 IP Address: 171.243.198.143 : 61520
0:34	Account: kingvl1	 Name: ThñyTiªnTûTû	 Level: 84	 IP Address: 118.70.41.159 : 53229
0:34	Account: tranvinh03	 Name: IstÙMyÙlife	 Level: 88	 IP Address: 113.176.241.41 : 56628
0:34	Account: nonhannm	 Name: NhËmÙDoanhÙDoanh	 Level: 89	 IP Address: 118.68.135.17 : 49612
0:34	Account: thoakhungz1	 Name: §õngÙChäcÙTaoo	 Level: 94	 IP Address: 171.251.237.76 : 52512
0:34	Account: bihulk04	 Name: 74ÙBÐÙSHXT	 Level: 89	 IP Address: 171.243.34.90 : 51501
0:34	Account: kimmalenhhai8	 Name: ChimDµiNhÊtXãm	 Level: 84	 IP Address: 171.243.198.143 : 61522
0:34	Account: nam92hd	 Name: LµmTýLöaKh«ngEm	 Level: 87	 IP Address: 27.66.95.53 : 5366
0:34	Account: nonhandl	 Name: V«ÙNhaiÙTö	 Level: 102	 IP Address: 118.68.135.17 : 49613
0:34	Account: nam92hd3	 Name: LµmTýM­aKh«ngEm	 Level: 86	 IP Address: 27.66.95.53 : 23131
0:34	Account: thoakhungz4	 Name: ThöÙChäcÙTaoÙ§i	 Level: 94	 IP Address: 171.251.237.76 : 52514
0:34	Account: kimmalenhhai7	 Name: VóXÖNhÊtXãm	 Level: 84	 IP Address: 171.243.198.143 : 61523
0:34	Account: minhngo89	 Name: MaiMai	 Level: 82	 IP Address: 1.53.210.87 : 63299
0:34	Account: thoakhungz6	 Name: X¹oÙKeÙChóa	 Level: 92	 IP Address: 171.251.237.76 : 52513
0:34	Account: phamtungdhv2	 Name: ZzNgocCuxiZz	 Level: 85	 IP Address: 42.118.129.73 : 55297
0:34	Account: thoakhungz3	 Name: CånÙDaÙL¹p	 Level: 107	 IP Address: 171.251.237.76 : 52515
0:34	Account: usd002	 Name: USD002	 Level: 82	 IP Address: 14.245.58.184 : 19392
0:34	Account: phamtungdhv5	 Name: ZzPhiLongzZ	 Level: 85	 IP Address: 42.118.129.73 : 55298
0:34	Account: dm0002	 Name: TVB0001	 Level: 81	 IP Address: 14.168.28.44 : 57587
0:34	Account: thoakhungz5	 Name: CùcÙKúÙBèÙL¸o	 Level: 91	 IP Address: 171.251.237.76 : 52516
0:34	Account: mapdl3	 Name: TiªnÙTö	 Level: 83	 IP Address: 14.168.28.44 : 57588
0:34	Account: mapdl4	 Name: ThiªnÙNhÉn	 Level: 87	 IP Address: 14.168.28.44 : 57589
0:34	Account: nam92hd1	 Name: LµmTýC«nKh«ngEm	 Level: 85	 IP Address: 27.66.95.53 : 5368
0:34	Account: tranhoangcham	 Name: KeVoDanh113	 Level: 84	 IP Address: 113.174.20.95 : 58097
0:34	Account: tieubao152	 Name: TiÓuB¶o	 Level: 82	 IP Address: 1.55.176.232 : 18702
0:34	Account: thangvl9	 Name: 9ThóyYªn	 Level: 80	 IP Address: 183.81.86.145 : 50271
0:34	Account: nam92hd2	 Name: LµmTýLècKh«ngEm	 Level: 85	 IP Address: 27.66.95.53 : 23133
0:34	Account: tranhoangcham2	 Name: trumsanboss	 Level: 81	 IP Address: 113.174.20.95 : 58098
0:34	Account: tranvinh01	 Name: Ù2ÙSaoÙ1ÙG¹ch	 Level: 99	 IP Address: 113.176.241.41 : 56629
0:34	Account: tranvinh02	 Name: HuúnhÙNi	 Level: 87	 IP Address: 113.176.241.41 : 56630
0:34	Account: asondn	 Name: GiangHaMy	 Level: 81	 IP Address: 42.115.137.252 : 46190
0:34	Account: finndangdang152	 Name: aÙliÙbaÙba	 Level: 82	 IP Address: 1.55.176.232 : 7190
0:34	Account: finndang152	 Name: TiÓuTinhNhi	 Level: 82	 IP Address: 1.55.176.232 : 35303
0:34	Account: nam92hd5	 Name: LµmTýBuffKh«ngEm	 Level: 85	 IP Address: 27.66.95.53 : 5370
