0:14	Account: nonhannd	 Name: MécÙUyÓnÙThanh	 Level: 81	 IP Address: 1.52.253.89 : 55426
0:15	Account: mapdl4	 Name: §åÙThÇnÙS¸tÙQuû	 Level: 101	 IP Address: 14.168.28.44 : 50228
0:15	Account: nonhandovip	 Name: LayÙPhoi	 Level: 80	 IP Address: 1.52.253.89 : 55429
0:18	Account: mapdl4	 Name: §åÙThÇnÙS¸tÙQuû	 Level: 101	 IP Address: 14.168.28.44 : 50245
0:20	Account: dm0001	 Name: dm0001	 Level: 82	 IP Address: 14.168.28.44 : 50255
0:20	Account: dm0001	 Name: dm0001	 Level: 82	 IP Address: 14.168.28.44 : 50261
0:22	Account: huynhtrongtri11	 Name: §écS¸tNéiC«ng	 Level: 84	 IP Address: 42.119.136.199 : 49756
0:28	Account: mapdl1	 Name: §¹tÙMa	 Level: 86	 IP Address: 14.168.28.44 : 50303
0:28	Account: mapdl2	 Name: TiªnÙTö	 Level: 86	 IP Address: 14.168.28.44 : 50305
0:28	Account: mapdl3	 Name: ThiªnÙNhÉn	 Level: 90	 IP Address: 14.168.28.44 : 50309
0:32	Account: nonhancl	 Name: XÝchLuyÖnÙTiªnTö	 Level: 90	 IP Address: 1.52.253.89 : 55439
0:33	Account: nonhancl	 Name: XÝchLuyÖnÙTiªnTö	 Level: 90	 IP Address: 1.52.253.89 : 55441
0:37	Account: dm0001	 Name: dm0001	 Level: 82	 IP Address: 14.168.28.44 : 50349
0:38	Account: nonhantn	 Name: HµnÙL©mÙNhi	 Level: 89	 IP Address: 1.52.253.89 : 55448
0:48	Account: sangtpbrvt	 Name: SangTp	 Level: 100	 IP Address: 171.249.86.126 : 50314
0:48	Account: huynhtrongtri14	 Name: §écS¸tNgo¹iC«ng	 Level: 81	 IP Address: 42.119.136.199 : 49783
0:53	Account: sangtpbrvt1	 Name: SangTp111	 Level: 87	 IP Address: 171.249.86.126 : 50352
0:54	Account: sangtpbrvt2	 Name: SangTp222	 Level: 88	 IP Address: 171.249.86.126 : 50356
0:55	Account: sangtpbrvt3	 Name: SangTp333	 Level: 88	 IP Address: 171.249.86.126 : 50360
0:55	Account: nonhandovip	 Name: DoPhoHoangKim	 Level: 1	 IP Address: 1.52.253.89 : 55457
0:55	Account: qwqwqw3	 Name: TinhNhatPhai	 Level: 81	 IP Address: 171.252.21.117 : 54258
0:55	Account: sangtpbrvt4	 Name: SangTp444	 Level: 88	 IP Address: 171.249.86.126 : 50362
0:55	Account: sangtpbrvt6	 Name: SangTp666	 Level: 87	 IP Address: 171.249.86.126 : 50367
1:0	Account: huynhtrongtri11	 Name: §écS¸tNéiC«ng	 Level: 84	 IP Address: 42.119.136.199 : 49708
1:1	Account: huynhtrongtri14	 Name: §écS¸tNgo¹iC«ng	 Level: 81	 IP Address: 42.119.136.199 : 49713
1:2	Account: nonhangiudo	 Name: ThuyTinhTinhHong	 Level: 1	 IP Address: 1.52.253.89 : 55463
1:2	Account: mapdl1	 Name: §¹tÙMa	 Level: 86	 IP Address: 14.168.28.44 : 50464
1:2	Account: mapdl2	 Name: TiªnÙTö	 Level: 86	 IP Address: 14.168.28.44 : 50468
1:3	Account: mapdl3	 Name: ThiªnÙNhÉn	 Level: 90	 IP Address: 14.168.28.44 : 50472
1:5	Account: nd0001	 Name: nd0001	 Level: 82	 IP Address: 14.168.28.44 : 50480
1:5	Account: phamtungdhv1	 Name: ZzTungpszZ	 Level: 89	 IP Address: 42.116.138.135 : 51497
1:6	Account: nonhandm	 Name: ThµnhÙC¸tÙT­ÙH·n	 Level: 81	 IP Address: 1.52.253.89 : 55468
1:9	Account: phamtungdhv1	 Name: ZzTungpszZ	 Level: 89	 IP Address: 42.116.138.135 : 51509
1:10	Account: phamtungdhv1	 Name: ZzTungpszZ	 Level: 89	 IP Address: 42.116.138.135 : 51514
1:11	Account: nonhandovip	 Name: DoPhoHoangKim	 Level: 80	 IP Address: 1.52.253.89 : 55472
1:11	Account: dm0001	 Name: dm0001	 Level: 82	 IP Address: 14.168.28.44 : 50510
1:12	Account: mapdl1	 Name: §¹tÙMa	 Level: 86	 IP Address: 14.168.28.44 : 50528
1:13	Account: mapdl2	 Name: TiªnÙTö	 Level: 86	 IP Address: 14.168.28.44 : 50532
