0:1	Account: hetpjn1992	 Name: Notail	 Level: 80	 IP Address: 171.250.251.163 : 65190
0:4	Account: huynhtrongtri11	 Name: §écS¸tNéiC«ng	 Level: 101	 IP Address: 42.119.136.199 : 50312
0:5	Account: hetpjn1992	 Name: Notail	 Level: 80	 IP Address: 171.250.251.163 : 65212
0:6	Account: huy1713	 Name: Machine3	 Level: 85	 IP Address: 116.108.185.216 : 64598
0:7	Account: huy1712	 Name: ¡nÙMµyÙV­¬ngÙGia	 Level: 102	 IP Address: 116.108.185.216 : 64602
0:10	Account: nonhandl	 Name: NhËmÙNg·ÙHµnhÙ	 Level: 107	 IP Address: 113.161.186.65 : 2159
0:31	Account: nonhantn2	 Name: ThiªnÙNhÉnÙ02	 Level: 1	 IP Address: 113.165.166.236 : 2384
0:45	Account: huynhtrongtri12	 Name: KiÕmPhongKim	 Level: 83	 IP Address: 42.119.136.199 : 50351
0:47	Account: huynhtrongtri11	 Name: §écS¸tNéiC«ng	 Level: 101	 IP Address: 42.119.136.199 : 50353
0:49	Account: huynhtrongtri13	 Name: B¨ngS¸tNéiC«ng	 Level: 85	 IP Address: 42.119.136.199 : 50356
0:54	Account: huynhtrongtri15	 Name: HáaS¸tNéiC«ng	 Level: 83	 IP Address: 42.119.136.199 : 50361
0:55	Account: huynhtrongtri16	 Name: L«iS¸tNéiC«ng	 Level: 86	 IP Address: 42.119.136.199 : 50364
1:13	Account: huynhtrongtri14	 Name: §écS¸tNgo¹iC«ng	 Level: 90	 IP Address: 42.119.136.199 : 50379
1:14	Account: huynhtrongtri11	 Name: §écS¸tNéiC«ng	 Level: 102	 IP Address: 42.119.136.199 : 50381
1:31	Account: sarin1990	 Name: DocDep	 Level: 83	 IP Address: 42.119.136.199 : 50392
1:36	Account: huynhtrongtri13	 Name: B¨ngS¸tNéiC«ng	 Level: 85	 IP Address: 42.119.136.199 : 50397
1:37	Account: thaocanh114	 Name: ThiªnÙNh·	 Level: 104	 IP Address: 117.4.153.2 : 52830
1:38	Account: thaocanh113	 Name: ThienÙNha	 Level: 92	 IP Address: 117.4.153.2 : 52833
1:38	Account: sarin	 Name: DocXinh6	 Level: 81	 IP Address: 116.110.119.64 : 52365
1:39	Account: thaocanh117	 Name: UyÓnÙNh·	 Level: 100	 IP Address: 117.4.153.2 : 52838
1:44	Account: minhvu25091990	 Name: Kamikaze	 Level: 81	 IP Address: 42.119.136.199 : 50403
1:45	Account: thaocanh117	 Name: UyÓnÙNh·	 Level: 100	 IP Address: 117.4.153.2 : 52850
1:47	Account: thaocanh115	 Name: C«nÙL«nÙ§aoÙPh¸p	 Level: 92	 IP Address: 117.4.153.2 : 52856
1:49	Account: sarin1990	 Name: DocDep	 Level: 83	 IP Address: 116.110.119.64 : 50679
1:50	Account: vu25091990	 Name: XinhGai21	 Level: 81	 IP Address: 116.110.119.64 : 50687
