0:1	Account: xebmt004	 Name: XeÙN­ícÙMÝa3	 Level: 92	 IP Address: 27.79.43.143 : 53348
0:2	Account: nonhandm	 Name: ThµnhÙC¸tÙT­ÙH·n	 Level: 81	 IP Address: 113.161.186.65 : 2907
0:2	Account: nonhandm	 Name: ThµnhÙC¸tÙT­ÙH·n	 Level: 81	 IP Address: 113.161.186.65 : 2915
0:12	Account: nonhandl	 Name: NhËmÙNg·ÙHµnhÙ	 Level: 110	 IP Address: 113.161.186.65 : 2973
0:13	Account: nonhandm	 Name: ThµnhÙC¸tÙT­ÙH·n	 Level: 81	 IP Address: 113.161.186.65 : 2983
0:20	Account: sarin1990	 Name: DocDep	 Level: 84	 IP Address: 116.110.119.64 : 51073
0:20	Account: xebmt004	 Name: XeÙN­ícÙMÝa3	 Level: 92	 IP Address: 27.79.43.143 : 53375
0:20	Account: sarin1	 Name: DocXinh9	 Level: 80	 IP Address: 116.110.119.64 : 36703
0:20	Account: sarin2	 Name: DocXinh12	 Level: 82	 IP Address: 116.110.119.64 : 36318
0:20	Account: sarin2	 Name: DocXinh14	 Level: 80	 IP Address: 116.110.119.64 : 51083
0:20	Account: sarin2	 Name: DocXinh13	 Level: 80	 IP Address: 116.110.119.64 : 51087
0:21	Account: sarin3	 Name: DocXinh16	 Level: 81	 IP Address: 116.110.119.64 : 51094
0:21	Account: sarin3	 Name: DocXinh15	 Level: 81	 IP Address: 116.110.119.64 : 51100
0:21	Account: sarin3	 Name: DocXinh17	 Level: 80	 IP Address: 116.110.119.64 : 51102
0:21	Account: sarin4	 Name: DocXinh20	 Level: 81	 IP Address: 116.110.119.64 : 51104
0:21	Account: sarin4	 Name: DocXinh18	 Level: 80	 IP Address: 116.110.119.64 : 51108
0:21	Account: sarin4	 Name: DocXinh19	 Level: 80	 IP Address: 116.110.119.64 : 36159
0:22	Account: sarin	 Name: DocXinh6	 Level: 81	 IP Address: 116.110.119.64 : 51118
0:22	Account: sarin	 Name: DocXinh7	 Level: 81	 IP Address: 116.110.119.64 : 51121
0:22	Account: minhvu25091990	 Name: Kamikaze	 Level: 82	 IP Address: 116.110.119.64 : 36286
0:26	Account: sangtpbrvt	 Name: SangTp	 Level: 107	 IP Address: 171.249.86.126 : 51212
0:28	Account: huy103	 Name: Boxxxxx	 Level: 80	 IP Address: 171.232.181.167 : 50118
