0:1	Account: thoakhungz6	 Name: CùcÙKúÙBèÙL¸o	 Level: 97	 IP Address: 116.99.167.107 : 54266
0:2	Account: thoakhungz5	 Name: §õngÙChäcÙTao	 Level: 101	 IP Address: 116.99.167.107 : 54268
0:5	Account: thoakhungss1	 Name: Khodo1	 Level: 80	 IP Address: 116.99.167.107 : 54270
0:9	Account: minhvu25091990	 Name: DocXinh2	 Level: 81	 IP Address: 116.110.119.64 : 52900
0:11	Account: thoakhungzz1	 Name: NgäcKúL©n	 Level: 92	 IP Address: 116.99.167.107 : 54313
0:11	Account: thoakhungzz4	 Name: H¾cKúL©n	 Level: 91	 IP Address: 116.99.167.107 : 54317
0:11	Account: thoakhungzz6	 Name: KinhBáMÑ	 Level: 92	 IP Address: 116.99.167.107 : 54319
0:12	Account: thoakhungz4	 Name: ThöÙ§ôngÙTaoÙ§i	 Level: 99	 IP Address: 116.99.167.107 : 54321
0:12	Account: thoakhungz2	 Name: ThÝchÙ¡nÙ§¹pÙKo	 Level: 99	 IP Address: 116.99.167.107 : 54323
0:12	Account: longyen010	 Name: BXÙLong	 Level: 97	 IP Address: 14.187.167.3 : 49195
0:14	Account: thoakhungzz3	 Name: Ho¶KúL©n	 Level: 93	 IP Address: 116.99.167.107 : 54325
0:21	Account: minhvu25091990	 Name: Kamikaze	 Level: 82	 IP Address: 116.110.119.64 : 22599
0:25	Account: luukt56	 Name: NgoalongND	 Level: 93	 IP Address: 123.25.218.214 : 48963
0:25	Account: huynhtrongtri14	 Name: Daccacloai	 Level: 80	 IP Address: 42.119.136.199 : 53838
0:27	Account: huynhtrongtri14	 Name: DoPhoHoangKim1	 Level: 80	 IP Address: 42.119.136.199 : 53842
0:28	Account: huynhtrongtri14	 Name: Daccacloai	 Level: 80	 IP Address: 42.119.136.199 : 53845
0:28	Account: vu25091990	 Name: XinhGai21	 Level: 81	 IP Address: 116.110.119.64 : 53047
0:28	Account: nam92hd	 Name: HáaThÇnÙV«Song	 Level: 103	 IP Address: 171.234.111.233 : 5604
0:29	Account: huynhtrongtri14	 Name: §écS¸tNgo¹iC«ng	 Level: 96	 IP Address: 42.119.136.199 : 53849
0:31	Account: luukt56	 Name: NgoalongND	 Level: 93	 IP Address: 123.25.218.214 : 49079
0:31	Account: sarin1	 Name: DocXinh9	 Level: 80	 IP Address: 116.110.119.64 : 53074
0:36	Account: llkuem01	 Name: TuÖÙLinh	 Level: 1	 IP Address: 116.98.141.116 : 51183
0:37	Account: luukt56	 Name: NgoalongND	 Level: 93	 IP Address: 123.25.218.214 : 49173
0:42	Account: saluci	 Name: DocXinh3	 Level: 80	 IP Address: 116.110.119.64 : 53152
0:42	Account: nam92hd	 Name: HáaThÇnÙV«Song	 Level: 103	 IP Address: 171.234.111.233 : 5632
0:52	Account: saluci	 Name: DocXinh5	 Level: 80	 IP Address: 116.110.119.64 : 23078
0:54	Account: huynhtrongtri14	 Name: Daccacloai	 Level: 80	 IP Address: 42.119.136.199 : 53864
0:56	Account: huynhtrongtri14	 Name: DoPhoHoangKim1	 Level: 80	 IP Address: 42.119.136.199 : 53866
0:56	Account: huynhtrongtri14	 Name: §écS¸tNgo¹iC«ng	 Level: 96	 IP Address: 42.119.136.199 : 53868
0:58	Account: huynhtrongtri14	 Name: Daccacloai	 Level: 80	 IP Address: 42.119.136.199 : 53871
0:59	Account: hieuadnew	 Name: AdminÙSHXT	 Level: 91	 IP Address: 113.176.144.109 : 49445
1:4	Account: huynhtrongtri14	 Name: §écS¸tNgo¹iC«ng	 Level: 96	 IP Address: 42.119.136.199 : 53875
1:5	Account: ngocbichdm	 Name: ExciTer	 Level: 99	 IP Address: 113.176.144.109 : 49504
1:5	Account: huynhtrongtri14	 Name: DoPhoHoangKim1	 Level: 80	 IP Address: 42.119.136.199 : 53877
1:6	Account: saluci	 Name: DocXinh4	 Level: 81	 IP Address: 116.110.119.64 : 23142
1:6	Account: sarin1	 Name: DocXinh9	 Level: 80	 IP Address: 42.119.136.199 : 53880
1:7	Account: sarin1	 Name: DocXinh10	 Level: 80	 IP Address: 42.119.136.199 : 53883
1:7	Account: sarin1	 Name: DocXinh11	 Level: 80	 IP Address: 42.119.136.199 : 53885
1:9	Account: sarin2	 Name: DocXinh12	 Level: 82	 IP Address: 42.119.136.199 : 53887
1:9	Account: sarin2	 Name: DocXinh14	 Level: 81	 IP Address: 42.119.136.199 : 53890
1:10	Account: sarin2	 Name: DocXinh13	 Level: 80	 IP Address: 42.119.136.199 : 53892
1:11	Account: sarin3	 Name: DocXinh16	 Level: 81	 IP Address: 42.119.136.199 : 53894
1:12	Account: huynhtrongtri14	 Name: Daccacloai	 Level: 80	 IP Address: 42.119.136.199 : 53897
1:13	Account: huynhtrongtri14	 Name: DoPhoHoangKim1	 Level: 80	 IP Address: 42.119.136.199 : 53901
1:14	Account: huynhtrongtri14	 Name: Daccacloai	 Level: 80	 IP Address: 42.119.136.199 : 53903
1:15	Account: huynhtrongtri14	 Name: DoPhoHoangKim1	 Level: 80	 IP Address: 42.119.136.199 : 53905
1:16	Account: huynhtrongtri14	 Name: §écS¸tNgo¹iC«ng	 Level: 96	 IP Address: 42.119.136.199 : 53911
1:19	Account: sarin	 Name: DocXinh6	 Level: 81	 IP Address: 116.110.119.64 : 53447
1:19	Account: huynhtrongtri14	 Name: Daccacloai	 Level: 80	 IP Address: 42.119.136.199 : 53913
1:26	Account: llkuem02	 Name: §ËuÙ§Ëu	 Level: 1	 IP Address: 116.98.141.116 : 51716
1:27	Account: sarin3	 Name: DocXinh16	 Level: 81	 IP Address: 42.119.136.199 : 53917
1:27	Account: sarin3	 Name: DocXinh15	 Level: 81	 IP Address: 42.119.136.199 : 53919
1:28	Account: sarin3	 Name: DocXinh17	 Level: 81	 IP Address: 42.119.136.199 : 53924
1:29	Account: sarin4	 Name: DocXinh20	 Level: 81	 IP Address: 42.119.136.199 : 53929
1:29	Account: sarin4	 Name: DocXinh18	 Level: 81	 IP Address: 42.119.136.199 : 53932
1:29	Account: sarin4	 Name: DocXinh19	 Level: 81	 IP Address: 42.119.136.199 : 53934
1:30	Account: saluci	 Name: DocXinh3	 Level: 80	 IP Address: 116.110.119.64 : 53534
1:30	Account: huynhtrongtri14	 Name: Daccacloai	 Level: 80	 IP Address: 42.119.136.199 : 53938
1:31	Account: huynhtrongtri14	 Name: DoPhoHoangKim1	 Level: 80	 IP Address: 42.119.136.199 : 53941
1:32	Account: huynhtrongtri14	 Name: §écS¸tNgo¹iC«ng	 Level: 96	 IP Address: 42.119.136.199 : 53943
1:33	Account: sarin	 Name: DocXinh7	 Level: 81	 IP Address: 116.110.119.64 : 23526
1:33	Account: sarin	 Name: DocXinh6	 Level: 81	 IP Address: 116.110.119.64 : 53565
6:9	Account: xuxuka05	 Name: KaTaNa05	 Level: 1	 IP Address: 42.118.236.167 : 58393
6:15	Account: ribi01	 Name: RiBi01	 Level: 105	 IP Address: 14.167.83.83 : 59820
6:15	Account: usd001	 Name: USD001	 Level: 90	 IP Address: 14.167.83.83 : 59823
6:15	Account: usd002	 Name: USD002	 Level: 86	 IP Address: 14.167.83.83 : 59824
6:16	Account: ribi01	 Name: RiBi01	 Level: 105	 IP Address: 14.167.83.83 : 59831
6:16	Account: usd001	 Name: USD001	 Level: 90	 IP Address: 14.167.83.83 : 59834
6:16	Account: usd002	 Name: USD002	 Level: 86	 IP Address: 14.167.83.83 : 59835
6:27	Account: xuxuka05	 Name: KaTaNa05	 Level: 80	 IP Address: 42.118.236.167 : 50849
