0:5	Account: thaocanh114	 Name: ThiªnÙNh·	 Level: 105	 IP Address: 117.4.153.2 : 50153
0:8	Account: thaocanh114	 Name: ThiªnÙNh·	 Level: 105	 IP Address: 117.4.153.2 : 50157
0:13	Account: th118	 Name: ChøaÙ§åÙ02	 Level: 80	 IP Address: 117.4.153.2 : 50165
0:14	Account: sarin4	 Name: DocXinh18	 Level: 81	 IP Address: 116.110.119.64 : 50239
0:14	Account: th113	 Name: ManhÙDoÙPho	 Level: 80	 IP Address: 117.4.153.2 : 50167
0:16	Account: tuanlovekun	 Name: 1StÙThiªnÙNhÉn	 Level: 97	 IP Address: 171.241.216.241 : 49272
0:16	Account: tuanlovekun1	 Name: 2StÙThiªnÙNhÉn	 Level: 92	 IP Address: 171.241.216.241 : 49274
0:16	Account: tuanlovekun2	 Name: 3StÙThiªnÙNhÉn	 Level: 97	 IP Address: 171.241.216.241 : 49276
0:17	Account: tuanlovekun3	 Name: 4StÙThiªnÙNhÉn	 Level: 96	 IP Address: 171.241.216.241 : 49278
0:17	Account: tuanlovekun4	 Name: 5StÙThiªnÙNhÉn	 Level: 95	 IP Address: 171.241.216.241 : 49280
0:18	Account: tuanlovekun5	 Name: §­êngÙM«n	 Level: 103	 IP Address: 171.241.216.241 : 49282
0:23	Account: thaocanh113	 Name: ThienÙNha	 Level: 93	 IP Address: 117.4.153.2 : 50178
0:25	Account: sarin4	 Name: DocXinh20	 Level: 81	 IP Address: 116.110.119.64 : 50328
0:25	Account: thaocanh115	 Name: C«nÙL«nÙ§aoÙPh¸p	 Level: 93	 IP Address: 117.4.153.2 : 50182
0:26	Account: thaocanh116	 Name: S­ThÇyÙXuèngNói	 Level: 92	 IP Address: 117.4.153.2 : 50185
0:26	Account: th114	 Name: ¡nÙMµyÙLµÙTao	 Level: 92	 IP Address: 117.4.153.2 : 50188
0:35	Account: thaocanh116	 Name: S­ThÇyÙXuèngNói	 Level: 92	 IP Address: 117.4.153.2 : 50220
0:35	Account: sarin3	 Name: DocXinh16	 Level: 81	 IP Address: 116.110.119.64 : 50414
0:45	Account: sarin3	 Name: DocXinh15	 Level: 81	 IP Address: 116.110.119.64 : 50505
0:55	Account: building1987bmt	 Name: ÙTayÙCh¬iÙBèÙGiµ	 Level: 102	 IP Address: 113.22.160.63 : 53252
0:55	Account: sarin3	 Name: DocXinh17	 Level: 81	 IP Address: 116.110.119.64 : 50589
1:2	Account: minhvu25091990	 Name: DocXinh	 Level: 81	 IP Address: 116.110.119.64 : 45548
1:2	Account: minhvu25091990	 Name: DocXinh2	 Level: 81	 IP Address: 116.110.119.64 : 50648
1:2	Account: minhvu25091990	 Name: Kamikaze	 Level: 82	 IP Address: 116.110.119.64 : 50651
1:4	Account: sarin3	 Name: DocXinh15	 Level: 81	 IP Address: 116.110.119.64 : 50666
1:5	Account: thaocanh114	 Name: ThiªnÙNh·	 Level: 105	 IP Address: 117.4.153.2 : 50293
1:8	Account: sarin3	 Name: DocXinh17	 Level: 81	 IP Address: 116.110.119.64 : 50709
1:18	Account: sarin3	 Name: DocXinh16	 Level: 81	 IP Address: 116.110.119.64 : 50798
1:18	Account: sarin2	 Name: DocXinh12	 Level: 82	 IP Address: 116.110.119.64 : 50804
1:29	Account: sarin2	 Name: DocXinh14	 Level: 81	 IP Address: 116.110.119.64 : 50893
2:32	Account: thaocanh114	 Name: ThiªnÙNh·	 Level: 105	 IP Address: 117.4.153.2 : 50605
4:25	Account: ribi01	 Name: RiBi01	 Level: 107	 IP Address: 14.167.83.83 : 10105
4:25	Account: usd002	 Name: USD002	 Level: 89	 IP Address: 14.167.83.83 : 10109
4:25	Account: usd001	 Name: USD001	 Level: 92	 IP Address: 14.167.83.83 : 10108
4:26	Account: ribi01	 Name: RiBi01	 Level: 107	 IP Address: 14.167.83.83 : 10117
4:26	Account: usd001	 Name: USD001	 Level: 92	 IP Address: 14.167.83.83 : 10122
4:26	Account: usd002	 Name: USD002	 Level: 89	 IP Address: 14.167.83.83 : 10123
4:51	Account: ribi01	 Name: RiBi01	 Level: 107	 IP Address: 14.167.83.83 : 1132
5:21	Account: kemangtamsu	 Name: TiÓuTiªnNö	 Level: 1	 IP Address: 113.163.90.70 : 63038
5:28	Account: kemangtamsu	 Name: TiÓuTiªn	 Level: 1	 IP Address: 113.163.90.70 : 63049
5:40	Account: nonhantn	 Name: HµnÙL©mÙNhi	 Level: 94	 IP Address: 118.69.88.247 : 52328
5:40	Account: nonhantl	 Name: V«DanhÙThÇnÙT¨ng	 Level: 100	 IP Address: 118.69.88.247 : 52330
5:41	Account: nonhandl	 Name: NhËmÙNg·ÙHµnhÙ	 Level: 114	 IP Address: 118.69.88.247 : 52332
5:41	Account: nonhantn1	 Name: Th¸nhÙC«	 Level: 97	 IP Address: 118.69.88.247 : 52335
5:41	Account: nonhanvd	 Name: Vâ§angÙCh©nÙNh©n	 Level: 92	 IP Address: 118.69.88.247 : 52336
5:41	Account: nonhannm	 Name: NhËmÙDoanhÙDoanh	 Level: 98	 IP Address: 118.69.88.247 : 52338
5:44	Account: vunguyen1984	 Name: BinBin	 Level: 82	 IP Address: 27.75.46.206 : 49191
5:45	Account: vunguyen1983	 Name: Cubin1	 Level: 80	 IP Address: 27.75.46.206 : 49198
5:45	Account: vunguyen1983	 Name: MrCuBin	 Level: 81	 IP Address: 27.75.46.206 : 49200
5:46	Account: vunguyen1986	 Name: 5555555	 Level: 82	 IP Address: 27.75.46.206 : 49202
5:50	Account: vunguyen1987	 Name: 22222222	 Level: 83	 IP Address: 27.75.46.206 : 49205
5:57	Account: kemangtamsu	 Name: TiÓuTiªnTiªn	 Level: 1	 IP Address: 113.163.90.70 : 63161
6:8	Account: kemangtamsu1	 Name: KiÕmThñyTinhHµ	 Level: 1	 IP Address: 113.163.90.70 : 63171
6:9	Account: sangtpbrvt	 Name: SangTp	 Level: 111	 IP Address: 14.164.182.254 : 56019
6:17	Account: sangtpbrvt	 Name: SangTp	 Level: 111	 IP Address: 14.164.182.254 : 56033
6:18	Account: sangtpbrvt	 Name: SangTp	 Level: 111	 IP Address: 14.164.182.254 : 56037
6:21	Account: sangtpbrvt	 Name: SangTp	 Level: 111	 IP Address: 14.164.182.254 : 56042
6:21	Account: sangtpbrvt	 Name: SangTp	 Level: 111	 IP Address: 14.164.182.254 : 56044
6:22	Account: vunguyen1988	 Name: 111111111	 Level: 85	 IP Address: 27.75.46.206 : 49218
6:23	Account: sangtpbrvt1	 Name: SangTp111	 Level: 95	 IP Address: 14.164.182.254 : 56139
6:24	Account: sangtpbrvt2	 Name: SangTp222	 Level: 93	 IP Address: 14.164.182.254 : 56142
6:24	Account: sangtpbrvt5	 Name: SangTp555	 Level: 86	 IP Address: 14.164.182.254 : 56144
6:25	Account: sangtpbrvt10	 Name: money111	 Level: 81	 IP Address: 14.164.182.254 : 56146
6:25	Account: sangtpbrvt11	 Name: money2	 Level: 81	 IP Address: 14.164.182.254 : 56148
6:26	Account: sangtpbrvt12	 Name: money3	 Level: 81	 IP Address: 14.164.182.254 : 56150
6:44	Account: hieuadnew	 Name: AdminÙSHXT	 Level: 91	 IP Address: 113.176.144.109 : 53110
6:48	Account: minhtrand3	 Name: HáaÙLongÙTµÙNh©n	 Level: 102	 IP Address: 14.174.119.34 : 50884
6:48	Account: minhtrand6	 Name: BĞÙMóp	 Level: 101	 IP Address: 14.174.119.34 : 50887
6:48	Account: minhtrand4	 Name: SÊmÙSĞtÙT©yÙB¾c	 Level: 100	 IP Address: 14.174.119.34 : 50885
6:48	Account: minhtrand1	 Name: GiÕtÙS­Ù§ètÙChïa	 Level: 101	 IP Address: 14.174.119.34 : 50888
6:48	Account: minhtrand2	 Name: TiÓuÙLinh	 Level: 100	 IP Address: 14.174.119.34 : 50886
6:50	Account: luukt51	 Name: NgoaLongTN	 Level: 93	 IP Address: 123.25.218.214 : 58925
6:50	Account: luukt53	 Name: NgoalongVD	 Level: 118	 IP Address: 123.25.218.214 : 58928
6:51	Account: luukt54	 Name: NgoalongNM	 Level: 95	 IP Address: 123.25.218.214 : 58934
6:52	Account: luukt52	 Name: NgoalongTN	 Level: 93	 IP Address: 123.25.218.214 : 58943
