0:2	Account: longyen017	 Name: VipÙTN	 Level: 1	 IP Address: 14.187.167.3 : 54377
0:2	Account: nonhandl	 Name: NhËmÙNg·ÙHµnhÙ	 Level: 116	 IP Address: 118.69.88.247 : 50061
0:5	Account: tranvinh06	 Name: ThiªnÙ§ÞaÙV«ÙCù	 Level: 91	 IP Address: 116.110.119.64 : 56085
0:6	Account: banhang1	 Name: 0988207491t	 Level: 80	 IP Address: 1.55.227.165 : 26237
0:7	Account: nonhantl	 Name: V«DanhÙThÇnÙT¨ng	 Level: 100	 IP Address: 118.69.88.247 : 50065
0:7	Account: nonhannm	 Name: NhËmÙDoanhÙDoanh	 Level: 100	 IP Address: 118.69.88.247 : 50067
0:8	Account: nonhanvd	 Name: Vâ§angÙCh©nÙNh©n	 Level: 94	 IP Address: 118.69.88.247 : 50070
0:8	Account: nonhantn1	 Name: Th¸nhÙC«	 Level: 99	 IP Address: 118.69.88.247 : 50073
0:8	Account: nonhandovip	 Name: DoPhoHoangKim	 Level: 80	 IP Address: 118.69.88.247 : 50075
0:9	Account: tranvinh01	 Name: Ù2SaoÙ1g¹ch	 Level: 101	 IP Address: 116.110.119.64 : 56118
0:9	Account: nonhangiudo	 Name: ThuyTinhTinhHong	 Level: 80	 IP Address: 118.69.88.247 : 50079
0:11	Account: sarin	 Name: DocXinh6	 Level: 81	 IP Address: 116.110.119.64 : 56137
0:12	Account: sarin	 Name: DocXinh6	 Level: 81	 IP Address: 116.110.119.64 : 56146
0:13	Account: sarin	 Name: DocXinh7	 Level: 81	 IP Address: 116.110.119.64 : 56162
0:13	Account: sarin	 Name: DocXinh8	 Level: 81	 IP Address: 116.110.119.64 : 56168
0:13	Account: sarin1	 Name: DocXinh9	 Level: 81	 IP Address: 116.110.119.64 : 56175
0:13	Account: letutl72	 Name: DoanhDoanh	 Level: 1	 IP Address: 42.117.182.143 : 49633
0:14	Account: sarin1	 Name: DocXinh10	 Level: 81	 IP Address: 116.110.119.64 : 56178
0:14	Account: sarin1	 Name: DocXinh11	 Level: 81	 IP Address: 116.110.119.64 : 56183
0:15	Account: banhang	 Name: 0988207491	 Level: 80	 IP Address: 1.55.227.165 : 50509
0:15	Account: nonhantn	 Name: V«ÙNhaiÙTö	 Level: 80	 IP Address: 118.69.88.247 : 50102
0:15	Account: sarin2	 Name: DocXinh12	 Level: 82	 IP Address: 116.110.119.64 : 4645
0:15	Account: sarin2	 Name: DocXinh14	 Level: 81	 IP Address: 116.110.119.64 : 56200
0:15	Account: colobache195	 Name: DocCoPhong	 Level: 1	 IP Address: 117.5.236.180 : 13369
0:16	Account: sarin2	 Name: DocXinh13	 Level: 81	 IP Address: 116.110.119.64 : 56203
0:16	Account: sarin3	 Name: DocXinh16	 Level: 81	 IP Address: 116.110.119.64 : 56209
0:16	Account: testgame	 Name: testgame2	 Level: 1	 IP Address: 113.176.144.109 : 51081
0:17	Account: sarin3	 Name: DocXinh15	 Level: 81	 IP Address: 116.110.119.64 : 56216
0:18	Account: sarin3	 Name: DocXinh17	 Level: 81	 IP Address: 116.110.119.64 : 4260
0:18	Account: sarin4	 Name: DocXinh20	 Level: 81	 IP Address: 116.110.119.64 : 56231
0:18	Account: sangtpbrvt	 Name: SangTp	 Level: 112	 IP Address: 14.164.182.254 : 58032
0:19	Account: sarin4	 Name: DocXinh18	 Level: 81	 IP Address: 116.110.119.64 : 56240
0:20	Account: sarin4	 Name: DocXinh19	 Level: 81	 IP Address: 116.110.119.64 : 56253
0:20	Account: nonhangiudo	 Name: ThuyTinhTinhHong	 Level: 80	 IP Address: 118.69.88.247 : 50114
0:21	Account: saluci	 Name: DocXinh3	 Level: 81	 IP Address: 116.110.119.64 : 56265
0:22	Account: saluci	 Name: DocXinh5	 Level: 81	 IP Address: 116.110.119.64 : 56274
0:22	Account: saluci	 Name: DocXinh4	 Level: 81	 IP Address: 116.110.119.64 : 56280
0:23	Account: vu25091990	 Name: XinhGai21	 Level: 81	 IP Address: 116.110.119.64 : 4437
0:23	Account: dophohk	 Name: ViSonDao	 Level: 80	 IP Address: 118.69.88.247 : 50123
0:24	Account: vu25091990	 Name: DocXinh22	 Level: 81	 IP Address: 116.110.119.64 : 56293
0:24	Account: vu25091990	 Name: DocXinh23	 Level: 81	 IP Address: 116.110.119.64 : 4949
0:25	Account: dophohk	 Name: HoangKim	 Level: 80	 IP Address: 118.69.88.247 : 50127
0:26	Account: nonhandophoi	 Name: DoPhoi1	 Level: 80	 IP Address: 118.69.88.247 : 50129
0:26	Account: dophoi1	 Name: PhoiEpDo	 Level: 80	 IP Address: 118.69.88.247 : 50131
0:26	Account: sarin1990	 Name: DocDep	 Level: 86	 IP Address: 116.110.119.64 : 56324
0:26	Account: dophoi1	 Name: SinhLucNoiLuc	 Level: 80	 IP Address: 118.69.88.247 : 50133
0:27	Account: vu25091990	 Name: XinhGai21	 Level: 81	 IP Address: 116.110.119.64 : 4565
0:27	Account: vu25091990	 Name: DocXinh22	 Level: 81	 IP Address: 116.110.119.64 : 56337
0:27	Account: vu25091990	 Name: DocXinh23	 Level: 81	 IP Address: 116.110.119.64 : 56339
0:28	Account: saluci	 Name: DocXinh4	 Level: 81	 IP Address: 116.110.119.64 : 5077
0:31	Account: nonhantn	 Name: V«ÙNhaiÙTö	 Level: 80	 IP Address: 118.69.88.247 : 50138
0:31	Account: huynhtrongtri14	 Name: §écS¸tNgo¹iC«ng	 Level: 103	 IP Address: 42.119.136.199 : 50258
0:32	Account: saluci	 Name: DocXinh5	 Level: 81	 IP Address: 116.110.119.64 : 4276
0:34	Account: luukt55	 Name: NgoalongCB	 Level: 97	 IP Address: 115.75.51.168 : 52530
0:34	Account: luukt55	 Name: NgoalongCB	 Level: 97	 IP Address: 115.75.51.168 : 52535
