0:2	Account: thangvl1	 Name: DocDoc1	 Level: 80	 IP Address: 118.71.169.72 : 49322
0:2	Account: sarin4	 Name: DocXinh18	 Level: 81	 IP Address: 116.110.119.64 : 57606
0:5	Account: phamtungdhv6	 Name: ZzYunazZ	 Level: 92	 IP Address: 42.116.138.135 : 64051
0:14	Account: sarin4	 Name: DocXinh19	 Level: 81	 IP Address: 116.110.119.64 : 50582
0:14	Account: sarin4	 Name: DocXinh20	 Level: 81	 IP Address: 116.110.119.64 : 50585
0:24	Account: thangvl10	 Name: 10HáaCaCa	 Level: 100	 IP Address: 118.71.169.72 : 49411
0:24	Account: sarin4	 Name: DocXinh18	 Level: 81	 IP Address: 116.110.119.64 : 50673
0:26	Account: sarin4	 Name: DocXinh20	 Level: 81	 IP Address: 116.110.119.64 : 58262
0:27	Account: sarin2	 Name: DocXinh12	 Level: 82	 IP Address: 116.110.119.64 : 50698
0:27	Account: sarin2	 Name: DocXinh14	 Level: 81	 IP Address: 116.110.119.64 : 50702
0:27	Account: sarin2	 Name: DocXinh13	 Level: 81	 IP Address: 116.110.119.64 : 50704
0:31	Account: sarin4	 Name: DocXinh19	 Level: 81	 IP Address: 116.110.119.64 : 50740
0:35	Account: nonhandophoi	 Name: DoPhoi1	 Level: 80	 IP Address: 118.69.88.247 : 53152
0:35	Account: dophoi1	 Name: PhoiEpDo	 Level: 80	 IP Address: 118.69.88.247 : 53154
0:35	Account: thangvl6	 Name: 6Vâ®ang	 Level: 100	 IP Address: 118.71.169.72 : 49479
0:36	Account: thangvl7	 Name: 7NgaMiBuffBuff	 Level: 97	 IP Address: 118.71.169.72 : 49483
0:36	Account: thangvl8	 Name: 8ThóyYªnTû	 Level: 99	 IP Address: 118.71.169.72 : 49485
0:37	Account: thangvl9	 Name: 9§écV«Biªn	 Level: 100	 IP Address: 118.71.169.72 : 49487
0:39	Account: thangvl7	 Name: 7NgaMiBuffBuff	 Level: 97	 IP Address: 118.71.169.72 : 49499
0:39	Account: nonhandm	 Name: VuaÙ§ÆtÙBoom	 Level: 80	 IP Address: 118.69.88.247 : 53161
0:45	Account: sarin4	 Name: DocXinh18	 Level: 81	 IP Address: 116.110.119.64 : 50845
0:46	Account: dautay01	 Name: PLÙTöuÙKiÕmÙTiªn	 Level: 1	 IP Address: 171.233.78.152 : 53250
0:56	Account: sarin3	 Name: DocXinh16	 Level: 81	 IP Address: 116.110.119.64 : 50936
0:58	Account: longyen010	 Name: BXÙLong	 Level: 101	 IP Address: 14.187.167.3 : 57021
1:1	Account: thangvl5	 Name: 5TLSuco	 Level: 104	 IP Address: 118.71.169.72 : 49990
1:4	Account: sarin2	 Name: DocXinh13	 Level: 81	 IP Address: 118.71.169.72 : 49995
1:6	Account: sarin2	 Name: DocXinh13	 Level: 81	 IP Address: 118.71.169.72 : 50001
1:6	Account: sarin4	 Name: DocXinh20	 Level: 81	 IP Address: 118.71.169.72 : 50004
1:8	Account: sarin3	 Name: DocXinh15	 Level: 81	 IP Address: 116.110.119.64 : 51039
1:10	Account: vunguyen1989	 Name: khongbietten	 Level: 90	 IP Address: 27.75.46.206 : 56010
1:12	Account: vunguyen1987	 Name: 444444444	 Level: 80	 IP Address: 27.75.46.206 : 56012
1:12	Account: vunguyen1987	 Name: 3333333333	 Level: 80	 IP Address: 27.75.46.206 : 56014
1:12	Account: vunguyen1987	 Name: 22222222	 Level: 84	 IP Address: 27.75.46.206 : 56016
1:15	Account: thangvl7	 Name: 7NgaMiBuffBuff	 Level: 97	 IP Address: 118.71.169.72 : 50016
1:16	Account: vunguyen1987	 Name: 3333333333	 Level: 80	 IP Address: 27.75.46.206 : 56018
1:17	Account: vunguyen1987	 Name: 444444444	 Level: 80	 IP Address: 27.75.46.206 : 56149
1:17	Account: vunguyen1986	 Name: 5555555	 Level: 82	 IP Address: 27.75.46.206 : 56215
1:17	Account: thangvl1	 Name: DocDoc1	 Level: 80	 IP Address: 118.71.169.72 : 50025
1:17	Account: vunguyen1986	 Name: ThienNhan	 Level: 80	 IP Address: 27.75.46.206 : 56278
1:18	Account: vunguyen1986	 Name: 666666666	 Level: 82	 IP Address: 27.75.46.206 : 56280
1:19	Account: vunguyen1983	 Name: Cubin1	 Level: 80	 IP Address: 27.75.46.206 : 56286
1:19	Account: sarin3	 Name: DocXinh17	 Level: 81	 IP Address: 116.110.119.64 : 51129
1:20	Account: vunguyen1983	 Name: Cubin1	 Level: 80	 IP Address: 27.75.46.206 : 56288
1:21	Account: vunguyen1983	 Name: Thiennhan	 Level: 83	 IP Address: 27.75.46.206 : 56290
