0:3	Account: minhvu25091990	 Name: DocXinh	 Level: 81	 IP Address: 116.110.119.64 : 13647
0:6	Account: thaocanh114	 Name: ThiªnÙNh·	 Level: 105	 IP Address: 117.4.153.2 : 49595
0:7	Account: thaocanh113	 Name: ThienÙNha	 Level: 93	 IP Address: 117.4.153.2 : 49598
0:11	Account: thaocanh115	 Name: C«nÙL«nÙ§aoÙPh¸p	 Level: 93	 IP Address: 117.4.153.2 : 49612
0:12	Account: minhtrand3	 Name: HáaÙLongÙTµÙNh©n	 Level: 103	 IP Address: 27.75.46.206 : 58146
0:12	Account: thaocanh116	 Name: S­ThÇyÙXuèngNói	 Level: 93	 IP Address: 117.4.153.2 : 49618
0:12	Account: minhvu25091990	 Name: DocXinh2	 Level: 81	 IP Address: 116.110.119.64 : 49870
0:13	Account: thaocanh117	 Name: UyÓnÙNh·	 Level: 102	 IP Address: 117.4.153.2 : 49620
0:15	Account: th114	 Name: ¡nÙMµyÙLµÙTao	 Level: 92	 IP Address: 117.4.153.2 : 49625
0:22	Account: thaocanh114	 Name: ThiªnÙNh·	 Level: 106	 IP Address: 117.4.153.2 : 49637
0:24	Account: minhvu25091990	 Name: Kamikaze	 Level: 83	 IP Address: 116.110.119.64 : 49977
0:34	Account: hieuadnew	 Name: AdminÙSHXT	 Level: 91	 IP Address: 113.176.144.109 : 50556
0:34	Account: hieuadnew	 Name: AdminÙSHXT	 Level: 91	 IP Address: 113.176.144.109 : 50574
0:58	Account: sarin3	 Name: DocXinh17	 Level: 81	 IP Address: 116.110.119.64 : 50920
0:59	Account: sarin2	 Name: DocXinh13	 Level: 81	 IP Address: 116.110.119.64 : 50928
1:0	Account: th115	 Name: S¨nÙBossÙ01	 Level: 81	 IP Address: 117.4.153.2 : 49702
1:3	Account: minhvu25091990	 Name: Kamikaze	 Level: 83	 IP Address: 116.110.119.64 : 14619
1:21	Account: nonhantn	 Name: HµnÙL©mÙNhi	 Level: 96	 IP Address: 113.165.166.236 : 50569
1:27	Account: nonhantn	 Name: HµnÙL©mÙNhi	 Level: 96	 IP Address: 113.161.186.65 : 50573
1:27	Account: nonhantn	 Name: HµnÙL©mÙNhi	 Level: 96	 IP Address: 113.161.186.65 : 50575
1:28	Account: nonhantn	 Name: HµnÙL©mÙNhi	 Level: 96	 IP Address: 113.161.186.65 : 50577
1:28	Account: nonhanty	 Name: TÇnÙH¹oÙMiªn	 Level: 85	 IP Address: 113.161.186.65 : 50580
1:34	Account: nonhantn	 Name: HµnÙL©mÙNhi	 Level: 96	 IP Address: 113.165.166.236 : 50589
1:35	Account: nonhantn	 Name: HµnÙL©mÙNhi	 Level: 96	 IP Address: 113.165.166.236 : 50591
1:35	Account: nonhantn	 Name: HµnÙL©mÙNhi	 Level: 96	 IP Address: 113.165.166.236 : 50595
1:38	Account: nonhantn2	 Name: ThiªnÙNhÉnÙ02	 Level: 85	 IP Address: 113.161.186.65 : 50598
1:43	Account: nonhantn3	 Name: ThiªnÙNhÉnÙ03	 Level: 83	 IP Address: 113.161.186.65 : 50601
1:47	Account: th114	 Name: ¡nÙMµyÙLµÙTao	 Level: 92	 IP Address: 117.4.153.2 : 49874
1:49	Account: th113	 Name: L·oÙ§¹i	 Level: 80	 IP Address: 117.4.153.2 : 49881
1:50	Account: th113	 Name: L·oÙ§¹i	 Level: 80	 IP Address: 117.4.153.2 : 49887
1:54	Account: th113	 Name: L·oÙ§¹i	 Level: 80	 IP Address: 117.4.153.2 : 49904
1:54	Account: th113	 Name: L·oÙ§¹i	 Level: 80	 IP Address: 117.4.153.2 : 49908
4:18	Account: 83vunguyen	 Name: AnhThang	 Level: 1	 IP Address: 27.75.46.206 : 62286
4:53	Account: ribi01	 Name: RiBi01	 Level: 109	 IP Address: 14.167.83.83 : 7296
4:53	Account: usd001	 Name: USD001	 Level: 94	 IP Address: 14.167.83.83 : 7298
