[06-08-18 20:48:35]	Acc: nhulin09	Name: CLxHide	Point: 10000	ToExp: 5000000	LeftPoint: 990000
[09-08-18 19:59:36]	Acc: kienmanly	Name: KienÙManly	Point: 100	ToExp: 50000	LeftPoint: 999900
[09-08-18 20:00:14]	Acc: kienmanly	Name: KienÙManly	Point: 1000	ToExp: 500000	LeftPoint: 998900
[12-08-18 07:57:06]	Acc: phuongnhay	Name: PSÙDragon	Point: 292	ToExp: 146000	LeftPoint: 0
[15-08-18 00:01:27]	Acc: gcity02	Name: 02ÙThiªnÙNhÉn	Point: 100	ToExp: 50000	LeftPoint: 8244
[15-08-18 12:01:08]	Acc: building1987	Name: TiÒnÙV«ÙNghÜa	Point: 500	ToExp: 250000	LeftPoint: 796
[15-08-18 22:03:49]	Acc: kingvl2	Name: KimLongKaKa	Point: 22	ToExp: 11000	LeftPoint: 0
[15-08-18 22:04:38]	Acc: kingvl1	Name: ThñyTiªnTûTû	Point: 5440	ToExp: 2720000	LeftPoint: 0
[15-08-18 22:05:34]	Acc: kingvl3	Name: HáaLongCaCa	Point: 5971	ToExp: 2985500	LeftPoint: 0
[15-08-18 22:05:48]	Acc: kingvl4	Name: ThñyTiªnTØTØ	Point: 6357	ToExp: 3178500	LeftPoint: 0
[16-08-18 22:03:46]	Acc: tranvinh05	Name: Mylove	Point: 50	ToExp: 25000	LeftPoint: 14798
[16-08-18 22:03:54]	Acc: tranvinh05	Name: Mylove	Point: 100	ToExp: 50000	LeftPoint: 14698
[16-08-18 22:04:03]	Acc: tranvinh05	Name: Mylove	Point: 300	ToExp: 150000	LeftPoint: 14398
[16-08-18 22:04:14]	Acc: tranvinh05	Name: Mylove	Point: 200	ToExp: 100000	LeftPoint: 14198
[16-08-18 22:04:21]	Acc: tranvinh05	Name: Mylove	Point: 50	ToExp: 25000	LeftPoint: 14148
[16-08-18 22:04:27]	Acc: tranvinh05	Name: Mylove	Point: 50	ToExp: 25000	LeftPoint: 14098
[17-08-18 22:12:22]	Acc: kingvl3	Name: HáaLongCaCa	Point: 500	ToExp: 250000	LeftPoint: 17231
[17-08-18 22:12:30]	Acc: kingvl3	Name: HáaLongCaCa	Point: 500	ToExp: 250000	LeftPoint: 16731
[17-08-18 22:12:37]	Acc: kingvl3	Name: HáaLongCaCa	Point: 500	ToExp: 250000	LeftPoint: 16231
[17-08-18 22:12:43]	Acc: kingvl3	Name: HáaLongCaCa	Point: 500	ToExp: 250000	LeftPoint: 15731
[17-08-18 22:12:49]	Acc: kingvl3	Name: HáaLongCaCa	Point: 500	ToExp: 250000	LeftPoint: 15231
[17-08-18 22:12:56]	Acc: kingvl3	Name: HáaLongCaCa	Point: 500	ToExp: 250000	LeftPoint: 14731
[17-08-18 22:13:01]	Acc: kingvl3	Name: HáaLongCaCa	Point: 500	ToExp: 250000	LeftPoint: 14231
[19-08-18 20:01:40]	Acc: huynhtrongtri14	Name: §écS¸tNgo¹iC«ng	Point: 1000	ToExp: 500000	LeftPoint: 4896
[20-08-18 20:54:15]	Acc: thangvl5	Name: 5TLSuco	Point: 14332	ToExp: 7166000	LeftPoint: 0
[20-08-18 20:54:28]	Acc: thangvl6	Name: 6Vâ®ang	Point: 16810	ToExp: 8405000	LeftPoint: 0
[20-08-18 20:54:40]	Acc: thangvl7	Name: 7NgaMiBuffBuff	Point: 12969	ToExp: 6484500	LeftPoint: 0
[20-08-18 20:58:30]	Acc: thangvl8	Name: 8ThóyYªnTû	Point: 6976	ToExp: 3488000	LeftPoint: 0
[21-08-18 22:03:09]	Acc: nam92hd5	Name: CuÙChäcÙNg­îc	Point: 11096	ToExp: 5548000	LeftPoint: 0
[22-08-18 07:15:07]	Acc: taodeohieu	Name: ConLonDe1	Point: 1	ToExp: 500	LeftPoint: 294
[22-08-18 14:02:47]	Acc: huynhtrongtri14	Name: §écS¸tNgo¹iC«ng	Point: 3218	ToExp: 1609000	LeftPoint: 0
[22-08-18 14:03:02]	Acc: huynhtrongtri15	Name: HáaS¸tNéiC«ng	Point: 625	ToExp: 312500	LeftPoint: 0
[22-08-18 14:03:20]	Acc: huynhtrongtri12	Name: KiÕmPhongKim	Point: 2680	ToExp: 1340000	LeftPoint: 0
[22-08-18 14:03:38]	Acc: huynhtrongtri13	Name: B¨ngS¸tNéiC«ng	Point: 715	ToExp: 357500	LeftPoint: 0
[22-08-18 14:16:04]	Acc: huynhtrongtri11	Name: §écS¸tNéiC«ng	Point: 4957	ToExp: 2478500	LeftPoint: 0
[24-08-18 20:06:33]	Acc: ribi01	Name: RiBi01	Point: 3862	ToExp: 1931000	LeftPoint: 0
[25-08-18 20:24:06]	Acc: bando	Name: HDÙMÑThiªnH¹	Point: 16	ToExp: 8000	LeftPoint: 0
[26-08-18 22:11:56]	Acc: nonhantl	Name: V«DanhÙThÇnÙT¨ng	Point: 9024	ToExp: 4512000	LeftPoint: 0
[26-08-18 22:12:35]	Acc: nonhandl	Name: NhËmÙNg·ÙHµnhÙ	Point: 5121	ToExp: 2560500	LeftPoint: 0
[26-08-18 22:13:29]	Acc: nonhantn1	Name: Th¸nhÙC«	Point: 7832	ToExp: 3916000	LeftPoint: 0
[28-08-18 22:17:12]	Acc: minhtrand1	Name: GiÕtÙS­Ù§ètÙChïa	Point: 10320	ToExp: 5160000	LeftPoint: 0
[28-08-18 22:52:48]	Acc: tranvinh04	Name: B­ímÙEmÙCãÙ§éc	Point: 5000	ToExp: 2500000	LeftPoint: 39983
[29-08-18 22:13:43]	Acc: luukt53	Name: NgoalongVD	Point: 31796	ToExp: 15898000	LeftPoint: 0
[29-08-18 22:18:55]	Acc: nonhandm	Name: VuaÙ§ÆtÙBoom	Point: 7492	ToExp: 3746000	LeftPoint: 0
[30-08-18 16:19:45]	Acc: mapdl4	Name: §åÙThÇnÙS¸tÙQuû	Point: 8922	ToExp: 4461000	LeftPoint: 0
[01-09-18 22:04:41]	Acc: huynhtrongtri14	Name: §écS¸tNgo¹iC«ng	Point: 44	ToExp: 22000	LeftPoint: 0
[01-09-18 22:05:23]	Acc: tranvinh04	Name: B­ímÙEmÙCãÙ§éc	Point: 56256	ToExp: 28128000	LeftPoint: 0
[01-09-18 22:42:12]	Acc: vunguyen1988	Name: 111111111	Point: 14240	ToExp: 7120000	LeftPoint: 0
[02-09-18 14:02:37]	Acc: hiennguyenag199	Name: DocCoTinhMoc	Point: 200	ToExp: 100000	LeftPoint: 2920
[02-09-18 22:05:27]	Acc: minsimon1	Name: ÙJunÙKiri	Point: 4274	ToExp: 2137000	LeftPoint: 0
[03-09-18 12:10:32]	Acc: hiennguyenag199	Name: DocCoTinhMoc	Point: 500	ToExp: 250000	LeftPoint: 3605
[05-09-18 22:06:17]	Acc: tranvinh04	Name: B­ímÙEmÙCãÙ§éc	Point: 1958	ToExp: 979000	LeftPoint: 0
[06-09-18 20:08:46]	Acc: luukt54	Name: NgoalongNM	Point: 14317	ToExp: 7158500	LeftPoint: 0
