QId	Tip	Content	ChooseCount	Price	Choose1	Choose2	Choose3	Choose4	Choose5	Choose6	Choose7	Choose8	Choose9	Choose10	BeginSaleTime	EndSaleTime	BeginPayForTime	EndPayForTime	Answer	BonusRate	MaxBonus
1	14####	14###?#?####?##???##?#####	8	5000	§¬n ®¬n ®¬n	§¬n song ®¬n	§¬n ®¬n song	Song ®¬n ®¬n	Song song ®¬n	Song ®¬n song	§¬n song song	Song song song			408130700	408132400	408150900	408222200	0	50	10000000
3	15####	15###?#?####?##???##?#####	8	5000	§¬n ®¬n ®¬n	§¬n song ®¬n	§¬n ®¬n song	Song ®¬n ®¬n	Song song ®¬n	Song ®¬n song	§¬n song song	Song song song			408140700	408142400	408160900	408222200	3	50	10000000
5	16####	16###?#?####?##???##?#####	8	5000	§¬n ®¬n ®¬n	§¬n song ®¬n	§¬n ®¬n song	Song ®¬n ®¬n	Song song ®¬n	Song ®¬n song	§¬n song song	Song song song			408150700	408152400	408170900	408222200	7	50	10000000
7	17####	17###?#?####?##???##?#####	8	5000	§¬n ®¬n ®¬n	§¬n song ®¬n	§¬n ®¬n song	Song ®¬n ®¬n	Song song ®¬n	Song ®¬n song	§¬n song song	Song song song			408160700	408162400	408200900	408222200	2	50	10000000
9	18####	18###?#?####?##???##?#####	8	5000	§¬n ®¬n ®¬n	§¬n song ®¬n	§¬n ®¬n song	Song ®¬n ®¬n	Song song ®¬n	Song ®¬n song	§¬n song song	Song song song			408170700	408172400	408200900	408222200	3	50	10000000
11	19####	19###?#?####?##???##?#####	8	5000	§¬n ®¬n ®¬n	§¬n song ®¬n	§¬n ®¬n song	Song ®¬n ®¬n	Song song ®¬n	Song ®¬n song	§¬n song song	Song song song			408180700	408182400	408200900	408222200	7	50	10000000
13	20####	20###?#?####?##???##?#####	8	5000	§¬n ®¬n ®¬n	§¬n song ®¬n	§¬n ®¬n song	Song ®¬n ®¬n	Song song ®¬n	Song ®¬n song	§¬n song song	Song song song			408190700	408192400	408210900	408222200	7	50	10000000
15	21####	21###?#?####?##???##?#####	8	5000	§¬n ®¬n ®¬n	§¬n song ®¬n	§¬n ®¬n song	Song ®¬n ®¬n	Song song ®¬n	Song ®¬n song	§¬n song song	Song song song			408200700	408202400	408220900	408232200	7	50	10000000
17	22####	22###?#?####?##???##?#####	8	5000	§¬n ®¬n ®¬n	§¬n song ®¬n	§¬n ®¬n song	Song ®¬n ®¬n	Song song ®¬n	Song ®¬n song	§¬n song song	Song song song			408210700	408212400	408230900	408242200	6	50	10000000
19	23####	23###?#?####?##???##?#####	8	5000	§¬n ®¬n ®¬n	§¬n song ®¬n	§¬n ®¬n song	Song ®¬n ®¬n	Song song ®¬n	Song ®¬n song	§¬n song song	Song song song			408220700	408222400	408240900	408252200	3	50	10000000
21	24####	24###?#?####?##???##?#####	8	5000	§¬n ®¬n ®¬n	§¬n song ®¬n	§¬n ®¬n song	Song ®¬n ®¬n	Song song ®¬n	Song ®¬n song	§¬n song song	Song song song			408230700	408232400	408250900	408262200	7	50	10000000
23	25####	25###?#?####?##???##?#####	8	5000	§¬n ®¬n ®¬n	§¬n song ®¬n	§¬n ®¬n song	Song ®¬n ®¬n	Song song ®¬n	Song ®¬n song	§¬n song song	Song song song			408240700	408242400	408260900	408272200	6	50	10000000
25	26####	26###?#?####?##???##?#####	8	5000	§¬n ®¬n ®¬n	§¬n song ®¬n	§¬n ®¬n song	Song ®¬n ®¬n	Song song ®¬n	Song ®¬n song	§¬n song song	Song song song			408250700	408252400	408270900	408282200	3	50	10000000
27	27####	27###?#?####?##???##?#####	8	5000	§¬n ®¬n ®¬n	§¬n song ®¬n	§¬n ®¬n song	Song ®¬n ®¬n	Song song ®¬n	Song ®¬n song	§¬n song song	Song song song			408260700	408262400	408280900	408292200	5	50	10000000
29	28####	28###?#?####?##???##?#####	8	5000	§¬n ®¬n ®¬n	§¬n song ®¬n	§¬n ®¬n song	Song ®¬n ®¬n	Song song ®¬n	Song ®¬n song	§¬n song song	Song song song			408270700	408272400	408290900	408302200	5	50	10000000
31	29####	29###?#?####?##???##?#####	8	5000	§¬n ®¬n ®¬n	§¬n song ®¬n	§¬n ®¬n song	Song ®¬n ®¬n	Song song ®¬n	Song ®¬n song	§¬n song song	Song song song			408280700	408282400	408300900	408312200	2	50	10000000
2	14##?##	Qu¸n qu©n sóng tr­êng n÷, nh¶y m­êi mÐt ®«i nam ®¹t ®­îc	10	5000	TriÖu DÜnh TuÖ, §iÒn L­¬ng / Hå Giai	§ç Vò, §iÒn L­¬ng / Hå Giai	Gia NhÜ Kim Na, §iÒn L­¬ng / Hå Giai	TriÖu DÜnh TuÖ, H¸ch Nhi MÉu / N÷u B¸ Lý 	§ç Vò, H¸ch Nhi MÉu / N÷u B¸ Lý 	Gia NhÜ Kim Na, H¸ch Nhi MÉu / N÷u B¸ Lý 	TriÖu DÜnh TuÖ, TuyÓn thñ kh¸c	§ç Vò, TuyÓn thñ kh¸c	TuyÓn thñ kh¸c, §iÒn L­¬ng / Hå Giai	Kh¶ n¨ng kh¸c 	408130700	408132400	408150900	408222200	0	50	10000000
4	15##?##	##100#?##?##?#####???	8	5000	T­ l« nÆc nh­îc phu, Trung Quèc th¾ng T©y Ban Nha	B¾c §¶o Khang Giíi, Trung Quèc th¾ng T©y Ban Nha	H¸n S¹m, Trung Quèc th¾ng T©y Ban Nha	T­ l« nÆc nh­îc phu, Trung Quèc thua T©y Ban Nha	B¾c §¶o Khang Giíi, Trung Quèc thua T©y Ban Nha	H¸n S©m, Trung Quèc thua T©y Ban Nha	TuyÓn thñ kh¸c, Trung Quèc th¾ng T©y Ban Nha	TuyÓn thñ kh¸c, Trung Quèc thua T©y Ban Nha			408140700	408142400	408160900	408222200	5	50	10000000
