等级	升级需要经验	升级附加经验（万）	1转附加经验	2转附加经验	3转附加经验	4转附加经验	5转附加经验
1	60						
2	300						
3	660						
4	1140						
5	1740						
6	2460						
7	3300						
8	4260						
9	5340						
10	6540						
11	7860						
12	9420						
13	11220						
14	13260						
15	15540						
16	18060						
17	20820						
18	23820						
19	27060						
20	30540						
21	34260						
22	38340						
23	42780						
24	47580						
25	52740						
26	58260						
27	64140						
28	70380						
29	76980						
30	97930						
31	106470						
32	115780						
33	125860						
34	136710						
35	148330						
36	160720						
37	173880						
38	187810						
39	202510						
40	217980						
41	234220						
42	252280						
43	272160						
44	293860						
45	317380						
46	342720						
47	369880						
48	398860						
49	429660						
50	462280						
51	496720						
52	536200						
53	580720						
54	630280						
55	684880						
56	744520						
57	809200						
58	878920						
59	953680						
60	1181120						
61	1704106						
62	1854080						
63	2024746						
64	2216106						
65	2428160						
66	2660906						
67	2914346						
68	3188480						
69	3483306						
70	3798826						
71	5168800						
72	5653600						
73	6202932						
74	6816800						
75	7495200						
76	8238132						
77	9045600						
78	9917600						
79	10854132						
80	14819000						
81	43607700						
82	47703600						
83	52299000						
84	57393900						
85	62988300						
86	82898640						
87	90810720						
88	99322200						
89	108433080						
90	118143360						
91	142725600						
92	155598000						
93	169887600						
94	185594400						
95	202718400						
96	221259600						
97	241218000						
98	262593600						
99	285386400						
100	500000000						
101	500000000						
102	500000000						
103	500000000						
104	500000000						
105	500000000						
106	500000000						
107	500000000						
108	500000000						
109	500000000						
110	800000000						
111	800000000						
112	800000000						
113	800000000						
114	800000000						
115	800000000						
116	800000000						
117	800000000						
118	800000000						
119	800000000						
120	1200000000						
121	1200000000						
122	1200000000						
123	1200000000						
124	1200000000						
125	1200000000						
126	1200000000						
127	1200000000						
128	1200000000						
129	1200000000						
130	1350000000		16000	48000	64000	0	496000
131	1350000000		16000	48000	64000	144000	496000
132	1350000000		16000	48000	64000	144000	496000
133	1350000000		16000	48000	64000	144000	496000
134	1350000000		16000	48000	64000	144000	496000
135	1500000000		20000	60000	80000	140000	620000
136	1800000000		20000	60000	80000	180000	620000
137	1800000000		20000	60000	80000	180000	620000
138	1800000000		20000	60000	80000	180000	620000
139	1800000000		20000	60000	80000	180000	620000
140	1800000000		30000	90000	120000	170000	930000
141	1800000000		30000	90000	120000	270000	930000
142	1800000000		30000	90000	120000	270000	930000
143	1800000000		30000	90000	120000	270000	930000
144	1800000000		30000	90000	120000	270000	930000
145	1800000000		50000	150000	200000	250000	1550000
146	1800000000		50000	150000	200000	450000	1550000
147	1800000000		50000	150000	200000	450000	1550000
148	1800000000		50000	150000	200000	450000	1550000
149	1800000000		50000	150000	200000	450000	1550000
150	1800000000		80000	240000	320000	420000	2480000
151	1800000000		80000	240000	320000	720000	2480000
152	1800000000		80000	240000	320000	720000	2480000
153	1800000000		80000	240000	320000	720000	2480000
154	1800000000		80000	240000	320000	720000	2480000
155	1800000000		120000	360000	480000	680000	3720000
156	1800000000		120000	360000	480000	1080000	3720000
157	1800000000		120000	360000	480000	1080000	3720000
158	1800000000		120000	360000	480000	1080000	3720000
159	1800000000		120000	360000	480000	1080000	3720000
160	1800000000		180000	540000	720000	1020000	5580000
161	1800000000		180000	540000	720000	1620000	5580000
162	1800000000		180000	540000	720000	1620000	5580000
163	1800000000		180000	540000	720000	1620000	5580000
164	1800000000		180000	540000	720000	1620000	5580000
165	2000000000		200000	600000	800000	1600000	6200000
166	2000000000		200000	600000	800000	1800000	6200000
167	2000000000		200000	600000	800000	1800000	6200000
168	2000000000		200000	600000	800000	1800000	6200000
169	2000000000		200000	600000	800000	1800000	6200000
170	2000000000		200000	600000	800000	1800000	6200000
171	2000000000		200000	600000	800000	1800000	6200000
172	2000000000		200000	600000	800000	1800000	6200000
173	2000000000		200000	600000	800000	1800000	6200000
174	2000000000		200000	600000	800000	1800000	6200000
175	2000000000		200000	600000	800000	1800000	6200000
176	2000000000		200000	600000	800000	1800000	6200000
177	2000000000		200000	600000	800000	1800000	6200000
178	2000000000		200000	600000	800000	1800000	6200000
179	2000000000		200000	600000	800000	1800000	6200000
180	2000000000		200000	600000	800000	1800000	6200000
181	2000000000		200000	600000	800000	1800000	6200000
182	2000000000		200000	600000	800000	1800000	6200000
183	2000000000		200000	600000	800000	1800000	6200000
184	2000000000		200000	600000	800000	1800000	6200000
185	2000000000		200000	600000	800000	1800000	6200000
186	2000000000		200000	600000	800000	1800000	6200000
187	2000000000		200000	600000	800000	1800000	6200000
188	2000000000		200000	600000	800000	1800000	6200000
189	2000000000		200000	600000	800000	1800000	6200000
190	2000000000		200000	600000	800000	1800000	6200000
191	2000000000		200000	600000	800000	1800000	6200000
192	2000000000		200000	600000	800000	1800000	6200000
193	2000000000		200000	600000	800000	1800000	6200000
194	2000000000		200000	600000	800000	1800000	6200000
195	2000000000		200000	600000	800000	1800000	6200000
196	2000000000		200000	600000	800000	1800000	6200000
197	2000000000		200000	600000	800000	1800000	6200000
198	2000000000		200000	600000	800000	1800000	6200000
199	2000000000	19800000	800000	1800000	1800000	1800000	15800000
200	2000000000	19800000	800000	1800000	1800000	3800000	15800000
201	2000000000	19900000	900000	1900000	1900000	3900000	19800000
