等级	经验	组队人数	直属率领人数	任命权个数
1	100	3	0	0
2	500	3	0	0
3	500	3	0	0
4	500	3	0	0
5	500	3	0	0
6	500	4	0	0
7	500	4	0	0
8	500	4	0	0
9	500	4	0	0
10	1000	4	0	0
11	1000	4	7	0
12	1000	5	7	0
13	1000	5	7	0
14	1000	5	7	0
15	1000	5	7	0
16	1000	5	7	0
17	1000	5	7	0
18	1000	5	7	0
19	1000	6	7	0
20	1000	6	7	0
21	2000	6	15	0
22	2000	6	15	0
23	2000	6	15	0
24	2000	6	15	0
25	2000	6	15	0
26	2000	6	15	0
27	2000	7	15	0
28	2000	7	15	0
29	2000	7	15	0
30	2000	7	15	0
31	2000	7	23	0
32	2000	7	23	0
33	2000	7	23	0
34	2000	7	23	0
35	2000	7	23	0
36	2000	7	23	0
37	2000	7	23	0
38	2000	7	23	0
39	2000	7	23	0
40	2000	7	23	0
41	8000	7	31	1
42	8000	7	31	1
43	8000	7	31	1
44	8000	7	31	1
45	8000	7	31	2
46	8000	7	31	2
47	8000	7	31	2
48	8000	7	31	2
49	8000	7	31	2
50	8000	7	31	2
51	8000	7	39	3
52	8000	7	39	3
53	8000	7	39	3
54	8000	7	39	3
55	8000	7	39	3
56	8000	7	39	3
57	8000	7	39	4
58	8000	7	39	4
59	8000	7	39	4
60	8000	7	39	4
61	8000	7	47	4
62	8000	7	47	4
63	8000	7	47	4
64	8000	7	47	5
65	8000	7	47	5
66	8000	7	47	5
67	8000	7	47	5
68	8000	7	47	5
69	8000	7	47	5
70	8000	7	47	5
71	20000	7	55	5
72	20000	7	55	6
73	20000	7	55	6
74	20000	7	55	6
75	20000	7	55	6
76	20000	7	55	6
77	20000	7	55	6
78	20000	7	55	6
79	20000	7	55	6
80	20000	7	55	6
81	20000	7	63	7
82	20000	7	66	7
83	20000	7	71	7
84	20000	7	79	7
85	20000	7	89	7
86	20000	7	101	7
87	20000	7	116	7
88	20000	7	133	7
89	20000	7	152	7
90	20000	7	174	7
91	20000	7	198	7
92	20000	7	224	7
93	20000	7	253	7
94	20000	7	284	7
95	20000	7	318	7
96	20000	7	354	7
97	20000	7	392	7
98	20000	7	433	7
99	40000	7	476	7
100	50000	7	511	7
