Num	Name	Quality	Genre	Detail	Particular	Level	GoodsFive	Magiclevel	TaskValue
100	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
200	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
300	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
400	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
500	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
600	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
700	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
800	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
900	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
1000	Tö Thñy Tinh	0	4	239	1	0	1	0	10000
1000	Lam Thñy Tinh	0	4	238	1	0	1	0	10000
1000	Lôc Thñy Tinh	0	4	240	1	0	1	0	10000
1100	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
1200	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
1300	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
1400	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
1500	B¸ch Qu¶ Lé	0	6	1	73	4	1	0	10000
1600	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
1700	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
1800	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
1900	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
2000	Tinh Hång B¶o Th¹ch	0	4	353	1	0	1	0	10000
2100	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
2200	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
2300	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
2400	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
2500	B¸ch Qu¶ Lé	0	6	1	73	5	1	0	10000
2600	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
2700	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
2800	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
2900	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
3000	TÈy Tñy Kinh	0	6	1	22	0	1	0	10000
3100	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
3200	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
3300	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
3400	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
3500	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
3600	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
3700	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
3800	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
3900	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
4000	Vâ L©m MËt TÞch	0	6	1	26	0	1	0	10000
4100	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
4200	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
4300	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
4400	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
4500	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
4600	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
4700	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
4800	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
4900	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
5000	B¸ch Qu¶ Lé	0	6	1	73	6	1	0	10000
5100	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
5200	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
5300	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
5400	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
5500	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
5600	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
5700	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
5800	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
5900	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
6100	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
6200	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
6300	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
6400	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
6500	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
6600	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
6700	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
6800	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
6900	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
7100	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
7200	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
7300	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
7400	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
7500	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
7600	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
7700	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
7800	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
7900	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
