[26-08-18 02:16:18]	EventID: 1	NpcID: 1	JoinItemId: 1	[Bã Hoa Quèc Kh¸nh]	[§æi 10 Bã Hoa Quèc Kh¸nh param:  10-Hoa Quèc Kh¸nh 10-D©y Buéc Hoa 10-GiÊy Gãi Hoa]	Acc: llkuem01	Player: TuÖÙLinh
[26-08-18 09:47:25]	EventID: 1	NpcID: 1	JoinItemId: 2	[Giá Hoa Quèc Kh¸nh]	[§æi 9 Giá Hoa Quèc Kh¸nh param:  9-Hoa Quèc Kh¸nh 9-D©y Buéc Hoa 9-Giá §ùng Hoa]	Acc: sarin1990	Player: DocDep
[26-08-18 14:06:09]	EventID: 1	NpcID: 1	JoinItemId: 2	[Giá Hoa Quèc Kh¸nh]	[§æi 120 Giá Hoa Quèc Kh¸nh param:  120-Hoa Quèc Kh¸nh 120-D©y Buéc Hoa 120-Giá §ùng Hoa]	Acc: huynhtrongtri14	Player: §écS¸tNgo¹iC«ng
[26-08-18 18:25:59]	EventID: 1	NpcID: 1	JoinItemId: 2	[Giá Hoa Quèc Kh¸nh]	[§æi 19 Giá Hoa Quèc Kh¸nh param:  19-Hoa Quèc Kh¸nh 19-D©y Buéc Hoa 19-Giá §ùng Hoa]	Acc: huyenuyqs	Player: RångconÙ
[26-08-18 19:44:27]	EventID: 1	NpcID: 1	JoinItemId: 2	[Giá Hoa Quèc Kh¸nh]	[§æi 10 Giá Hoa Quèc Kh¸nh param:  10-Hoa Quèc Kh¸nh 10-D©y Buéc Hoa 10-Giá §ùng Hoa]	Acc: tranhoangcham	Player: KeVoDanh
[26-08-18 19:47:20]	EventID: 1	NpcID: 1	JoinItemId: 2	[Giá Hoa Quèc Kh¸nh]	[§æi 10 Giá Hoa Quèc Kh¸nh param:  10-Hoa Quèc Kh¸nh 10-D©y Buéc Hoa 10-Giá §ùng Hoa]	Acc: tranhoangcham	Player: KeVoDanh
[26-08-18 20:34:07]	EventID: 1	NpcID: 1	JoinItemId: 2	[Giá Hoa Quèc Kh¸nh]	[§æi 250 Giá Hoa Quèc Kh¸nh param:  250-Hoa Quèc Kh¸nh 250-D©y Buéc Hoa 250-Giá §ùng Hoa]	Acc: xuxuka01	Player: OÙNyÙNoNgÙNoiÙO
[26-08-18 20:34:15]	EventID: 1	NpcID: 1	JoinItemId: 2	[Giá Hoa Quèc Kh¸nh]	[§æi 100 Giá Hoa Quèc Kh¸nh param:  100-Hoa Quèc Kh¸nh 100-D©y Buéc Hoa 100-Giá §ùng Hoa]	Acc: xuxuka01	Player: OÙNyÙNoNgÙNoiÙO
[26-08-18 22:03:03]	EventID: 1	NpcID: 1	JoinItemId: 2	[Giá Hoa Quèc Kh¸nh]	[§æi 250 Giá Hoa Quèc Kh¸nh param:  250-Hoa Quèc Kh¸nh 250-D©y Buéc Hoa 250-Giá §ùng Hoa]	Acc: huynhtrongtri11	Player: §écS¸tNéiC«ng
[26-08-18 22:31:08]	EventID: 1	NpcID: 1	JoinItemId: 2	[Giá Hoa Quèc Kh¸nh]	[§æi 9 Giá Hoa Quèc Kh¸nh param:  9-Hoa Quèc Kh¸nh 9-D©y Buéc Hoa 9-Giá §ùng Hoa]	Acc: tranhoangcham	Player: KeVoDanh
[26-08-18 22:43:44]	EventID: 1	NpcID: 1	JoinItemId: 2	[Giá Hoa Quèc Kh¸nh]	[§æi 10 Giá Hoa Quèc Kh¸nh param:  10-Hoa Quèc Kh¸nh 10-D©y Buéc Hoa 10-Giá §ùng Hoa]	Acc: tranhoangcham	Player: KeVoDanh
