00:33:37	 Account: minhmeo	Name: L¸oÙTõÙNhá	 DelItem: Kim Nguyªn b¶o
01:56:23	 Account: tranhoangcham	Name: Megame	 DelItem: Hoµng Kim - §Þnh Quèc Ng©n Tµm Yªu ®¸i
01:56:23	 Account: tranhoangcham	Name: Megame	 DelItem: Hoµng Kim - §Þnh Quèc Tö §»ng Hé uyÓn
01:56:23	 Account: tranhoangcham	Name: Megame	 DelItem: Hoµng Kim - §Þnh Quèc XÝch Quyªn NhuyÔn Ngoa
01:56:23	 Account: tranhoangcham	Name: Megame	 DelItem: Hoµng Kim - §Þnh Quèc ¤ Sa Ph¸t Qu¸n
01:56:23	 Account: tranhoangcham	Name: Megame	 DelItem: Hoµng Kim - §Þnh Quèc Thanh Sa Tr­êng Sam
01:57:28	 Account: tranhoangcham	Name: Megame	 DelItem: TuyÒn Long bµo
01:57:28	 Account: tranhoangcham	Name: Megame	 DelItem: TuyÒn Long bµo
01:57:28	 Account: tranhoangcham	Name: Megame	 DelItem: TuyÒn Long bµo
01:58:12	 Account: tranhoangcham	Name: Megame	 DelItem: TuyÒn Long bµo
07:44:03	 Account: phuno1012	Name: DCPÙ5D	 DelItem: CÈm nang ®ång hµnh
07:49:09	 Account: phuno1017	Name: DCPÙATC	 DelItem: CÈm nang ®ång hµnh
09:42:46	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Nh¹c V­¬ng KiÕm
09:42:53	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Tinh Hång B¶o Th¹ch
09:42:53	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Tinh Hång B¶o Th¹ch
09:43:05	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Tö Thñy Tinh
09:43:05	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Viªm §Õ LÖnh
09:43:05	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lam Thñy Tinh
09:43:05	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lam Thñy Tinh
09:43:23	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Tö Thñy Tinh
09:43:23	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Tö Thñy Tinh
09:43:23	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lôc Thñy Tinh
09:43:23	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Viªm §Õ LÖnh
09:43:23	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lôc Thñy Tinh
09:43:23	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lam Thñy Tinh
09:43:23	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lam Thñy Tinh
09:43:23	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Ma Hoµng ¸n XuÊt Hæ H¹ng Khuyªn
09:43:23	 Account: vunguyen83	Name: VuVuVnn	 DelItem: TiÒn ®ång
09:56:11	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Tö Thñy Tinh
09:56:11	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Tö Thñy Tinh
09:56:11	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Long HuyÕt Hoµn
10:36:36	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lam Thñy Tinh
10:36:36	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lam Thñy Tinh
10:36:36	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lam Thñy Tinh
10:36:36	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lam Thñy Tinh
10:36:36	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lam Thñy Tinh
10:36:36	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lam Thñy Tinh
10:36:36	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lam Thñy Tinh
10:36:36	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lam Thñy Tinh
10:36:36	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lam Thñy Tinh
10:36:36	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lam Thñy Tinh
10:36:36	 Account: vunguyen83	Name: VuVuVnn	 DelItem: TiÒn ®ång
10:36:36	 Account: vunguyen83	Name: VuVuVnn	 DelItem: TiÒn ®ång
10:39:20	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lam Thñy Tinh
10:39:20	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lam Thñy Tinh
10:39:20	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lam Thñy Tinh
10:39:20	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lam Thñy Tinh
10:39:20	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lam Thñy Tinh
10:39:20	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lam Thñy Tinh
10:39:20	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lam Thñy Tinh
10:39:20	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lam Thñy Tinh
10:39:20	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lam Thñy Tinh
10:39:20	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lam Thñy Tinh
10:48:35	 Account: vunguyen83	Name: VuVuVnn	 DelItem: B¨ng th¹ch kÕt tinh
10:48:35	 Account: vunguyen83	Name: VuVuVnn	 DelItem: B¨ng th¹ch kÕt tinh
10:48:50	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Kª HuyÕt Th¹ch 
10:49:00	 Account: vunguyen83	Name: VuVuVnn	 DelItem: B¨ng th¹ch kÕt tinh
10:51:13	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Hång ¶nh KiÕm Bµi
10:51:13	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Phóc Lîi §¬n [Hång ¶nh]
10:51:13	 Account: vunguyen83	Name: VuVuVnn	 DelItem: §å phæ Hoµng Kim - HiÖn Cèt T×nh ý KÕt
10:51:13	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Tinh Hång B¶o Th¹ch
10:51:13	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Hång ¶nh Môc Tóc
10:55:42	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Thiªn s¬n B¶o Lé 
10:55:42	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Hång ¶nh Tô Chiªu
10:55:42	 Account: vunguyen83	Name: VuVuVnn	 DelItem: §å phæ Hoµng Kim - HiÖn Cèt §an T©m Giíi
10:55:42	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Thiªn s¬n B¶o Lé 
10:55:42	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Tö Thñy Tinh
10:55:42	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Hång ¶nh Tô Chiªu
10:57:24	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lam Thñy Tinh
10:57:24	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Hång ¶nh Môc Tóc
10:57:24	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Hång ¶nh Tô Chiªu
10:57:24	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Hång ¶nh Môc Tóc
20:59:19	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lôc Thñy Tinh
20:59:19	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Hång ¶nh Tô Chiªu
21:01:50	 Account: vunguyen83	Name: VuVuVnn	 DelItem: §å phæ Hoµng Kim - Nhu T×nh Phông Nghi Giíi ChØ
21:01:50	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lam Thñy Tinh
21:01:50	 Account: vunguyen83	Name: VuVuVnn	 DelItem: §å phæ Hoµng Kim - HiÖn Cèt T×nh ý KÕt
21:09:48	 Account: vunguyen83	Name: VuVuVnn	 DelItem: S¸t thñ gi¶n
21:09:48	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Tö Thñy Tinh
21:09:48	 Account: vunguyen83	Name: VuVuVnn	 DelItem: TiÒn ®ång
22:22:37	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lam Thñy Tinh
22:22:37	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lam Thñy Tinh
23:23:01	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Tiªn Th¶o Lé ®Æc biÖt
23:43:37	 Account: vunguyen83	Name: VuVuVnn	 DelItem: TiÒn ®ång
23:43:37	 Account: vunguyen83	Name: VuVuVnn	 DelItem: TiÒn ®ång
23:43:37	 Account: vunguyen83	Name: VuVuVnn	 DelItem: TiÒn ®ång
23:43:37	 Account: vunguyen83	Name: VuVuVnn	 DelItem: TiÒn ®ång
23:43:37	 Account: vunguyen83	Name: VuVuVnn	 DelItem: TiÒn ®ång
23:57:28	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Viªm §Õ LÖnh
23:57:28	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Viªm §Õ LÖnh
23:57:28	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Lam Thñy Tinh
23:57:28	 Account: vunguyen83	Name: VuVuVnn	 DelItem: Tö Thñy Tinh
