09:15:03	 Account: minhngo7989	Name: MrMinh	 DelItem: Tóc S­¬ng
10:34:02	 Account: kingvl2	Name: KimLongKaKa	 DelItem: Kim Phong Thanh D­¬ng Kh«i
10:34:09	 Account: kingvl2	Name: KimLongKaKa	 DelItem: Kim Phong Kú L©n HuyÕt
10:34:19	 Account: kingvl2	Name: KimLongKaKa	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
10:34:27	 Account: kingvl2	Name: KimLongKaKa	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
10:34:37	 Account: kingvl2	Name: KimLongKaKa	 DelItem: Kim Phong HËu NghÖ dÉn cung
11:40:48	 Account: sangtpbrvt1	Name: SangTp1	 DelItem: C¸i Bang C«n ph¸p
11:40:48	 Account: sangtpbrvt1	Name: SangTp1	 DelItem: NhiÕp Hån. Chó thuËt
11:40:48	 Account: sangtpbrvt1	Name: SangTp1	 DelItem: Ngù Phong thuËt
11:40:48	 Account: sangtpbrvt1	Name: SangTp1	 DelItem: H·m TÜnh thuËt.Lo¹n Hoµn KÝch
11:40:48	 Account: sangtpbrvt1	Name: SangTp1	 DelItem: C¸i Bang C«n ph¸p
12:31:12	 Account: gamethu	Name: KhaiCheckGame	 DelItem: Kim Phong Tr¹c Liªn Quang
12:31:12	 Account: gamethu	Name: KhaiCheckGame	 DelItem: Kim Phong HËu NghÖ dÉn cung
12:31:12	 Account: gamethu	Name: KhaiCheckGame	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
12:31:12	 Account: gamethu	Name: KhaiCheckGame	 DelItem: Kim Phong Thanh D­¬ng Kh«i
12:31:12	 Account: gamethu	Name: KhaiCheckGame	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
12:31:12	 Account: gamethu	Name: KhaiCheckGame	 DelItem: Kim Phong Thanh D­¬ng Kh«i
12:31:12	 Account: gamethu	Name: KhaiCheckGame	 DelItem: Kim Phong HËu NghÖ dÉn cung
12:31:12	 Account: gamethu	Name: KhaiCheckGame	 DelItem: Kim Phong §o¹t Hån Ngäc ®¸i
13:18:10	 Account: keoxe03	Name: AEthuyYen	 DelItem: Tiªn Th¶o Lé 
13:18:10	 Account: keoxe03	Name: AEthuyYen	 DelItem: Kim Phong Tr¹c Liªn Quang
13:20:56	 Account: keoxe03	Name: ÙÙÙMétÙÙÙ	 DelItem: HuyÒn Tinh Kho¸ng Th¹ch 
13:20:56	 Account: keoxe03	Name: ÙÙÙMétÙÙÙ	 DelItem: HuyÒn Tinh Kho¸ng Th¹ch 
13:20:56	 Account: keoxe03	Name: ÙÙÙMétÙÙÙ	 DelItem: HuyÒn Tinh Kho¸ng Th¹ch 
13:20:56	 Account: keoxe03	Name: ÙÙÙMétÙÙÙ	 DelItem: HuyÒn Tinh Kho¸ng Th¹ch 
13:20:56	 Account: keoxe03	Name: ÙÙÙMétÙÙÙ	 DelItem: HuyÒn Tinh Kho¸ng Th¹ch 
13:20:56	 Account: keoxe03	Name: ÙÙÙMétÙÙÙ	 DelItem: HuyÒn Tinh Kho¸ng Th¹ch 
13:20:56	 Account: keoxe03	Name: ÙÙÙMétÙÙÙ	 DelItem: HuyÒn Tinh Kho¸ng Th¹ch 
13:20:56	 Account: keoxe03	Name: ÙÙÙMétÙÙÙ	 DelItem: HuyÒn Tinh Kho¸ng Th¹ch 
13:20:56	 Account: keoxe03	Name: ÙÙÙMétÙÙÙ	 DelItem: HuyÒn Tinh Kho¸ng Th¹ch 
14:14:52	 Account: keoxe02	Name: 74LaAnh	 DelItem: Kim Phong Thiªn Lý Th¶o Th­îng Phi
14:14:52	 Account: keoxe02	Name: 74LaAnh	 DelItem: Kim Phong Tr¹c Liªn Quang
14:14:52	 Account: keoxe02	Name: 74LaAnh	 DelItem: Kim Phong Kú L©n HuyÕt
14:14:52	 Account: keoxe02	Name: 74LaAnh	 DelItem: Kim Phong Thanh D­¬ng Kh«i
14:14:52	 Account: keoxe02	Name: 74LaAnh	 DelItem: Kim Phong Lan §×nh Ngäc
14:14:52	 Account: keoxe02	Name: 74LaAnh	 DelItem: Kim Phong C«ng CÈn Tam Th¸n
