0:0	Account: letutl79	 Name: LyAnAn	 Level: 1	 IP Address: 1.54.167.236 : 51439
0:0	Account: sarin	 Name: DocXinh8	 Level: 81	 IP Address: 116.110.119.64 : 34284
0:2	Account: hieuham1996	 Name: TriÖuÙTöÙLong	 Level: 110	 IP Address: 118.71.192.99 : 48022
0:3	Account: hieuham1996	 Name: DanhÙHiÕuÙNguyÔn	 Level: 80	 IP Address: 118.71.192.99 : 8649
0:8	Account: thangvl5	 Name: 5TLSuco	 Level: 105	 IP Address: 183.81.77.182 : 12558
0:15	Account: minhtrand29	 Name: Cµytien01	 Level: 80	 IP Address: 14.174.119.34 : 49672
0:18	Account: letutl72	 Name: ngudoc	 Level: 81	 IP Address: 1.54.167.236 : 51716
0:22	Account: thaocanh117	 Name: UyÓnÙNh·	 Level: 103	 IP Address: 117.4.153.2 : 52013
0:22	Account: thangvl1	 Name: DocDoc1	 Level: 80	 IP Address: 183.81.77.182 : 12659
0:33	Account: vunguyen1989	 Name: khongbietten	 Level: 95	 IP Address: 27.75.46.206 : 55843
0:38	Account: minhtrand29	 Name: Cµytien01	 Level: 80	 IP Address: 14.174.119.34 : 49676
0:47	Account: huynhtrongtri11	 Name: §écS¸tNéiC«ng	 Level: 116	 IP Address: 42.119.136.199 : 50419
1:22	Account: letutl77	 Name: AnLyLy	 Level: 1	 IP Address: 1.54.167.236 : 51766
1:33	Account: 83vunguyen	 Name: TaLaThang	 Level: 80	 IP Address: 27.75.46.206 : 56841
1:43	Account: luukt56	 Name: NgoalongND	 Level: 96	 IP Address: 123.25.218.214 : 60112
2:10	Account: letutl79	 Name: LyAnAn	 Level: 80	 IP Address: 1.54.167.236 : 51837
2:34	Account: thaocanh114	 Name: ThiªnÙNh·	 Level: 106	 IP Address: 117.4.153.2 : 52339
2:34	Account: thaocanh117	 Name: UyÓnÙNh·	 Level: 103	 IP Address: 117.4.153.2 : 52342
2:35	Account: vunguyen1984	 Name: BinBin	 Level: 87	 IP Address: 27.75.46.206 : 57927
2:35	Account: th113	 Name: S¨nÙBossÙ02	 Level: 1	 IP Address: 117.4.153.2 : 52349
2:35	Account: vunguyen1988	 Name: 111111111	 Level: 95	 IP Address: 27.75.46.206 : 57929
2:39	Account: th114	 Name: ¡nÙMµyÙLµÙTao	 Level: 92	 IP Address: 117.4.153.2 : 52355
2:39	Account: thaocanh113	 Name: ThienÙNha	 Level: 93	 IP Address: 117.4.153.2 : 52357
2:39	Account: thaocanh115	 Name: C«nÙL«nÙ§aoÙPh¸p	 Level: 93	 IP Address: 117.4.153.2 : 52359
2:40	Account: thaocanh116	 Name: S­ThÇyÙXuèngNói	 Level: 93	 IP Address: 117.4.153.2 : 52361
2:40	Account: th113	 Name: L·oÙ§¹i	 Level: 80	 IP Address: 117.4.153.2 : 52365
