0:24	Account: letutl74	 Name: BopVuBu	 Level: 81	 IP Address: 1.54.167.236 : 50360
0:25	Account: letutl74	 Name: BopVuBu	 Level: 81	 IP Address: 1.54.167.236 : 50362
8:26	Account: bando	 Name: HDÙMÑThiªnH¹	 Level: 122	 IP Address: 27.73.130.218 : 18723
8:46	Account: luukt53	 Name: NgoalongVD	 Level: 131	 IP Address: 115.75.51.168 : 52398
12:30	Account: vubluish2	 Name: hoalongcaka	 Level: 88	 IP Address: 1.53.44.36 : 36832
12:33	Account: vubluish	 Name: truongchannhan	 Level: 92	 IP Address: 1.53.44.36 : 50731
12:36	Account: vubluish1	 Name: vipngamy	 Level: 88	 IP Address: 1.53.44.36 : 29348
12:44	Account: vubluish1	 Name: vipngamy	 Level: 88	 IP Address: 1.53.44.36 : 44153
12:46	Account: vubluish	 Name: truongchannhan	 Level: 92	 IP Address: 1.53.44.36 : 60862
12:50	Account: vubluish2	 Name: hoalongcaka	 Level: 88	 IP Address: 1.53.44.36 : 18117
13:36	Account: vubluish2	 Name: hoalongcaka	 Level: 88	 IP Address: 1.53.44.36 : 17699
13:36	Account: vubluish	 Name: truongchannhan	 Level: 92	 IP Address: 1.53.44.36 : 26985
13:45	Account: vubluish1	 Name: vipngamy	 Level: 88	 IP Address: 1.53.44.36 : 21571
13:45	Account: vubluish	 Name: truongchannhan	 Level: 92	 IP Address: 1.53.44.36 : 11649
13:45	Account: vubluish2	 Name: hoalongcaka	 Level: 88	 IP Address: 1.53.44.36 : 30869
14:4	Account: vubluish2	 Name: hoalongcaka	 Level: 88	 IP Address: 1.53.44.36 : 7596
14:4	Account: vubluish1	 Name: vipngamy	 Level: 88	 IP Address: 1.53.44.36 : 61009
14:4	Account: vubluish	 Name: truongchannhan	 Level: 92	 IP Address: 1.53.44.36 : 34093
14:23	Account: vubluish	 Name: truongchannhan	 Level: 92	 IP Address: 1.53.44.36 : 21552
14:23	Account: vubluish1	 Name: vipngamy	 Level: 88	 IP Address: 1.53.44.36 : 2315
14:23	Account: vubluish2	 Name: hoalongcaka	 Level: 88	 IP Address: 1.53.44.36 : 1615
14:31	Account: vubluish2	 Name: hoalongcaka	 Level: 88	 IP Address: 1.53.44.36 : 21963
14:31	Account: vubluish	 Name: truongchannhan	 Level: 92	 IP Address: 1.53.44.36 : 19237
14:31	Account: vubluish1	 Name: vipngamy	 Level: 88	 IP Address: 1.53.44.36 : 23750
14:32	Account: blackboy87	 Name: EsÙTheÙKing	 Level: 100	 IP Address: 14.233.218.168 : 33386
14:32	Account: blackboy88	 Name: EsÙTrangÙNhi	 Level: 100	 IP Address: 14.233.218.168 : 33388
18:55	Account: unlock911	 Name: Unlock911	 Level: 107	 IP Address: 27.78.12.11 : 60302
18:56	Account: unlock912	 Name: Unlock912	 Level: 101	 IP Address: 27.78.12.11 : 60326
19:22	Account: hieuadnew	 Name: AdminÙSHXT	 Level: 91	 IP Address: 14.233.232.193 : 59987
20:37	Account: letutl74	 Name: BopVuBu	 Level: 81	 IP Address: 1.54.167.236 : 49171
20:44	Account: letutl72	 Name: DoanhDoanh	 Level: 81	 IP Address: 1.54.167.236 : 49317
20:52	Account: letutl74	 Name: BopVuBu	 Level: 81	 IP Address: 1.54.167.236 : 49325
21:9	Account: letutl72	 Name: DoanhDoanh	 Level: 81	 IP Address: 1.54.167.236 : 49348
21:43	Account: letutl74	 Name: BopVuBu	 Level: 81	 IP Address: 1.54.167.236 : 49373
22:1	Account: letutl74	 Name: BopVuBu	 Level: 81	 IP Address: 1.54.167.236 : 49402
22:2	Account: letutl72	 Name: DoanhDoanh	 Level: 81	 IP Address: 1.54.167.236 : 49405
