0:0	Account: kaiba3	 Name: Vabsdw	 Level: 81	 IP Address: 171.255.43.124 : 44677
0:4	Account: luukt56	 Name: NgoalongND	 Level: 90	 IP Address: 115.75.51.168 : 42702
0:5	Account: thonhi6	 Name: kkkkkkkkkkl	 Level: 1	 IP Address: 42.112.156.21 : 30858
0:6	Account: tumap3000	 Name: DoVipZo	 Level: 80	 IP Address: 115.78.195.38 : 50781
0:7	Account: xebmt01	 Name: ThóyÙYªn	 Level: 80	 IP Address: 27.79.43.143 : 52760
0:7	Account: xebmt01	 Name: ThóyÙYªn	 Level: 80	 IP Address: 27.79.43.143 : 52764
0:14	Account: hieuadnew	 Name: AdminÙSHXT	 Level: 80	 IP Address: 14.233.233.93 : 58598
0:35	Account: samsimon1	 Name: ÙRitaÙOri	 Level: 105	 IP Address: 115.78.195.38 : 49281
0:36	Account: luukt56	 Name: NgoalongND	 Level: 90	 IP Address: 115.75.51.168 : 60333
0:39	Account: samsimon1	 Name: ÙRitaÙOri	 Level: 105	 IP Address: 115.78.195.38 : 49333
0:39	Account: samsimon	 Name: ÙIurtya	 Level: 99	 IP Address: 115.78.195.38 : 49336
0:40	Account: samsimon2	 Name: ÙRituÙJie	 Level: 83	 IP Address: 115.78.195.38 : 49340
0:41	Account: samsimon3	 Name: ÙAKrnh3q	 Level: 80	 IP Address: 115.78.195.38 : 49343
0:41	Account: minsimon	 Name: ÙMyaÙRen	 Level: 99	 IP Address: 115.78.195.38 : 49347
0:41	Account: minsimon1	 Name: ÙJunÙKiri	 Level: 99	 IP Address: 115.78.195.38 : 49350
0:42	Account: vu25091990	 Name: DocXinh22	 Level: 81	 IP Address: 27.69.147.127 : 51230
0:42	Account: thaocanh118	 Name: HµngÙChÞÙNh·	 Level: 1	 IP Address: 117.4.153.2 : 49657
0:42	Account: tumap3000	 Name: ÙUriÙJoe	 Level: 98	 IP Address: 115.78.195.38 : 49364
0:46	Account: huy101	 Name: B¨ngThÇn	 Level: 1	 IP Address: 116.108.185.216 : 60552
0:48	Account: samsimon1	 Name: ÙRitaÙOri	 Level: 105	 IP Address: 115.78.195.38 : 49389
0:49	Account: samsimon	 Name: ÙIurtya	 Level: 99	 IP Address: 115.78.195.38 : 49391
0:49	Account: minsimon	 Name: ÙMyaÙRen	 Level: 99	 IP Address: 115.78.195.38 : 49394
0:49	Account: minsimon1	 Name: ÙJunÙKiri	 Level: 99	 IP Address: 115.78.195.38 : 49397
0:50	Account: tumap3000	 Name: ÙUriÙJoe	 Level: 98	 IP Address: 115.78.195.38 : 49399
0:51	Account: vunguyen1988	 Name: 111111111	 Level: 81	 IP Address: 27.78.74.19 : 49350
0:51	Account: vunguyen1984	 Name: BinBin	 Level: 81	 IP Address: 27.78.74.19 : 49355
0:51	Account: vunguyen1989	 Name: khongbietten	 Level: 84	 IP Address: 27.78.74.19 : 49356
0:51	Account: vunguyen1983	 Name: Thiennhan	 Level: 82	 IP Address: 27.78.74.19 : 49358
0:51	Account: vunguyen1986	 Name: 5555555	 Level: 80	 IP Address: 27.78.74.19 : 49360
0:51	Account: longyen011	 Name: MrÙLong	 Level: 83	 IP Address: 14.187.184.92 : 49315
0:53	Account: vunguyen1989	 Name: khongbietten	 Level: 84	 IP Address: 27.78.74.19 : 49456
0:53	Account: vunguyen1986	 Name: 5555555	 Level: 80	 IP Address: 27.78.74.19 : 49463
0:53	Account: vunguyen1983	 Name: Thiennhan	 Level: 82	 IP Address: 27.78.74.19 : 49464
0:53	Account: vunguyen1988	 Name: 111111111	 Level: 81	 IP Address: 27.78.74.19 : 49465
0:53	Account: vunguyen1984	 Name: BinBin	 Level: 81	 IP Address: 27.78.74.19 : 49466
0:53	Account: kaiba2	 Name: Achiasn	 Level: 81	 IP Address: 171.255.43.124 : 34967
0:54	Account: qwqwqw3	 Name: TinhNhatPhai	 Level: 81	 IP Address: 171.252.21.117 : 57652
0:54	Account: kaiba4	 Name: ÙÙCµnÙÙ	 Level: 80	 IP Address: 171.255.43.124 : 47159
0:54	Account: vu25091990	 Name: DocXinh23	 Level: 81	 IP Address: 27.69.147.127 : 36403
0:55	Account: kaiba4	 Name: asdacasd	 Level: 81	 IP Address: 171.255.43.124 : 47789
0:58	Account: samsimon3	 Name: ÙAKrnh3q	 Level: 80	 IP Address: 115.78.195.38 : 49401
0:58	Account: thaocanh118	 Name: HµngÙChÞÙNh·	 Level: 80	 IP Address: 117.4.153.2 : 49676
0:58	Account: tumap3000	 Name: ÙUriÙJoe	 Level: 98	 IP Address: 115.78.195.38 : 49403
0:59	Account: tumap3000	 Name: DoVipZo	 Level: 80	 IP Address: 115.78.195.38 : 49405
0:59	Account: samsimon2	 Name: ÙRituÙJie	 Level: 83	 IP Address: 115.78.195.38 : 49407
1:1	Account: huy101	 Name: B¨ngThÇn	 Level: 80	 IP Address: 116.108.185.216 : 60581
1:7	Account: thaocanh119	 Name: HµngÙCñaÙNh·	 Level: 1	 IP Address: 117.4.153.2 : 49687
1:10	Account: sarin	 Name: DocXinh6	 Level: 80	 IP Address: 27.69.147.127 : 51368
1:10	Account: kaiba2	 Name: Achiasn	 Level: 81	 IP Address: 171.255.43.124 : 46647
1:11	Account: kaiba2	 Name: LuisLeoC©yMÝt	 Level: 82	 IP Address: 171.255.43.124 : 46755
1:11	Account: kaiba3	 Name: ÙÙÙGi¸pÙÙÙ	 Level: 82	 IP Address: 171.255.43.124 : 35258
1:16	Account: kaiba1	 Name: ÙAÙTònÙ	 Level: 95	 IP Address: 171.255.43.124 : 45398
1:16	Account: longyen011	 Name: MrÙLong	 Level: 83	 IP Address: 14.187.184.92 : 49349
1:18	Account: pmp111	 Name: BéiNhi	 Level: 91	 IP Address: 116.103.122.146 : 50385
1:19	Account: pmp111	 Name: BéiNhi	 Level: 91	 IP Address: 116.103.122.146 : 50396
